"Time","S","R1","R2","RB"
0,1000,0,0,0
0.1,1000,0,0,0
0.2,990,0,0,0
0.3,1013,0,0,0
0.4,995,0,0,0
0.5,991,0,0,0
0.6,964,0,0,0
0.7,943,0,0,0
0.8,923,0,0,0
0.9,936,0,0,0
1,914,0,0,0
1.1,901,0,0,0
1.2,895,0,0,0
1.3,897,0,0,0
1.4,881,0,0,0
1.5,871,0,0,0
1.6,872,0,0,0
1.7,879,0,0,0
1.8,886,0,0,0
1.9,877,0,0,0
2,896,0,0,0
2.1,869,0,0,0
2.2,893,0,0,0
2.3,874,0,0,0
2.4,865,0,0,0
2.5,865,0,0,0
2.6,873,0,0,0
2.7,873,0,0,0
2.8,884,0,0,0
2.9,891,0,0,0
3,895,0,0,0
3.1,883,0,0,0
3.2,898,0,0,0
3.3,896,0,0,0
3.4,887,0,0,0
3.5,880,0,0,0
3.6,902,0,0,0
3.7,891,0,0,0
3.8,871,0,0,0
3.9,853,0,0,0
4,853,0,0,0
4.1,857,0,0,0
4.2,875,0,0,0
4.3,881,0,0,0
4.4,863,0,0,0
4.5,841,0,0,0
4.6,834,0,0,0
4.7,811,0,0,0
4.8,801,0,0,0
4.9,795,0,0,0
5,779,0,0,0
5.1,772,0,0,0
5.2,782,0,0,0
5.3,797,0,0,0
5.4,789,0,0,0
5.5,775,0,0,0
5.6,787,0,0,0
5.7,779,0,0,0
5.8,756,0,0,0
5.9,756,0,0,0
6,753,0,0,0
6.09999999999999,746,0,0,0
6.19999999999999,750,0,0,0
6.29999999999999,761,0,0,0
6.39999999999999,756,0,0,0
6.49999999999999,764,0,0,0
6.59999999999999,746,0,0,0
6.69999999999999,744,0,0,0
6.79999999999999,742,0,0,0
6.89999999999999,719,0,0,0
6.99999999999999,692,0,0,0
7.09999999999999,691,0,0,0
7.19999999999999,656,0,0,0
7.29999999999999,653,0,0,0
7.39999999999999,656,0,0,0
7.49999999999999,682,0,0,0
7.59999999999999,701,0,0,0
7.69999999999999,701,0,0,0
7.79999999999999,690,0,0,0
7.89999999999999,674,0,0,0
7.99999999999999,686,0,0,0
8.09999999999999,681,0,0,0
8.19999999999999,674,0,0,0
8.29999999999999,678,0,0,0
8.39999999999999,688,0,0,0
8.49999999999999,696,0,0,0
8.59999999999999,678,0,0,0
8.69999999999999,666,0,0,0
8.79999999999998,661,0,0,0
8.89999999999998,640,0,0,0
8.99999999999998,651,0,0,0
9.09999999999998,645,0,0,0
9.19999999999998,640,0,0,0
9.29999999999998,643,0,0,0
9.39999999999998,641,0,0,0
9.49999999999998,636,0,0,0
9.59999999999998,653,0,0,0
9.69999999999998,655,0,0,0
9.79999999999998,646,0,0,0
9.89999999999998,638,0,0,0
9.99999999999998,627,0,0,0
10.1,626,0,0,0
