"Time","S","R1","R2","RB"
0,1000,0,0,0
0.1,992,0,0,0
0.2,992,0,0,0
0.3,984,0,0,0
0.4,990,0,0,0
0.5,992,0,0,0
0.6,988,0,0,0
0.7,986,0,0,0
0.8,982,0,0,0
0.9,958,0,0,0
1,922,0,0,0
1.1,899,0,0,0
1.2,908,0,0,0
1.3,916,0,0,0
1.4,899,0,0,0
1.5,874,0,0,0
1.6,860,0,0,0
1.7,835,0,0,0
1.8,823,0,0,0
1.9,807,0,0,0
2,804,0,0,0
2.1,807,0,0,0
2.2,796,0,0,0
2.3,801,0,0,0
2.4,788,0,0,0
2.5,771,0,0,0
2.6,744,0,0,0
2.7,742,0,0,0
2.8,750,0,0,0
2.9,742,0,0,0
3,717,0,0,0
3.1,706,0,0,0
3.2,710,0,0,0
3.3,687,0,0,0
3.4,685,0,0,0
3.5,681,0,0,0
3.6,682,0,0,0
3.7,670,0,0,0
3.8,687,0,0,0
3.9,685,0,0,0
4,682,0,0,0
4.1,657,0,0,0
4.2,664,0,0,0
4.3,678,0,0,0
4.4,665,0,0,0
4.5,647,0,0,0
4.6,629,0,0,0
4.7,607,0,0,0
4.8,605,0,0,0
4.9,610,0,0,0
5,602,0,0,0
5.1,602,0,0,0
5.2,602,0,0,0
5.3,615,0,0,0
5.4,633,0,0,0
5.5,631,0,0,0
5.6,632,0,0,0
5.7,632,0,0,0
5.8,617,0,0,0
5.9,607,0,0,0
6,612,0,0,0
6.09999999999999,622,0,0,0
6.19999999999999,619,0,0,0
6.29999999999999,623,0,0,0
6.39999999999999,629,0,0,0
6.49999999999999,600,0,0,0
6.59999999999999,590,0,0,0
6.69999999999999,581,0,0,0
6.79999999999999,581,0,0,0
6.89999999999999,586,0,0,0
6.99999999999999,590,0,0,0
7.09999999999999,579,0,0,0
7.19999999999999,577,0,0,0
7.29999999999999,559,0,0,0
7.39999999999999,553,0,1,0
7.49999999999999,559,0,1,0
7.59999999999999,559,0,1,0
7.69999999999999,555,0,1,0
7.79999999999999,547,0,1,0
7.89999999999999,528,0,1,0
7.99999999999999,524,0,1,0
8.09999999999999,503,0,1,0
8.19999999999999,508,0,0,0
8.29999999999999,513,0,0,0
8.39999999999999,493,0,0,0
8.49999999999999,497,0,0,0
8.59999999999999,504,0,0,0
8.69999999999999,509,0,0,0
8.79999999999998,511,0,0,0
8.89999999999998,508,0,0,0
8.99999999999998,492,0,0,0
9.09999999999998,491,0,0,0
9.19999999999998,498,0,0,0
9.29999999999998,504,0,0,0
9.39999999999998,506,0,0,0
9.49999999999998,507,0,0,0
9.59999999999998,489,0,0,0
9.69999999999998,514,0,0,0
9.79999999999998,499,0,0,0
9.89999999999998,492,0,0,0
9.99999999999998,464,0,0,0
10.1,457,0,0,0
