"Time","S","R1","R2","RB"
0,1000,0,0,0
0.1,970,0,0,0
0.2,947,0,0,0
0.3,926,0,0,0
0.4,917,0,0,0
0.5,915,0,0,0
0.6,891,0,0,0
0.7,882,0,0,0
0.8,882,0,0,0
0.9,888,0,0,0
1,872,0,0,0
1.1,858,0,0,0
1.2,848,0,0,0
1.3,846,0,0,0
1.4,855,0,0,0
1.5,843,0,0,0
1.6,819,0,0,0
1.7,813,0,0,0
1.8,790,0,0,0
1.9,789,0,0,0
2,811,0,0,0
2.1,831,0,0,0
2.2,803,0,0,0
2.3,800,0,0,0
2.4,816,0,0,0
2.5,826,0,0,0
2.6,824,0,0,0
2.7,831,0,0,0
2.8,838,0,0,0
2.9,829,0,0,0
3,822,0,0,0
3.1,824,0,0,0
3.2,798,0,0,0
3.3,808,0,0,0
3.4,795,0,0,0
3.5,761,0,0,0
3.6,757,0,0,0
3.7,757,0,0,0
3.8,766,0,0,0
3.9,762,0,0,0
4,762,0,0,0
4.1,759,0,0,0
4.2,750,0,0,0
4.3,757,0,0,0
4.4,763,0,0,0
4.5,749,0,0,0
4.6,750,0,0,0
4.7,743,0,0,0
4.8,739,0,0,0
4.9,726,0,0,0
5,715,0,0,0
5.1,679,0,0,0
5.2,662,0,0,0
5.3,667,0,0,0
5.4,652,0,0,0
5.5,627,0,0,0
5.6,602,0,0,0
5.7,596,0,0,0
5.8,584,0,0,0
5.9,593,0,0,0
6,590,0,0,0
6.09999999999999,589,0,0,0
6.19999999999999,583,0,0,0
6.29999999999999,578,0,0,0
6.39999999999999,567,0,0,0
6.49999999999999,558,0,0,0
6.59999999999999,540,0,0,0
6.69999999999999,539,0,0,0
6.79999999999999,537,0,0,0
6.89999999999999,511,0,0,0
6.99999999999999,492,0,0,0
7.09999999999999,480,0,0,0
7.19999999999999,465,0,0,0
7.29999999999999,456,0,0,0
7.39999999999999,459,0,0,0
7.49999999999999,466,0,0,0
7.59999999999999,448,0,0,0
7.69999999999999,439,0,0,0
7.79999999999999,433,0,0,0
7.89999999999999,420,0,0,0
7.99999999999999,410,0,0,0
8.09999999999999,416,0,0,0
8.19999999999999,408,0,0,0
8.29999999999999,402,0,0,0
8.39999999999999,401,0,0,0
8.49999999999999,401,0,0,0
8.59999999999999,391,0,0,0
8.69999999999999,383,0,0,0
8.79999999999998,389,0,0,0
8.89999999999998,396,0,0,0
8.99999999999998,413,0,0,0
9.09999999999998,408,0,0,0
9.19999999999998,396,0,0,0
9.29999999999998,388,0,0,0
9.39999999999998,379,0,0,0
9.49999999999998,383,0,0,0
9.59999999999998,391,0,0,0
9.69999999999998,382,0,0,0
9.79999999999998,358,0,0,0
9.89999999999998,359,0,0,0
9.99999999999998,350,0,0,0
10.1,333,0,0,0
