"Time","S","R1","R2","RB"
0,1000,0,0,0
0.1,980,0,0,0
0.2,949,1,0,0
0.3,922,1,0,0
0.4,904,1,0,0
0.5,897,1,0,0
0.6,908,1,0,0
0.7,921,1,0,0
0.8,925,2,0,0
0.9,915,2,0,0
1,934,2,0,0
1.1,930,2,0,0
1.2,940,1,0,0
1.3,968,1,0,0
1.4,950,1,0,0
1.5,954,2,0,0
1.6,950,2,0,0
1.7,930,2,0,0
1.8,930,2,0,0
1.9,927,2,0,0
2,928,2,0,0
2.1,919,2,0,0
2.2,931,2,0,0
2.3,915,4,0,0
2.4,915,3,0,0
2.5,875,4,0,0
2.6,855,4,0,0
2.7,863,4,0,0
2.8,869,3,0,0
2.9,870,3,0,0
3,864,3,0,0
3.1,850,4,0,0
3.2,846,3,0,0
3.3,848,3,0,0
3.4,852,5,0,0
3.5,854,6,0,0
3.6,865,6,0,0
3.7,855,6,0,0
3.8,864,5,0,0
3.9,854,5,0,0
4,840,4,0,0
4.1,839,4,0,0
4.2,828,5,0,0
4.3,821,6,0,0
4.4,803,6,0,0
4.5,815,7,0,0
4.6,823,9,0,0
4.7,798,9,0,0
4.8,782,9,0,0
4.9,759,11,0,0
5,762,10,0,0
5.1,770,10,0,0
5.2,777,9,0,0
5.3,807,10,0,0
5.4,782,8,0,0
5.5,788,10,0,0
5.6,770,11,0,0
5.7,765,14,0,0
5.8,770,14,0,0
5.9,746,16,0,0
6,738,15,0,0
6.09999999999999,752,18,0,0
6.19999999999999,740,16,0,0
6.29999999999999,729,17,0,0
6.39999999999999,701,18,0,0
6.49999999999999,694,18,0,0
6.59999999999999,704,17,0,0
6.69999999999999,684,19,0,0
6.79999999999999,716,20,0,0
6.89999999999999,705,20,0,0
6.99999999999999,699,23,0,0
7.09999999999999,698,21,0,0
7.19999999999999,682,22,0,0
7.29999999999999,674,24,0,0
7.39999999999999,652,25,0,0
7.49999999999999,652,26,0,0
7.59999999999999,652,28,0,0
7.69999999999999,668,26,0,0
7.79999999999999,662,27,0,0
7.89999999999999,663,27,0,0
7.99999999999999,669,23,0,0
8.09999999999999,659,25,0,0
8.19999999999999,647,28,0,0
8.29999999999999,631,27,0,0
8.39999999999999,622,30,0,0
8.49999999999999,592,30,0,0
8.59999999999999,589,31,0,0
8.69999999999999,582,28,0,0
8.79999999999998,569,28,0,0
8.89999999999998,559,28,0,0
8.99999999999998,566,26,0,0
9.09999999999998,578,25,0,0
9.19999999999998,557,23,0,0
9.29999999999998,573,22,0,0
9.39999999999998,573,21,0,0
9.49999999999998,583,22,0,0
9.59999999999998,570,19,0,0
9.69999999999998,570,19,0,0
9.79999999999998,566,20,0,0
9.89999999999998,576,17,0,0
9.99999999999998,582,16,0,0
10.1,575,14,0,0
