"Time","S","R1","R2","RB"
0,1000,0,0,0
0.1,971,0,0,0
0.2,961,0,0,0
0.3,978,0,0,0
0.4,968,0,0,0
0.5,974,0,0,0
0.6,957,0,0,0
0.7,945,0,0,0
0.8,962,0,0,0
0.9,990,0,0,0
1,993,0,0,0
1.1,960,0,0,0
1.2,945,0,0,0
1.3,922,0,0,0
1.4,917,0,1,0
1.5,916,0,1,0
1.6,910,0,1,0
1.7,934,0,2,0
1.8,942,0,2,0
1.9,933,0,2,0
2,934,0,2,0
2.1,929,0,1,0
2.2,901,0,1,0
2.3,889,0,1,0
2.4,882,0,1,0
2.5,882,0,1,0
2.6,889,0,1,0
2.7,869,0,1,0
2.8,871,0,1,0
2.9,876,0,1,0
3,878,0,1,0
3.1,873,0,1,0
3.2,853,0,1,0
3.3,832,0,1,0
3.4,826,0,0,0
3.5,810,0,0,0
3.6,800,0,0,0
3.7,790,0,0,0
3.8,795,0,0,0
3.9,817,0,0,0
4,787,0,0,0
4.1,796,0,0,0
4.2,773,0,0,0
4.3,782,0,0,0
4.4,764,0,0,0
4.5,777,0,0,0
4.6,760,0,0,0
4.7,759,0,0,0
4.8,741,0,0,0
4.9,719,0,0,0
5,708,0,0,0
5.1,720,0,0,0
5.2,709,0,0,0
5.3,702,0,1,0
5.4,702,0,1,0
5.5,681,0,1,0
5.6,688,0,1,0
5.7,690,0,1,0
5.8,686,0,1,0
5.9,679,0,1,0
6,662,0,1,0
6.09999999999999,657,0,1,0
6.19999999999999,654,0,1,0
6.29999999999999,650,0,0,0
6.39999999999999,647,0,1,0
6.49999999999999,649,0,1,0
6.59999999999999,662,0,0,0
6.69999999999999,652,0,0,0
6.79999999999999,651,0,0,0
6.89999999999999,660,0,1,0
6.99999999999999,664,0,1,0
7.09999999999999,665,0,1,0
7.19999999999999,653,0,1,0
7.29999999999999,639,0,3,0
7.39999999999999,634,0,1,0
7.49999999999999,639,0,1,0
7.59999999999999,634,0,1,0
7.69999999999999,616,0,2,0
7.79999999999999,616,0,2,0
7.89999999999999,624,0,2,0
7.99999999999999,605,0,1,0
8.09999999999999,613,0,1,0
8.19999999999999,612,0,0,0
8.29999999999999,599,0,0,0
8.39999999999999,603,0,1,0
8.49999999999999,601,0,1,0
8.59999999999999,585,0,1,0
8.69999999999999,584,0,1,0
8.79999999999998,576,0,1,0
8.89999999999998,572,0,1,0
8.99999999999998,564,0,0,0
9.09999999999998,574,0,0,0
9.19999999999998,565,0,0,0
9.29999999999998,561,0,0,0
9.39999999999998,532,0,0,0
9.49999999999998,524,0,0,0
9.59999999999998,526,0,0,0
9.69999999999998,531,0,0,0
9.79999999999998,540,0,0,0
9.89999999999998,537,0,0,0
9.99999999999998,538,0,0,0
10.1,528,0,0,0
