"Time","S","R1","R2","RB"
0,1000,0,0,0
0.1,1013,0,0,0
0.2,1014,0,0,0
0.3,1002,0,0,0
0.4,980,0,0,0
0.5,969,0,0,0
0.6,951,0,0,0
0.7,952,0,0,0
0.8,933,0,0,0
0.9,933,0,0,0
1,920,0,0,0
1.1,897,0,0,0
1.2,872,0,0,0
1.3,869,0,0,0
1.4,859,0,0,0
1.5,844,0,0,0
1.6,821,0,0,0
1.7,814,0,0,0
1.8,808,0,0,0
1.9,789,0,0,0
2,789,0,0,0
2.1,768,0,0,0
2.2,758,0,0,0
2.3,740,0,0,0
2.4,723,0,0,0
2.5,710,0,0,0
2.6,721,0,0,0
2.7,708,0,0,0
2.8,693,0,0,0
2.9,700,0,0,0
3,678,0,0,0
3.1,685,0,0,0
3.2,697,0,0,0
3.3,687,0,0,0
3.4,685,0,0,0
3.5,681,0,0,0
3.6,660,0,0,0
3.7,647,0,0,0
3.8,653,0,0,0
3.9,637,0,0,0
4,636,0,0,0
4.1,629,0,0,0
4.2,600,0,1,0
4.3,613,0,1,0
4.4,608,0,0,0
4.5,610,0,0,0
4.6,637,0,0,0
4.7,621,0,0,0
4.8,616,0,0,0
4.9,595,0,0,0
5,574,0,0,0
5.1,555,0,0,0
5.2,550,0,0,0
5.3,537,0,0,0
5.4,540,0,0,0
5.5,537,0,0,0
5.6,528,0,0,0
5.7,540,0,0,0
5.8,527,0,0,0
5.9,529,0,0,0
6,526,0,0,0
6.09999999999999,517,0,0,0
6.19999999999999,518,0,0,0
6.29999999999999,492,0,0,0
6.39999999999999,476,0,0,0
6.49999999999999,474,0,0,0
6.59999999999999,475,0,0,0
6.69999999999999,468,0,0,0
6.79999999999999,479,0,0,0
6.89999999999999,482,0,0,0
6.99999999999999,483,0,0,0
7.09999999999999,468,0,0,0
7.19999999999999,457,0,0,0
7.29999999999999,471,0,0,0
7.39999999999999,469,0,0,0
7.49999999999999,465,0,0,0
7.59999999999999,463,0,0,0
7.69999999999999,472,0,0,0
7.79999999999999,450,0,0,0
7.89999999999999,450,0,0,0
7.99999999999999,439,0,0,0
8.09999999999999,437,0,0,0
8.19999999999999,429,0,0,0
8.29999999999999,429,0,0,0
8.39999999999999,423,0,0,0
8.49999999999999,434,0,0,0
8.59999999999999,426,0,0,0
8.69999999999999,418,0,0,0
8.79999999999998,409,0,0,0
8.89999999999998,409,0,0,0
8.99999999999998,387,0,0,0
9.09999999999998,393,0,0,0
9.19999999999998,374,0,0,0
9.29999999999998,374,0,0,0
9.39999999999998,382,0,0,0
9.49999999999998,378,0,0,0
9.59999999999998,384,0,0,0
9.69999999999998,384,0,0,0
9.79999999999998,396,0,0,0
9.89999999999998,380,0,0,0
9.99999999999998,378,0,0,0
10.1,371,0,0,0
