"Time","S","R1","R2","RB"
0,1000,0,0,0
0.1,1001,0,0,0
0.2,1018,0,0,0
0.3,1018,0,0,0
0.4,1005,0,0,0
0.5,1016,0,0,0
0.6,1017,0,0,0
0.7,1031,0,0,0
0.8,1056,0,0,0
0.9,1031,0,0,0
1,1018,0,0,0
1.1,990,0,0,0
1.2,991,0,0,0
1.3,982,0,0,0
1.4,996,0,0,0
1.5,986,0,0,0
1.6,978,0,0,0
1.7,989,0,0,0
1.8,967,0,0,0
1.9,952,0,0,0
2,930,0,0,0
2.1,917,0,0,0
2.2,886,0,0,0
2.3,886,0,0,0
2.4,872,0,0,0
2.5,881,0,0,0
2.6,880,0,0,0
2.7,877,0,0,0
2.8,885,0,0,0
2.9,878,0,0,0
3,869,0,0,0
3.1,874,0,0,0
3.2,858,0,0,0
3.3,851,0,0,0
3.4,860,0,0,0
3.5,844,0,0,0
3.6,849,0,0,0
3.7,829,0,0,0
3.8,800,0,0,0
3.9,799,0,0,0
4,810,0,0,0
4.1,806,0,0,0
4.2,790,0,0,0
4.3,761,0,0,0
4.4,753,0,0,0
4.5,738,0,0,0
4.6,740,0,0,0
4.7,691,0,0,0
4.8,691,0,0,0
4.9,690,0,0,0
5,678,0,0,0
5.1,677,0,0,0
5.2,670,0,0,0
5.3,659,0,0,0
5.4,627,0,0,0
5.5,621,0,0,0
5.6,614,0,0,0
5.7,604,0,0,0
5.8,609,0,0,0
5.9,621,0,0,0
6,627,0,0,0
6.09999999999999,635,0,0,0
6.19999999999999,631,0,0,0
6.29999999999999,632,0,0,0
6.39999999999999,621,0,0,0
6.49999999999999,601,0,0,0
6.59999999999999,593,0,0,0
6.69999999999999,589,0,0,0
6.79999999999999,578,0,0,0
6.89999999999999,580,0,0,0
6.99999999999999,577,0,0,0
7.09999999999999,592,0,0,0
7.19999999999999,579,0,0,0
7.29999999999999,574,1,0,0
7.39999999999999,572,2,0,0
7.49999999999999,558,2,0,0
7.59999999999999,560,2,0,0
7.69999999999999,552,2,0,0
7.79999999999999,547,0,0,0
7.89999999999999,540,0,0,0
7.99999999999999,554,0,0,0
8.09999999999999,554,0,0,0
8.19999999999999,536,0,0,0
8.29999999999999,530,0,0,0
8.39999999999999,547,0,0,0
8.49999999999999,536,0,0,0
8.59999999999999,538,0,0,0
8.69999999999999,539,0,0,0
8.79999999999998,538,0,0,0
8.89999999999998,528,0,0,0
8.99999999999998,526,0,0,0
9.09999999999998,527,0,0,0
9.19999999999998,528,0,0,0
9.29999999999998,519,0,0,0
9.39999999999998,505,0,0,0
9.49999999999998,517,0,0,0
9.59999999999998,500,0,0,0
9.69999999999998,493,0,0,0
9.79999999999998,491,0,0,0
9.89999999999998,479,0,0,0
9.99999999999998,467,0,0,0
10.1,458,0,0,0
