"Time","S","R1","R2","RB"
0,1000,0,0,0
0.1,1019,0,0,0
0.2,1015,0,0,0
0.3,1004,0,0,0
0.4,1000,0,0,0
0.5,1005,0,0,0
0.6,997,0,0,0
0.7,995,0,0,0
0.8,991,0,0,0
0.9,978,0,0,0
1,982,0,0,0
1.1,977,0,0,0
1.2,973,0,0,0
1.3,952,0,0,0
1.4,970,0,0,0
1.5,995,0,0,0
1.6,984,0,0,0
1.7,967,0,0,0
1.8,964,0,0,0
1.9,927,0,0,0
2,904,0,0,0
2.1,901,0,0,0
2.2,892,0,0,0
2.3,889,0,0,0
2.4,885,0,0,0
2.5,860,0,0,0
2.6,868,0,0,0
2.7,866,0,0,0
2.8,839,0,0,0
2.9,857,0,0,0
3,843,0,0,0
3.1,851,0,0,0
3.2,843,0,0,0
3.3,832,0,0,0
3.4,817,0,0,0
3.5,800,0,0,0
3.6,824,0,0,0
3.7,805,0,0,0
3.8,805,0,0,0
3.9,794,0,0,0
4,771,0,0,0
4.1,776,0,0,0
4.2,777,0,0,0
4.3,771,0,0,0
4.4,767,0,0,0
4.5,733,0,0,0
4.6,717,0,0,0
4.7,715,0,0,0
4.8,735,0,0,0
4.9,725,0,0,0
5,719,0,0,0
5.1,711,0,0,0
5.2,742,0,0,0
5.3,735,0,0,0
5.4,729,0,0,0
5.5,722,0,0,0
5.6,711,0,0,0
5.7,731,0,0,0
5.8,734,0,0,0
5.9,730,0,0,0
6,729,0,0,0
6.09999999999999,734,0,0,0
6.19999999999999,730,0,0,0
6.29999999999999,728,0,0,0
6.39999999999999,726,0,0,0
6.49999999999999,725,0,0,0
6.59999999999999,721,0,0,0
6.69999999999999,703,0,0,0
6.79999999999999,703,0,0,0
6.89999999999999,670,0,0,0
6.99999999999999,659,0,0,0
7.09999999999999,637,0,0,0
7.19999999999999,645,0,0,0
7.29999999999999,625,0,0,0
7.39999999999999,631,0,0,0
7.49999999999999,608,0,0,0
7.59999999999999,613,0,0,0
7.69999999999999,598,0,0,0
7.79999999999999,598,0,0,0
7.89999999999999,582,0,0,0
7.99999999999999,572,0,0,0
8.09999999999999,566,0,0,0
8.19999999999999,574,0,0,0
8.29999999999999,579,0,0,0
8.39999999999999,555,0,0,0
8.49999999999999,545,0,0,0
8.59999999999999,559,0,0,0
8.69999999999999,573,0,0,0
8.79999999999998,558,0,0,0
8.89999999999998,542,0,0,0
8.99999999999998,528,0,0,0
9.09999999999998,513,0,0,0
9.19999999999998,513,0,0,0
9.29999999999998,513,0,0,0
9.39999999999998,499,0,0,0
9.49999999999998,481,0,0,0
9.59999999999998,469,0,0,0
9.69999999999998,465,0,0,0
9.79999999999998,450,0,0,0
9.89999999999998,450,0,0,0
9.99999999999998,453,0,0,0
10.1,458,0,0,0
