"Time","S","R1","R2","RB"
0,1000,0,0,0
0.01,999,0,0,0
0.02,997,0,0,0
0.03,998,0,0,0
0.04,993,0,0,0
0.05,988,0,0,0
0.06,988,0,0,0
0.07,988,0,0,0
0.08,984,0,0,0
0.09,982,0,0,0
0.1,979,0,0,0
0.11,975,0,0,0
0.12,984,0,0,0
0.13,987,0,0,0
0.14,989,0,0,0
0.15,991,0,0,0
0.16,986,0,0,0
0.17,980,0,0,0
0.18,980,0,0,0
0.19,980,0,0,0
0.2,977,0,0,0
0.21,975,0,0,0
0.22,979,0,0,0
0.23,987,0,0,0
0.24,989,0,0,0
0.25,996,0,0,0
0.26,993,0,0,0
0.27,999,0,0,0
0.28,988,0,0,0
0.29,983,0,0,0
0.3,982,0,0,0
0.31,982,0,0,0
0.32,989,0,0,0
0.33,997,0,0,0
0.34,994,0,0,0
0.35,999,0,0,0
0.36,995,0,0,0
0.37,987,0,0,0
0.38,987,0,0,0
0.39,987,0,0,0
0.4,985,0,0,0
0.41,981,0,0,0
0.42,972,0,0,0
0.43,973,0,0,0
0.44,978,0,0,0
0.45,973,0,0,0
0.46,974,0,0,0
0.47,973,0,0,0
0.48,971,0,0,0
0.49,965,0,0,0
0.5,961,0,0,0
0.51,963,0,0,0
0.52,956,0,0,0
0.53,952,0,0,0
0.54,961,0,0,0
0.55,952,0,0,0
0.56,951,0,0,0
0.57,946,0,0,0
0.58,939,0,0,0
0.59,941,0,0,0
0.6,941,0,0,0
0.61,941,0,0,0
0.62,938,0,0,0
0.63,940,0,0,0
0.64,931,0,0,0
0.65,929,0,0,0
0.66,934,0,0,0
0.67,932,0,0,0
0.68,938,0,0,0
0.69,938,0,0,0
0.7,935,0,0,0
0.71,942,0,0,0
0.72,935,0,0,0
0.73,939,0,0,0
0.74,938,0,0,0
0.75,942,0,0,0
0.76,937,0,0,0
0.77,944,0,0,0
0.78,954,0,0,0
0.79,956,0,0,0
0.8,958,0,0,0
0.81,954,0,0,0
0.82,950,0,0,0
0.83,951,0,0,0
0.84,955,0,0,0
0.85,959,0,0,0
0.86,957,0,0,0
0.87,949,0,0,0
0.88,958,0,0,0
0.890000000000001,955,0,0,0
0.900000000000001,962,0,0,0
0.910000000000001,965,0,0,0
0.920000000000001,957,0,0,0
0.930000000000001,958,0,0,0
0.940000000000001,957,0,0,0
0.950000000000001,952,0,0,0
0.960000000000001,955,0,0,0
0.970000000000001,951,0,0,0
0.980000000000001,956,0,0,0
0.990000000000001,955,0,0,0
1,952,0,0,0
1.01,950,0,0,0
1.02,946,0,0,0
1.03,952,0,0,0
1.04,955,0,0,0
1.05,952,0,0,0
1.06,952,0,0,0
1.07,950,0,0,0
1.08,952,0,0,0
1.09,945,0,0,0
1.1,944,0,0,0
1.11,941,0,0,0
1.12,940,0,0,0
1.13,937,0,0,0
1.14,939,0,0,0
1.15,940,0,0,0
1.16,944,0,0,0
1.17,940,0,0,0
1.18,944,0,0,0
1.19,942,0,0,0
1.2,938,0,0,0
1.21,944,0,0,0
1.22,945,0,0,0
1.23,944,0,0,0
1.24,950,0,0,0
1.25,945,0,0,0
1.26,943,0,0,0
1.27,947,0,0,0
1.28,948,0,0,0
1.29,943,0,0,0
1.3,941,0,0,0
1.31,948,0,0,0
1.32,943,0,0,0
1.33,943,0,0,0
1.34,945,0,0,0
1.35,947,0,0,0
1.36,945,0,0,0
1.37,943,0,0,0
1.38,936,0,0,0
1.39,933,0,0,0
1.4,922,0,0,0
1.41,923,0,0,0
1.42,926,0,0,0
1.43,921,0,0,0
1.44,912,0,0,0
1.45,911,0,0,0
1.46,910,0,0,0
1.47,913,0,0,0
1.48,912,0,0,0
1.49,906,0,0,0
1.5,903,0,0,0
1.51,907,0,0,0
1.52,906,0,0,0
1.53,907,0,0,0
1.54,906,0,0,0
1.55,908,0,0,0
1.56,913,0,0,0
1.57,911,0,0,0
1.58,908,0,0,0
1.59,910,0,0,0
1.6,908,0,0,0
1.61,905,0,0,0
1.62,905,0,0,0
1.63,906,0,0,0
1.64,906,0,0,0
1.65,906,0,0,0
1.66,903,0,0,0
1.67,909,0,0,0
1.68,900,0,0,0
1.69,896,0,0,0
1.7,897,0,0,0
1.71,897,0,0,0
1.72,893,0,0,0
1.73,892,0,0,0
1.74,896,0,0,0
1.75,894,0,0,0
1.76,896,0,0,0
1.77,899,0,0,0
1.78,899,0,0,0
1.79,897,0,0,0
1.8,895,0,0,0
1.81,897,0,0,0
1.82,896,0,0,0
1.83,890,0,0,0
1.84,893,0,0,0
1.85,886,0,0,0
1.86,885,0,0,0
1.87,885,0,0,0
1.88,887,0,0,0
1.89,884,0,0,0
1.9,883,0,0,0
1.91,885,0,0,0
1.92,883,0,0,0
1.93,888,0,0,0
1.94,893,0,0,0
1.95,888,0,0,0
1.96,889,0,0,0
1.97,888,0,0,0
1.98,887,0,0,0
1.99,885,0,0,0
2,879,0,0,0
2.01,873,0,0,0
2.02,869,0,0,0
2.03,863,0,0,0
2.04,867,0,0,0
2.05,865,0,0,0
2.06,864,0,0,0
2.07,874,0,0,0
2.08,867,0,0,0
2.09,865,0,0,0
2.1,862,0,0,0
2.11,860,0,0,0
2.12,861,0,0,0
2.13,867,0,0,0
2.14,867,0,0,0
2.15,869,0,0,0
2.16,868,0,0,0
2.17,863,0,0,0
2.18,866,0,0,0
2.19,862,0,0,0
2.2,853,0,0,0
2.21,851,0,0,0
2.22,841,0,0,0
2.23,842,0,0,0
2.24,849,0,0,0
2.25,848,0,0,0
2.26,849,0,0,0
2.27,848,0,0,0
2.28,847,0,0,0
2.29,850,0,0,0
2.3,844,0,0,0
2.30999999999999,842,0,0,0
2.31999999999999,843,0,0,0
2.32999999999999,844,0,0,0
2.33999999999999,844,0,0,0
2.34999999999999,846,0,0,0
2.35999999999999,852,0,0,0
2.36999999999999,848,0,0,0
2.37999999999999,847,0,0,0
2.38999999999999,843,0,0,0
2.39999999999999,846,0,0,0
2.40999999999999,844,0,0,0
2.41999999999999,842,0,0,0
2.42999999999999,842,0,0,0
2.43999999999999,840,0,0,0
2.44999999999999,837,0,0,0
2.45999999999999,838,0,0,0
2.46999999999999,842,0,0,0
2.47999999999999,844,0,0,0
2.48999999999999,836,0,0,0
2.49999999999999,842,0,0,0
2.50999999999999,839,0,0,0
2.51999999999999,836,0,0,0
2.52999999999999,838,0,0,0
2.53999999999999,835,0,0,0
2.54999999999999,841,0,0,0
2.55999999999999,839,0,0,0
2.56999999999999,839,0,0,0
2.57999999999999,840,0,0,0
2.58999999999999,839,0,0,0
2.59999999999999,838,0,0,0
2.60999999999999,836,0,0,0
2.61999999999999,827,0,0,0
2.62999999999999,828,0,0,0
2.63999999999999,827,0,0,0
2.64999999999999,834,0,0,0
2.65999999999999,833,0,0,0
2.66999999999999,835,0,0,0
2.67999999999999,838,0,0,0
2.68999999999999,839,0,0,0
2.69999999999999,834,0,0,0
2.70999999999999,829,0,0,0
2.71999999999999,826,0,0,0
2.72999999999999,830,0,0,0
2.73999999999999,837,0,0,0
2.74999999999999,835,0,0,0
2.75999999999999,831,0,0,0
2.76999999999998,826,0,0,0
2.77999999999998,831,0,0,0
2.78999999999998,833,0,0,0
2.79999999999998,830,0,0,0
2.80999999999998,823,0,0,0
2.81999999999998,819,0,0,0
2.82999999999998,816,0,0,0
2.83999999999998,814,0,0,0
2.84999999999998,808,0,0,0
2.85999999999998,808,0,0,0
2.86999999999998,810,0,0,0
2.87999999999998,808,0,0,0
2.88999999999998,806,0,0,0
2.89999999999998,814,0,0,0
2.90999999999998,818,0,0,0
2.91999999999998,814,0,0,0
2.92999999999998,816,0,0,0
2.93999999999998,819,0,0,0
2.94999999999998,815,0,0,0
2.95999999999998,814,0,0,0
2.96999999999998,817,0,0,0
2.97999999999998,817,0,0,0
2.98999999999998,814,0,0,0
2.99999999999998,819,0,0,0
3.00999999999998,823,0,0,0
3.01999999999998,828,0,0,0
3.02999999999998,827,0,0,0
3.03999999999998,828,0,0,0
3.04999999999998,825,0,0,0
3.05999999999998,822,0,0,0
3.06999999999998,830,0,0,0
3.07999999999998,826,0,0,0
3.08999999999998,828,0,0,0
3.09999999999998,828,0,0,0
3.10999999999998,823,0,0,0
3.11999999999998,812,0,0,0
3.12999999999998,802,0,0,0
3.13999999999998,799,0,0,0
3.14999999999998,797,0,0,0
3.15999999999998,798,0,0,0
3.16999999999998,792,0,0,0
3.17999999999998,797,0,0,0
3.18999999999998,798,0,0,0
3.19999999999998,800,0,0,0
3.20999999999998,803,0,0,0
3.21999999999998,806,0,0,0
3.22999999999998,803,0,0,0
3.23999999999997,802,0,0,0
3.24999999999997,795,0,0,0
3.25999999999997,790,0,0,0
3.26999999999997,789,0,0,0
3.27999999999997,786,0,0,0
3.28999999999997,784,0,0,0
3.29999999999997,780,0,0,0
3.30999999999997,778,0,0,0
3.31999999999997,778,0,0,0
3.32999999999997,769,0,0,0
3.33999999999997,765,0,0,0
3.34999999999997,772,0,0,0
3.35999999999997,772,0,0,0
3.36999999999997,772,0,0,0
3.37999999999997,769,0,0,0
3.38999999999997,773,0,0,0
3.39999999999997,778,0,0,0
3.40999999999997,782,0,0,0
3.41999999999997,784,0,0,0
3.42999999999997,790,0,0,0
3.43999999999997,784,0,0,0
3.44999999999997,785,0,0,0
3.45999999999997,787,0,0,0
3.46999999999997,787,0,0,0
3.47999999999997,779,0,0,0
3.48999999999997,781,0,0,0
3.49999999999997,779,0,0,0
3.50999999999997,779,0,0,0
3.51999999999997,777,0,0,0
3.52999999999997,778,0,0,0
3.53999999999997,773,0,0,0
3.54999999999997,774,0,0,0
3.55999999999997,770,0,0,0
3.56999999999997,764,0,0,0
3.57999999999997,760,0,0,0
3.58999999999997,758,0,0,0
3.59999999999997,758,0,0,0
3.60999999999997,760,0,0,0
3.61999999999997,758,0,0,0
3.62999999999997,758,0,0,0
3.63999999999997,753,0,0,0
3.64999999999997,751,0,0,0
3.65999999999997,753,0,0,0
3.66999999999997,749,0,0,0
3.67999999999997,748,0,0,0
3.68999999999997,744,0,0,0
3.69999999999997,746,0,0,0
3.70999999999996,746,0,0,0
3.71999999999996,744,0,0,0
3.72999999999996,741,0,0,0
3.73999999999996,743,0,0,0
3.74999999999996,747,0,0,0
3.75999999999996,744,0,0,0
3.76999999999996,745,0,0,0
3.77999999999996,745,0,0,0
3.78999999999996,746,0,0,0
3.79999999999996,748,0,0,0
3.80999999999996,750,0,0,0
3.81999999999996,752,0,0,0
3.82999999999996,751,0,0,0
3.83999999999996,753,0,0,0
3.84999999999996,752,0,0,0
3.85999999999996,758,0,0,0
3.86999999999996,761,0,0,0
3.87999999999996,767,0,0,0
3.88999999999996,766,0,0,0
3.89999999999996,768,0,0,0
3.90999999999996,772,0,0,0
3.91999999999996,774,0,0,0
3.92999999999996,782,0,0,0
3.93999999999996,777,0,0,0
3.94999999999996,785,0,0,0
3.95999999999996,787,0,0,0
3.96999999999996,786,0,0,0
3.97999999999996,790,0,0,0
3.98999999999996,786,0,0,0
3.99999999999996,788,0,0,0
4.00999999999996,778,0,0,0
4.01999999999996,775,0,0,0
4.02999999999996,777,0,0,0
4.03999999999996,774,0,0,0
4.04999999999996,772,0,0,0
4.05999999999996,771,0,0,0
4.06999999999996,770,0,0,0
4.07999999999996,771,0,0,0
4.08999999999996,777,0,0,0
4.09999999999996,776,0,0,0
4.10999999999996,780,0,0,0
4.11999999999996,777,0,0,0
4.12999999999996,777,0,0,0
4.13999999999996,778,0,0,0
4.14999999999996,777,0,0,0
4.15999999999996,770,0,0,0
4.16999999999996,778,0,0,0
4.17999999999996,777,0,0,0
4.18999999999996,777,0,0,0
4.19999999999995,774,0,0,0
4.20999999999995,776,0,0,0
4.21999999999995,777,0,0,0
4.22999999999995,771,0,0,0
4.23999999999995,771,0,0,0
4.24999999999995,766,0,0,0
4.25999999999995,766,0,0,0
4.26999999999995,763,0,0,0
4.27999999999995,763,0,0,0
4.28999999999995,759,0,0,0
4.29999999999995,759,0,0,0
4.30999999999995,759,0,0,0
4.31999999999995,761,0,0,0
4.32999999999995,762,0,0,0
4.33999999999995,762,0,0,0
4.34999999999995,760,0,0,0
4.35999999999995,762,0,0,0
4.36999999999995,767,0,0,0
4.37999999999995,768,0,0,0
4.38999999999995,767,0,0,0
4.39999999999995,767,0,0,0
4.40999999999995,767,0,0,0
4.41999999999995,771,0,0,0
4.42999999999995,767,0,0,0
4.43999999999995,762,0,0,0
4.44999999999995,764,0,0,0
4.45999999999995,767,0,0,0
4.46999999999995,764,0,0,0
4.47999999999995,761,0,0,0
4.48999999999995,763,0,0,0
4.49999999999995,769,0,0,0
4.50999999999995,765,0,0,0
4.51999999999995,764,0,0,0
4.52999999999995,764,0,0,0
4.53999999999995,763,0,0,0
4.54999999999995,753,0,0,0
4.55999999999995,754,0,0,0
4.56999999999995,755,0,0,0
4.57999999999995,756,0,0,0
4.58999999999995,753,0,0,0
4.59999999999995,756,0,0,0
4.60999999999995,763,0,0,0
4.61999999999995,768,0,0,0
4.62999999999995,760,0,0,0
4.63999999999995,767,0,0,0
4.64999999999995,766,0,0,0
4.65999999999995,764,0,0,0
4.66999999999994,765,0,0,0
4.67999999999994,759,0,0,0
4.68999999999994,766,0,0,0
4.69999999999994,768,0,0,0
4.70999999999994,763,0,0,0
4.71999999999994,763,0,0,0
4.72999999999994,763,0,0,0
4.73999999999994,770,0,0,0
4.74999999999994,770,0,0,0
4.75999999999994,769,0,0,0
4.76999999999994,766,0,0,0
4.77999999999994,766,0,0,0
4.78999999999994,765,0,0,0
4.79999999999994,760,0,0,0
4.80999999999994,758,0,0,0
4.81999999999994,760,0,0,0
4.82999999999994,755,0,0,0
4.83999999999994,755,0,0,0
4.84999999999994,751,0,0,0
4.85999999999994,749,0,0,0
4.86999999999994,746,0,0,0
4.87999999999994,743,0,0,0
4.88999999999994,742,0,0,0
4.89999999999994,744,0,0,0
4.90999999999994,743,0,0,0
4.91999999999994,747,0,0,0
4.92999999999994,743,0,0,0
4.93999999999994,752,0,0,0
4.94999999999994,757,0,0,0
4.95999999999994,756,0,0,0
4.96999999999994,757,0,0,0
4.97999999999994,757,0,0,0
4.98999999999994,755,0,0,0
4.99999999999994,754,0,0,0
5.00999999999994,750,0,0,0
5.01999999999994,751,0,0,0
5.02999999999994,750,0,0,0
5.03999999999994,743,0,0,0
5.04999999999994,742,0,0,0
5.05999999999994,753,0,0,0
5.06999999999994,749,0,0,0
5.07999999999994,743,0,0,0
5.08999999999994,736,0,0,0
5.09999999999994,728,0,0,0
5.10999999999994,738,0,0,0
5.11999999999994,738,0,0,0
5.12999999999994,738,0,0,0
5.13999999999993,745,0,0,0
5.14999999999993,746,0,0,0
5.15999999999993,742,0,0,0
5.16999999999993,737,0,0,0
5.17999999999993,735,0,0,0
5.18999999999993,739,0,0,0
5.19999999999993,737,0,0,0
5.20999999999993,737,0,0,0
5.21999999999993,731,0,0,0
5.22999999999993,733,0,0,0
5.23999999999993,732,0,0,0
5.24999999999993,729,0,0,0
5.25999999999993,733,0,0,0
5.26999999999993,733,0,0,0
5.27999999999993,735,0,0,0
5.28999999999993,730,0,0,0
5.29999999999993,727,0,0,0
5.30999999999993,726,0,0,0
5.31999999999993,728,0,0,0
5.32999999999993,731,0,0,0
5.33999999999993,729,0,0,0
5.34999999999993,731,0,0,0
5.35999999999993,725,0,0,0
5.36999999999993,715,0,0,0
5.37999999999993,714,0,0,0
5.38999999999993,710,0,0,0
5.39999999999993,712,0,0,0
5.40999999999993,717,0,0,0
5.41999999999993,714,0,0,0
5.42999999999993,712,0,0,0
5.43999999999993,708,0,0,0
5.44999999999993,709,0,0,0
5.45999999999993,707,0,0,0
5.46999999999993,702,0,0,0
5.47999999999993,697,0,0,0
5.48999999999993,697,0,0,0
5.49999999999993,694,0,0,0
5.50999999999993,689,0,0,0
5.51999999999993,688,0,0,0
5.52999999999993,687,0,0,0
5.53999999999993,685,0,0,0
5.54999999999993,685,0,0,0
5.55999999999993,683,0,0,0
5.56999999999993,685,0,0,0
5.57999999999993,688,0,0,0
5.58999999999993,690,0,0,0
5.59999999999993,693,0,0,0
5.60999999999992,688,0,0,0
5.61999999999992,684,0,0,0
5.62999999999992,681,0,0,0
5.63999999999992,679,0,0,0
5.64999999999992,681,0,0,0
5.65999999999992,684,0,0,0
5.66999999999992,681,0,0,0
5.67999999999992,687,0,0,0
5.68999999999992,682,0,0,0
5.69999999999992,687,0,0,0
5.70999999999992,686,0,0,0
5.71999999999992,688,0,0,0
5.72999999999992,683,0,0,0
5.73999999999992,687,0,0,0
5.74999999999992,687,0,0,0
5.75999999999992,690,0,0,0
5.76999999999992,692,0,0,0
5.77999999999992,697,0,0,0
5.78999999999992,692,0,0,0
5.79999999999992,695,0,0,0
5.80999999999992,693,0,0,0
5.81999999999992,693,0,0,0
5.82999999999992,696,0,0,0
5.83999999999992,691,0,0,0
5.84999999999992,690,0,0,0
5.85999999999992,692,0,0,0
5.86999999999992,690,0,0,0
5.87999999999992,692,0,0,0
5.88999999999992,687,0,0,0
5.89999999999992,687,0,0,0
5.90999999999992,690,0,0,0
5.91999999999992,689,0,0,0
5.92999999999992,689,0,0,0
5.93999999999992,687,0,0,0
5.94999999999992,680,0,0,0
5.95999999999992,681,0,0,0
5.96999999999992,685,0,0,0
5.97999999999992,685,0,0,0
5.98999999999992,684,0,0,0
5.99999999999992,686,0,0,0
6.00999999999992,683,0,0,0
6.01999999999992,686,0,0,0
6.02999999999992,681,0,0,0
6.03999999999992,680,0,0,0
6.04999999999992,680,0,0,0
6.05999999999992,681,0,0,0
6.06999999999992,678,0,0,0
6.07999999999991,675,0,0,0
6.08999999999991,676,0,0,0
6.09999999999991,684,0,0,0
6.10999999999991,681,0,0,0
6.11999999999991,684,0,0,0
6.12999999999991,691,0,0,0
6.13999999999991,685,0,0,0
6.14999999999991,686,0,0,0
6.15999999999991,684,0,0,0
6.16999999999991,682,0,0,0
6.17999999999991,685,0,0,0
6.18999999999991,687,0,0,0
6.19999999999991,680,0,0,0
6.20999999999991,683,0,0,0
6.21999999999991,680,0,0,0
6.22999999999991,681,0,0,0
6.23999999999991,687,0,0,0
6.24999999999991,689,0,0,0
6.25999999999991,689,0,0,0
6.26999999999991,684,0,0,0
6.27999999999991,685,0,0,0
6.28999999999991,689,0,0,0
6.29999999999991,685,0,0,0
6.30999999999991,686,0,0,0
6.31999999999991,682,0,0,0
6.32999999999991,677,0,0,0
6.33999999999991,683,0,0,0
6.34999999999991,688,0,0,0
6.35999999999991,688,0,0,0
6.36999999999991,686,0,0,0
6.37999999999991,688,0,0,0
6.38999999999991,687,0,0,0
6.39999999999991,688,0,0,0
6.40999999999991,691,0,0,0
6.41999999999991,698,0,0,0
6.42999999999991,702,0,0,0
6.43999999999991,697,0,0,0
6.44999999999991,696,0,0,0
6.45999999999991,694,0,0,0
6.46999999999991,694,0,0,0
6.47999999999991,698,0,0,0
6.48999999999991,693,0,0,0
6.49999999999991,692,0,0,0
6.50999999999991,684,0,0,0
6.5199999999999,684,0,0,0
6.5299999999999,686,0,0,0
6.5399999999999,683,0,0,0
6.5499999999999,687,0,0,0
6.5599999999999,682,0,0,0
6.5699999999999,685,0,0,0
6.5799999999999,683,0,0,0
6.5899999999999,681,0,0,0
6.5999999999999,685,0,0,0
6.6099999999999,685,0,0,0
6.6199999999999,682,0,0,0
6.6299999999999,685,0,0,0
6.6399999999999,684,0,0,0
6.6499999999999,689,0,0,0
6.6599999999999,693,0,0,0
6.6699999999999,696,0,0,0
6.6799999999999,697,0,0,0
6.6899999999999,702,0,0,0
6.6999999999999,703,0,0,0
6.7099999999999,701,0,0,0
6.7199999999999,701,0,0,0
6.7299999999999,710,0,0,0
6.7399999999999,715,0,0,0
6.7499999999999,721,0,0,0
6.7599999999999,722,0,0,0
6.7699999999999,722,0,0,0
6.7799999999999,728,0,0,0
6.7899999999999,722,0,0,0
6.7999999999999,726,0,0,0
6.8099999999999,729,0,0,0
6.8199999999999,731,0,0,0
6.8299999999999,734,0,0,0
6.8399999999999,729,0,0,0
6.8499999999999,734,0,0,0
6.8599999999999,738,0,0,0
6.8699999999999,737,0,0,0
6.8799999999999,735,0,0,0
6.8899999999999,739,0,0,0
6.8999999999999,738,0,0,0
6.9099999999999,738,0,0,0
6.9199999999999,740,0,0,0
6.9299999999999,740,0,0,0
6.9399999999999,741,0,0,0
6.9499999999999,739,0,0,0
6.9599999999999,743,0,0,0
6.9699999999999,744,0,0,0
6.9799999999999,741,0,0,0
6.9899999999999,739,0,0,0
6.9999999999999,735,0,0,0
7.0099999999999,737,0,0,0
7.0199999999999,740,0,0,0
7.0299999999999,741,0,0,0
7.03999999999989,737,0,0,0
7.04999999999989,742,0,0,0
7.05999999999989,744,0,0,0
7.06999999999989,739,0,0,0
7.07999999999989,739,0,0,0
7.08999999999989,744,0,0,0
7.09999999999989,751,0,0,0
7.10999999999989,747,0,0,0
7.11999999999989,746,0,0,0
7.12999999999989,748,0,0,0
7.13999999999989,734,0,0,0
7.14999999999989,731,0,0,0
7.15999999999989,731,0,0,0
7.16999999999989,729,0,0,0
7.17999999999989,728,0,0,0
7.18999999999989,726,0,0,0
7.19999999999989,723,0,0,0
7.20999999999989,720,0,0,0
7.21999999999989,718,0,0,0
7.22999999999989,720,0,0,0
7.23999999999989,722,0,0,0
7.24999999999989,722,0,0,0
7.25999999999989,722,0,0,0
7.26999999999989,729,0,0,0
7.27999999999989,726,0,0,0
7.28999999999989,725,0,0,0
7.29999999999989,718,0,0,0
7.30999999999989,721,0,0,0
7.31999999999989,717,0,0,0
7.32999999999989,713,0,0,0
7.33999999999989,717,0,0,0
7.34999999999989,713,0,0,0
7.35999999999989,713,0,0,0
7.36999999999989,712,0,0,0
7.37999999999989,718,0,0,0
7.38999999999989,716,0,0,0
7.39999999999989,717,0,0,0
7.40999999999989,723,0,0,0
7.41999999999989,720,0,0,0
7.42999999999989,716,0,0,0
7.43999999999989,718,0,0,0
7.44999999999989,711,0,0,0
7.45999999999989,712,0,0,0
7.46999999999989,710,0,0,0
7.47999999999988,705,0,0,0
7.48999999999988,699,0,0,0
7.49999999999988,695,0,0,0
7.50999999999988,695,0,0,0
7.51999999999988,697,0,0,0
7.52999999999988,703,0,0,0
7.53999999999988,706,0,0,0
7.54999999999988,704,0,0,0
7.55999999999988,707,0,0,0
7.56999999999988,709,0,0,0
7.57999999999988,708,0,0,0
7.58999999999988,708,0,0,0
7.59999999999988,706,0,0,0
7.60999999999988,710,0,0,0
7.61999999999988,708,0,0,0
7.62999999999988,702,0,0,0
7.63999999999988,703,0,0,0
7.64999999999988,700,0,0,0
7.65999999999988,700,0,0,0
7.66999999999988,705,0,0,0
7.67999999999988,710,0,0,0
7.68999999999988,704,0,0,0
7.69999999999988,703,0,0,0
7.70999999999988,699,0,0,0
7.71999999999988,697,0,0,0
7.72999999999988,696,0,0,0
7.73999999999988,689,0,0,0
7.74999999999988,687,0,0,0
7.75999999999988,685,0,0,0
7.76999999999988,680,0,0,0
7.77999999999988,675,0,0,0
7.78999999999988,673,0,0,0
7.79999999999988,665,0,0,0
7.80999999999988,663,0,0,0
7.81999999999988,662,0,0,0
7.82999999999988,655,0,0,0
7.83999999999988,654,0,0,0
7.84999999999988,654,0,0,0
7.85999999999988,653,0,0,0
7.86999999999988,648,0,0,0
7.87999999999988,650,0,0,0
7.88999999999988,645,0,0,0
7.89999999999988,650,0,0,0
7.90999999999988,649,0,0,0
7.91999999999988,650,0,0,0
7.92999999999988,652,0,0,0
7.93999999999988,651,0,0,0
7.94999999999987,650,0,0,0
7.95999999999987,652,0,0,0
7.96999999999987,652,0,0,0
7.97999999999987,656,0,0,0
7.98999999999987,660,0,0,0
7.99999999999987,658,0,0,0
8.00999999999987,662,0,0,0
8.01999999999987,665,0,0,0
8.02999999999987,666,0,0,0
8.03999999999987,664,0,0,0
8.04999999999987,659,0,0,0
8.05999999999987,660,0,0,0
8.06999999999987,653,0,0,0
8.07999999999987,656,0,0,0
8.08999999999987,654,0,0,0
8.09999999999987,649,0,0,0
8.10999999999987,656,0,0,0
8.11999999999987,657,0,0,0
8.12999999999987,654,0,0,0
8.13999999999987,659,0,0,0
8.14999999999987,662,0,0,0
8.15999999999987,664,0,0,0
8.16999999999987,661,0,0,0
8.17999999999987,657,0,0,0
8.18999999999987,654,0,0,0
8.19999999999987,652,0,0,0
8.20999999999987,652,0,0,0
8.21999999999987,650,0,0,0
8.22999999999987,646,0,0,0
8.23999999999987,642,0,0,0
8.24999999999987,642,0,0,0
8.25999999999987,648,0,0,0
8.26999999999987,646,0,0,0
8.27999999999987,642,0,0,0
8.28999999999987,639,0,0,0
8.29999999999987,640,0,0,0
8.30999999999987,638,0,0,0
8.31999999999987,640,0,0,0
8.32999999999987,631,0,0,0
8.33999999999987,631,0,0,0
8.34999999999987,635,0,0,0
8.35999999999987,635,0,0,0
8.36999999999987,641,0,0,0
8.37999999999987,640,0,0,0
8.38999999999987,638,0,0,0
8.39999999999987,641,0,0,0
8.40999999999987,639,0,0,0
8.41999999999986,638,0,0,0
8.42999999999986,632,0,0,0
8.43999999999986,635,0,0,0
8.44999999999986,636,0,0,0
8.45999999999986,627,0,0,0
8.46999999999986,625,0,0,0
8.47999999999986,627,0,0,0
8.48999999999986,630,0,0,0
8.49999999999986,619,0,0,0
8.50999999999986,614,0,0,0
8.51999999999986,617,0,0,0
8.52999999999986,619,0,0,0
8.53999999999986,623,0,0,0
8.54999999999986,620,0,0,0
8.55999999999986,616,0,0,0
8.56999999999986,617,0,0,0
8.57999999999986,617,0,0,0
8.58999999999986,612,0,0,0
8.59999999999986,608,0,0,0
