"Time","S","R1","R2","RB"
0,1000,0,0,0
0.1,992,0,0,0
0.2,995,0,0,0
0.3,981,0,0,0
0.4,983,0,0,0
0.5,955,0,0,0
0.6,939,0,0,0
0.7,953,0,0,0
0.8,925,0,0,0
0.9,918,0,0,0
1,911,0,0,0
1.1,898,0,0,0
1.2,895,0,0,0
1.3,894,0,0,0
1.4,892,0,0,0
1.5,885,0,0,0
1.6,866,0,0,0
1.7,874,0,0,0
1.8,855,0,0,0
1.9,838,0,0,0
2,847,0,0,0
2.1,866,0,0,0
2.2,889,0,0,0
2.3,895,0,0,0
2.4,889,0,0,0
2.5,859,0,0,0
2.6,839,0,0,0
2.7,836,0,0,0
2.8,826,0,0,0
2.9,810,0,0,0
3,815,0,0,0
3.1,804,0,0,0
3.2,831,0,0,0
3.3,839,0,0,0
3.4,832,0,0,0
3.5,823,0,0,0
3.6,807,0,0,0
3.7,807,0,0,0
3.8,797,0,0,0
3.9,790,0,0,0
4,759,0,0,0
4.1,771,0,0,0
4.2,763,0,0,0
4.3,765,0,0,0
4.4,756,0,0,0
4.5,764,0,0,0
4.6,763,0,0,0
4.7,776,0,0,0
4.8,783,0,0,0
4.9,770,0,0,0
5,752,0,0,0
5.1,750,0,0,0
5.2,756,0,0,0
5.3,761,0,0,0
5.4,765,0,0,0
5.5,755,0,0,0
5.6,738,0,0,0
5.7,737,0,0,0
5.8,714,0,0,0
5.9,693,0,0,0
6,695,0,0,0
6.09999999999999,713,0,0,0
6.19999999999999,704,0,0,0
6.29999999999999,699,0,0,0
6.39999999999999,692,0,0,0
6.49999999999999,710,0,0,0
6.59999999999999,730,0,0,0
6.69999999999999,721,0,0,0
6.79999999999999,731,0,0,0
6.89999999999999,737,0,0,0
6.99999999999999,745,0,0,0
7.09999999999999,766,0,0,0
7.19999999999999,769,0,0,0
7.29999999999999,768,0,0,0
7.39999999999999,769,0,0,0
7.49999999999999,787,0,0,0
7.59999999999999,795,0,0,0
7.69999999999999,781,0,0,0
7.79999999999999,768,0,0,0
7.89999999999999,760,0,0,0
7.99999999999999,757,0,0,0
8.09999999999999,750,0,0,0
8.19999999999999,729,0,0,0
8.29999999999999,734,0,0,0
8.39999999999999,747,0,0,0
8.49999999999999,766,0,0,0
8.59999999999999,743,0,0,0
8.69999999999999,746,0,0,0
8.79999999999998,743,0,0,0
8.89999999999998,736,0,0,0
8.99999999999998,757,0,0,0
9.09999999999998,749,0,0,0
9.19999999999998,731,0,0,0
9.29999999999998,747,0,0,0
9.39999999999998,717,0,0,0
9.49999999999998,714,0,0,0
9.59999999999998,707,0,0,0
9.69999999999998,709,0,0,0
9.79999999999998,706,0,0,0
9.89999999999998,696,0,0,0
9.99999999999998,703,0,0,0
10.1,702,0,0,0
