"Time","S","R1","R2","RB"
0,1000,0,0,0
0.1,996,0,0,0
0.2,975,0,0,0
0.3,981,0,0,0
0.4,961,0,0,0
0.5,963,0,0,0
0.6,960,0,0,0
0.7,954,0,0,0
0.8,955,0,0,0
0.9,934,0,0,0
1,923,0,0,0
1.1,925,0,0,0
1.2,913,0,0,0
1.3,902,0,0,0
1.4,891,0,0,0
1.5,860,0,0,0
1.6,834,0,0,0
1.7,826,0,0,0
1.8,834,0,0,0
1.9,833,0,0,0
2,823,0,0,0
2.1,815,0,0,0
2.2,814,0,0,0
2.3,797,0,0,0
2.4,782,0,0,0
2.5,759,0,0,0
2.6,742,0,0,0
2.7,748,0,0,0
2.8,715,0,0,0
2.9,723,0,0,0
3,715,0,0,0
3.1,711,0,0,0
3.2,718,0,0,0
3.3,736,0,0,0
3.4,742,0,0,0
3.5,731,0,0,0
3.6,712,0,0,0
3.7,718,0,0,0
3.8,715,0,0,0
3.9,715,0,0,0
4,693,0,0,0
4.1,715,0,0,0
4.2,715,0,0,0
4.3,731,0,0,0
4.4,726,0,0,0
4.5,733,0,0,0
4.6,725,0,0,0
4.7,712,0,0,0
4.8,700,0,0,0
4.9,687,0,0,0
5,683,0,0,0
5.1,682,0,0,0
5.2,683,0,0,0
5.3,681,0,0,0
5.4,678,0,0,0
5.5,660,0,0,0
5.6,664,0,0,0
5.7,657,0,0,0
5.8,665,0,0,0
5.9,638,0,0,0
6,616,0,0,0
6.09999999999999,591,0,0,0
6.19999999999999,590,0,0,0
6.29999999999999,583,0,0,0
6.39999999999999,606,0,0,0
6.49999999999999,579,0,0,0
6.59999999999999,585,0,0,0
6.69999999999999,583,0,0,0
6.79999999999999,590,0,0,0
6.89999999999999,592,0,0,0
6.99999999999999,591,0,0,0
7.09999999999999,588,0,0,0
7.19999999999999,583,0,0,0
7.29999999999999,583,0,0,0
7.39999999999999,561,0,0,0
7.49999999999999,556,0,0,0
7.59999999999999,556,0,0,0
7.69999999999999,554,0,0,0
7.79999999999999,553,0,0,0
7.89999999999999,567,0,0,0
7.99999999999999,563,0,0,0
8.09999999999999,560,0,0,0
8.19999999999999,542,0,0,0
8.29999999999999,528,0,0,0
8.39999999999999,541,0,0,0
8.49999999999999,524,0,0,0
8.59999999999999,515,0,0,0
8.69999999999999,513,0,0,0
8.79999999999998,516,0,0,0
8.89999999999998,506,0,0,0
8.99999999999998,497,0,0,0
9.09999999999998,484,0,0,0
9.19999999999998,482,0,0,0
9.29999999999998,471,0,0,0
9.39999999999998,473,0,0,0
9.49999999999998,478,0,0,0
9.59999999999998,484,0,0,0
9.69999999999998,483,0,0,0
9.79999999999998,461,0,0,0
9.89999999999998,447,0,0,0
9.99999999999998,455,0,0,0
10.1,455,0,0,0
