"Time","S","R1","R2","RB"
0,1000,0,0,0
0.1,981,0,0,0
0.2,989,0,0,0
0.3,977,0,0,0
0.4,935,0,0,0
0.5,906,0,0,0
0.6,898,0,0,0
0.7,891,0,0,0
0.8,878,0,0,0
0.9,893,0,0,0
1,881,0,0,0
1.1,873,0,0,0
1.2,862,0,0,0
1.3,852,0,0,0
1.4,858,0,0,0
1.5,876,0,0,0
1.6,860,0,0,0
1.7,854,0,0,0
1.8,832,0,0,0
1.9,802,0,0,0
2,805,0,0,0
2.1,797,0,0,0
2.2,792,0,0,0
2.3,793,0,0,0
2.4,798,0,0,0
2.5,760,0,0,0
2.6,746,0,0,0
2.7,744,0,0,0
2.8,750,0,0,0
2.9,740,0,0,0
3,723,0,0,0
3.1,736,0,0,0
3.2,712,0,0,0
3.3,702,0,0,0
3.4,702,0,0,0
3.5,698,0,0,0
3.6,688,0,0,0
3.7,690,0,0,0
3.8,664,0,0,0
3.9,665,0,0,0
4,659,0,0,0
4.1,639,0,0,0
4.2,628,0,0,0
4.3,619,0,0,0
4.4,605,0,0,0
4.5,627,0,0,0
4.6,633,0,0,0
4.7,616,0,0,0
4.8,606,0,0,0
4.9,591,0,0,0
5,572,0,0,0
5.1,578,0,0,0
5.2,571,0,0,0
5.3,584,0,0,0
5.4,584,0,0,0
5.5,583,0,0,0
5.6,592,0,0,0
5.7,576,0,0,0
5.8,580,0,0,0
5.9,569,0,0,0
6,565,0,0,0
6.09999999999999,557,0,0,0
6.19999999999999,550,0,0,0
6.29999999999999,549,0,0,0
6.39999999999999,551,0,0,0
6.49999999999999,548,0,0,0
6.59999999999999,523,0,0,0
6.69999999999999,514,0,0,0
6.79999999999999,522,0,0,0
6.89999999999999,517,0,0,0
6.99999999999999,509,0,0,0
7.09999999999999,518,0,0,0
7.19999999999999,523,0,0,0
7.29999999999999,514,0,0,0
7.39999999999999,508,0,0,0
7.49999999999999,497,0,0,0
7.59999999999999,490,0,0,0
7.69999999999999,480,0,0,0
7.79999999999999,464,0,0,0
7.89999999999999,476,0,0,0
7.99999999999999,468,0,0,0
8.09999999999999,472,0,0,0
8.19999999999999,464,0,0,0
8.29999999999999,456,0,0,0
8.39999999999999,459,0,0,0
8.49999999999999,458,0,0,0
8.59999999999999,454,0,0,0
8.69999999999999,453,0,0,0
8.79999999999998,441,0,0,0
8.89999999999998,439,0,0,0
8.99999999999998,437,0,0,0
9.09999999999998,444,0,0,0
9.19999999999998,441,0,0,0
9.29999999999998,436,0,0,0
9.39999999999998,431,0,0,0
9.49999999999998,437,0,0,0
9.59999999999998,434,0,0,0
9.69999999999998,425,0,0,0
9.79999999999998,422,0,0,0
9.89999999999998,423,0,0,0
9.99999999999998,414,0,0,0
10.1,403,0,0,0
