"Time","S","R1","R2","RB"
0,1000,0,0,0
0.1,993,0,0,0
0.2,984,0,0,0
0.3,976,0,0,0
0.4,950,0,0,0
0.5,949,0,0,0
0.6,942,0,0,0
0.7,969,0,0,0
0.8,945,0,0,0
0.9,924,0,0,0
1,923,0,0,0
1.1,896,0,0,0
1.2,906,0,0,0
1.3,891,0,0,0
1.4,898,0,0,0
1.5,892,0,0,0
1.6,895,0,0,0
1.7,904,0,0,0
1.8,897,0,0,0
1.9,863,0,1,0
2,858,0,0,0
2.1,839,0,0,0
2.2,834,0,0,0
2.3,826,0,0,0
2.4,809,0,0,0
2.5,802,0,0,0
2.6,817,0,0,0
2.7,820,0,0,0
2.8,796,0,0,0
2.9,780,0,0,0
3,786,0,0,0
3.1,752,0,0,0
3.2,732,0,0,0
3.3,708,0,0,0
3.4,715,0,0,0
3.5,707,0,0,0
3.6,702,0,0,0
3.7,731,0,0,0
3.8,712,0,0,0
3.9,699,0,0,0
4,698,0,0,0
4.1,700,0,0,0
4.2,671,0,0,0
4.3,667,0,0,0
4.4,659,0,0,0
4.5,661,0,0,0
4.6,663,0,0,0
4.7,662,0,0,0
4.8,627,0,0,0
4.9,610,0,0,0
5,625,0,0,0
5.1,619,0,0,0
5.2,618,0,0,0
5.3,616,0,0,0
5.4,625,0,0,0
5.5,617,0,0,0
5.6,611,0,0,0
5.7,607,0,0,0
5.8,621,0,0,0
5.9,609,0,0,0
6,606,0,0,0
6.09999999999999,612,0,0,0
6.19999999999999,614,0,0,0
6.29999999999999,612,0,0,0
6.39999999999999,606,0,0,0
6.49999999999999,580,0,0,0
6.59999999999999,582,0,0,0
6.69999999999999,579,0,0,0
6.79999999999999,570,0,0,0
6.89999999999999,564,0,0,0
6.99999999999999,574,0,0,0
7.09999999999999,559,0,0,0
7.19999999999999,547,0,0,0
7.29999999999999,545,0,0,0
7.39999999999999,537,0,0,0
7.49999999999999,545,0,0,0
7.59999999999999,523,0,0,0
7.69999999999999,528,0,0,0
7.79999999999999,519,0,0,0
7.89999999999999,501,0,0,0
7.99999999999999,501,0,0,0
8.09999999999999,491,0,0,0
8.19999999999999,479,0,0,0
8.29999999999999,472,0,0,0
8.39999999999999,458,0,0,0
8.49999999999999,464,0,0,0
8.59999999999999,457,0,0,0
8.69999999999999,449,0,0,0
8.79999999999998,450,0,0,0
8.89999999999998,451,0,0,0
8.99999999999998,451,0,0,0
9.09999999999998,436,0,0,0
9.19999999999998,429,0,0,0
9.29999999999998,437,0,0,0
9.39999999999998,430,0,0,0
9.49999999999998,413,0,0,0
9.59999999999998,409,0,0,0
9.69999999999998,410,0,0,0
9.79999999999998,419,0,0,0
9.89999999999998,410,0,0,0
9.99999999999998,430,0,0,0
10.1,421,0,0,0
