"Time","S","R1","R2","RB"
0,1000,0,0,0
0.1,988,0,0,0
0.2,995,0,0,0
0.3,973,0,0,0
0.4,970,0,0,0
0.5,966,0,0,0
0.6,967,0,0,0
0.7,957,0,0,0
0.8,941,0,0,0
0.9,935,0,0,0
1,920,0,0,0
1.1,895,0,0,0
1.2,881,0,0,0
1.3,869,0,0,0
1.4,830,0,0,0
1.5,816,0,0,0
1.6,793,0,0,0
1.7,805,0,0,0
1.8,786,0,0,0
1.9,762,0,0,0
2,776,0,0,0
2.1,767,0,0,0
2.2,748,0,0,0
2.3,723,0,0,0
2.4,733,0,0,0
2.5,744,0,0,0
2.6,721,0,0,0
2.7,704,0,0,0
2.8,685,0,0,0
2.9,705,0,0,0
3,713,0,0,0
3.1,713,0,0,0
3.2,689,0,0,0
3.3,688,0,0,0
3.4,692,0,0,0
3.5,699,0,0,0
3.6,694,0,0,0
3.7,694,0,0,0
3.8,692,0,0,0
3.9,680,0,0,0
4,679,0,0,0
4.1,662,0,0,0
4.2,657,0,0,0
4.3,629,0,0,0
4.4,627,0,0,0
4.5,641,0,0,0
4.6,635,0,0,0
4.7,635,0,0,0
4.8,635,0,0,0
4.9,633,0,0,0
5,628,0,0,0
5.1,623,0,0,0
5.2,636,0,0,0
5.3,621,0,0,0
5.4,625,0,0,0
5.5,635,0,0,0
5.6,616,0,0,0
5.7,604,0,0,0
5.8,615,0,0,0
5.9,606,0,0,0
6,584,0,0,0
6.09999999999999,584,0,0,0
6.19999999999999,590,0,0,0
6.29999999999999,592,0,0,0
6.39999999999999,591,0,0,0
6.49999999999999,584,0,0,0
6.59999999999999,599,0,0,0
6.69999999999999,613,0,0,0
6.79999999999999,598,0,0,0
6.89999999999999,581,0,0,0
6.99999999999999,575,0,0,0
7.09999999999999,552,0,0,0
7.19999999999999,527,0,0,0
7.29999999999999,525,0,0,0
7.39999999999999,500,0,0,0
7.49999999999999,494,0,0,0
7.59999999999999,484,0,0,0
7.69999999999999,467,0,0,0
7.79999999999999,462,0,0,0
7.89999999999999,460,0,0,0
7.99999999999999,440,0,0,0
8.09999999999999,425,0,0,0
8.19999999999999,426,0,0,0
8.29999999999999,427,0,0,0
8.39999999999999,441,0,0,0
8.49999999999999,434,0,0,0
8.59999999999999,447,0,0,0
8.69999999999999,431,0,0,0
8.79999999999998,435,0,0,0
8.89999999999998,441,0,0,0
8.99999999999998,448,0,0,0
9.09999999999998,443,0,0,0
9.19999999999998,409,0,0,0
9.29999999999998,402,0,0,0
9.39999999999998,412,0,0,0
9.49999999999998,418,0,0,0
9.59999999999998,408,0,0,0
9.69999999999998,416,0,0,0
9.79999999999998,406,0,0,0
9.89999999999998,398,0,0,0
9.99999999999998,389,0,0,0
10.1,402,0,0,0
