"Time","S","R1","R2","RB"
0,1000,0,0,0
0.1,996,0,0,0
0.2,994,0,0,0
0.3,995,0,0,0
0.4,984,1,0,0
0.5,996,1,0,0
0.6,998,1,0,0
0.7,999,1,0,0
0.8,965,1,0,0
0.9,981,1,0,0
1,961,0,0,0
1.1,948,0,0,0
1.2,943,0,0,0
1.3,930,0,0,0
1.4,939,0,0,0
1.5,947,0,0,0
1.6,929,0,0,0
1.7,920,0,0,0
1.8,903,1,0,0
1.9,895,1,0,0
2,871,1,0,0
2.1,867,1,0,0
2.2,869,1,0,0
2.3,874,1,0,0
2.4,851,1,0,0
2.5,832,1,0,0
2.6,823,1,0,0
2.7,841,0,0,0
2.8,858,1,0,0
2.9,853,1,0,0
3,842,2,0,0
3.1,844,3,0,0
3.2,835,4,0,0
3.3,831,4,0,0
3.4,816,3,0,0
3.5,821,3,0,0
3.6,817,3,0,0
3.7,791,2,0,0
3.8,803,3,0,0
3.9,782,3,0,0
4,775,4,0,0
4.1,768,4,0,0
4.2,770,5,0,0
4.3,757,6,0,0
4.4,747,7,0,0
4.5,725,5,0,0
4.6,715,5,0,0
4.7,717,4,0,0
4.8,710,4,0,0
4.9,697,4,0,0
5,696,4,0,0
5.1,721,2,0,0
5.2,681,2,0,0
5.3,684,2,0,0
5.4,684,3,0,0
5.5,683,3,0,0
5.6,673,3,0,0
5.7,676,4,0,0
5.8,692,3,0,0
5.9,699,2,0,0
6,698,1,0,0
6.09999999999999,689,1,0,0
6.19999999999999,673,0,0,0
6.29999999999999,659,0,0,0
6.39999999999999,653,0,0,0
6.49999999999999,652,0,0,0
6.59999999999999,636,0,0,0
6.69999999999999,636,0,0,0
6.79999999999999,635,0,0,0
6.89999999999999,614,0,0,0
6.99999999999999,598,0,0,0
7.09999999999999,578,0,0,0
7.19999999999999,581,0,0,0
7.29999999999999,581,0,0,0
7.39999999999999,581,0,0,0
7.49999999999999,585,0,0,0
7.59999999999999,570,0,0,0
7.69999999999999,583,0,0,0
7.79999999999999,594,0,0,0
7.89999999999999,575,0,0,0
7.99999999999999,569,0,0,0
8.09999999999999,569,0,0,0
8.19999999999999,591,0,0,0
8.29999999999999,572,0,0,0
8.39999999999999,555,0,0,0
8.49999999999999,560,0,0,0
8.59999999999999,575,0,1,0
8.69999999999999,565,0,1,0
8.79999999999998,573,0,1,0
8.89999999999998,559,0,1,0
8.99999999999998,561,0,1,0
9.09999999999998,558,0,1,0
9.19999999999998,559,0,1,0
9.29999999999998,542,0,1,0
9.39999999999998,542,0,0,0
9.49999999999998,534,0,0,0
9.59999999999998,528,0,0,0
9.69999999999998,537,0,0,0
9.79999999999998,544,0,0,0
9.89999999999998,550,0,0,0
9.99999999999998,534,0,0,0
10.1,528,0,0,0
