"Time","S","R1","R2","RB"
0,1000,0,0,0
0.1,998,0,0,0
0.2,992,0,0,0
0.3,982,0,0,0
0.4,979,0,0,0
0.5,952,0,0,0
0.6,943,0,0,0
0.7,927,0,0,0
0.8,916,0,0,0
0.9,935,0,0,0
1,940,0,0,0
1.1,911,0,0,0
1.2,904,0,0,0
1.3,905,0,0,0
1.4,886,0,0,0
1.5,884,0,0,0
1.6,854,0,0,0
1.7,865,0,0,0
1.8,846,0,0,0
1.9,839,0,0,0
2,836,0,0,0
2.1,828,0,0,0
2.2,798,0,0,0
2.3,784,0,0,0
2.4,767,0,0,0
2.5,757,0,0,0
2.6,760,0,0,0
2.7,742,0,0,0
2.8,739,0,0,0
2.9,724,0,0,0
3,719,0,0,0
3.1,686,0,0,0
3.2,674,0,0,0
3.3,671,0,0,0
3.4,670,0,0,0
3.5,691,0,0,0
3.6,667,0,0,0
3.7,664,0,0,0
3.8,659,0,0,0
3.9,658,0,0,0
4,665,0,0,0
4.1,653,0,0,0
4.2,657,0,0,0
4.3,648,0,0,0
4.4,655,0,0,0
4.5,634,0,0,0
4.6,610,0,0,0
4.7,613,0,0,0
4.8,599,0,0,0
4.9,592,0,0,0
5,581,0,0,0
5.1,567,0,0,0
5.2,556,0,0,0
5.3,571,0,0,0
5.4,566,0,0,0
5.5,568,0,0,0
5.6,566,0,0,0
5.7,544,0,0,0
5.8,542,0,0,0
5.9,511,0,0,0
6,501,0,0,0
6.09999999999999,501,0,0,0
6.19999999999999,489,0,0,0
6.29999999999999,484,0,0,0
6.39999999999999,475,0,0,0
6.49999999999999,459,0,0,0
6.59999999999999,444,0,0,0
6.69999999999999,460,0,0,0
6.79999999999999,463,0,0,0
6.89999999999999,458,0,0,0
6.99999999999999,459,0,0,0
7.09999999999999,451,0,0,0
7.19999999999999,449,0,0,0
7.29999999999999,442,0,0,0
7.39999999999999,434,0,0,0
7.49999999999999,434,0,0,0
7.59999999999999,441,0,0,0
7.69999999999999,436,0,0,0
7.79999999999999,442,0,0,0
7.89999999999999,434,0,0,0
7.99999999999999,430,0,0,0
8.09999999999999,426,0,0,0
8.19999999999999,419,0,0,0
8.29999999999999,406,0,0,0
8.39999999999999,409,0,0,0
8.49999999999999,405,0,0,0
8.59999999999999,408,0,0,0
8.69999999999999,402,0,0,0
8.79999999999998,403,0,0,0
8.89999999999998,417,0,0,0
8.99999999999998,419,0,0,0
9.09999999999998,393,0,0,0
9.19999999999998,391,0,0,0
9.29999999999998,401,0,0,0
9.39999999999998,389,0,0,0
9.49999999999998,389,0,0,0
9.59999999999998,391,0,0,0
9.69999999999998,393,0,0,0
9.79999999999998,400,0,0,0
9.89999999999998,404,0,0,0
9.99999999999998,398,0,0,0
10.1,391,0,0,0
