"Time","S","R1","R2","RB"
0,1000,0,0,0
0.1,988,0,0,0
0.2,987,0,0,0
0.3,975,0,0,0
0.4,955,0,0,0
0.5,952,0,0,0
0.6,936,0,0,0
0.7,917,0,0,0
0.8,927,0,0,0
0.9,912,0,0,0
1,913,0,0,0
1.1,905,0,0,0
1.2,897,0,0,0
1.3,908,0,0,0
1.4,894,0,0,0
1.5,889,0,0,0
1.6,886,0,0,0
1.7,888,0,0,0
1.8,863,0,0,0
1.9,854,0,0,0
2,830,0,0,0
2.1,800,0,0,0
2.2,815,0,0,0
2.3,840,0,0,0
2.4,832,0,0,0
2.5,833,0,0,0
2.6,843,0,0,0
2.7,848,0,0,0
2.8,855,0,0,0
2.9,843,0,0,0
3,853,0,0,0
3.1,827,0,0,0
3.2,833,0,0,0
3.3,794,0,1,0
3.4,783,0,1,0
3.5,772,0,1,0
3.6,770,0,1,0
3.7,757,0,1,0
3.8,742,0,1,0
3.9,713,0,2,0
4,714,0,2,0
4.1,695,0,1,0
4.2,685,0,1,0
4.3,671,0,1,0
4.4,671,0,1,0
4.5,678,0,1,0
4.6,679,0,2,0
4.7,664,0,2,0
4.8,655,0,2,0
4.9,635,0,3,0
5,627,0,2,0
5.1,612,0,3,0
5.2,623,0,3,0
5.3,632,0,3,0
5.4,639,0,3,0
5.5,627,0,3,0
5.6,615,0,3,0
5.7,599,0,4,0
5.8,591,0,4,0
5.9,590,0,4,0
6,577,0,6,0
6.09999999999999,557,0,6,0
6.19999999999999,568,0,5,0
6.29999999999999,560,0,5,0
6.39999999999999,560,0,6,0
6.49999999999999,547,0,6,0
6.59999999999999,537,0,9,0
6.69999999999999,530,0,9,0
6.79999999999999,523,0,7,0
6.89999999999999,526,0,7,0
6.99999999999999,525,0,6,0
7.09999999999999,515,0,5,0
7.19999999999999,502,0,6,0
7.29999999999999,502,0,5,0
7.39999999999999,491,0,6,0
7.49999999999999,474,0,6,0
7.59999999999999,453,0,6,0
7.69999999999999,441,0,4,0
7.79999999999999,448,0,4,0
7.89999999999999,441,0,4,0
7.99999999999999,426,0,2,0
8.09999999999999,416,0,2,0
8.19999999999999,417,0,0,0
8.29999999999999,406,0,0,0
8.39999999999999,388,0,0,0
8.49999999999999,384,0,0,0
8.59999999999999,366,0,0,0
8.69999999999999,384,0,0,0
8.79999999999998,393,0,0,0
8.89999999999998,392,0,0,0
8.99999999999998,371,0,1,0
9.09999999999998,381,0,1,0
9.19999999999998,367,0,1,0
9.29999999999998,354,0,1,0
9.39999999999998,350,0,1,0
9.49999999999998,349,0,1,0
9.59999999999998,351,0,0,0
9.69999999999998,355,0,0,0
9.79999999999998,356,0,0,0
9.89999999999998,348,0,0,0
9.99999999999998,344,0,0,0
10.1,330,0,0,0
