"Time","S","R1","R2","RB"
0,1000,0,0,0
0.1,996,0,0,0
0.2,956,0,0,0
0.3,952,0,0,0
0.4,966,0,0,0
0.5,961,0,0,0
0.6,969,0,0,0
0.7,965,0,0,0
0.8,965,0,0,0
0.9,973,0,0,0
1,952,0,0,0
1.1,950,0,0,0
1.2,930,0,0,0
1.3,917,0,0,0
1.4,894,0,0,0
1.5,883,0,0,0
1.6,876,0,0,0
1.7,858,0,0,0
1.8,843,0,0,0
1.9,841,0,0,0
2,836,0,0,0
2.1,824,0,0,0
2.2,813,0,0,0
2.3,788,0,0,0
2.4,774,0,0,0
2.5,797,0,0,0
2.6,793,0,0,0
2.7,772,0,0,0
2.8,753,0,0,0
2.9,742,0,0,0
3,729,0,0,0
3.1,734,0,0,0
3.2,737,0,0,0
3.3,741,0,0,0
3.4,736,0,0,0
3.5,741,0,0,0
3.6,770,0,0,0
3.7,783,0,0,0
3.8,779,0,0,0
3.9,773,0,0,0
4,765,0,0,0
4.1,755,0,0,0
4.2,735,0,0,0
4.3,725,0,0,0
4.4,726,0,0,0
4.5,725,0,0,0
4.6,724,0,0,0
4.7,701,0,0,0
4.8,679,0,0,0
4.9,682,0,0,0
5,674,0,0,0
5.1,674,0,0,0
5.2,663,0,0,0
5.3,673,0,0,0
5.4,672,0,0,0
5.5,671,0,0,0
5.6,665,0,0,0
5.7,662,0,0,0
5.8,660,0,0,0
5.9,629,0,0,0
6,619,0,0,0
6.09999999999999,620,0,0,0
6.19999999999999,619,0,0,0
6.29999999999999,599,0,0,0
6.39999999999999,617,0,0,0
6.49999999999999,609,0,0,0
6.59999999999999,613,0,0,0
6.69999999999999,598,0,0,0
6.79999999999999,591,0,0,0
6.89999999999999,598,0,0,0
6.99999999999999,576,0,0,0
7.09999999999999,545,0,0,0
7.19999999999999,540,0,0,0
7.29999999999999,541,0,0,0
7.39999999999999,527,0,0,0
7.49999999999999,518,0,0,0
7.59999999999999,518,0,0,0
7.69999999999999,509,0,0,0
7.79999999999999,491,0,0,0
7.89999999999999,473,0,0,0
7.99999999999999,474,0,0,0
8.09999999999999,478,0,0,0
8.19999999999999,481,0,0,0
8.29999999999999,482,0,0,0
8.39999999999999,479,0,0,0
8.49999999999999,471,0,0,0
8.59999999999999,477,0,0,0
8.69999999999999,477,0,0,0
8.79999999999998,480,0,0,0
8.89999999999998,471,0,0,0
8.99999999999998,470,0,0,0
9.09999999999998,469,0,0,0
9.19999999999998,462,0,0,0
9.29999999999998,459,0,0,0
9.39999999999998,469,0,0,0
9.49999999999998,488,0,0,0
9.59999999999998,462,0,0,0
9.69999999999998,456,0,0,0
9.79999999999998,448,0,0,0
9.89999999999998,449,0,0,0
9.99999999999998,467,0,0,0
10.1,470,0,0,0
