"Time","S","R1","R2","RB"
0,1000,0,0,0
0.1,970,0,0,0
0.2,984,0,0,0
0.3,999,0,0,0
0.4,987,0,0,0
0.5,974,0,0,0
0.6,952,0,0,0
0.7,916,0,0,0
0.8,910,0,0,0
0.9,921,0,0,0
1,917,0,0,0
1.1,926,0,0,0
1.2,920,0,0,0
1.3,892,0,0,0
1.4,880,0,0,0
1.5,902,0,0,0
1.6,920,0,0,0
1.7,886,0,0,0
1.8,892,0,0,0
1.9,889,0,0,0
2,894,0,0,0
2.1,891,0,0,0
2.2,902,0,0,0
2.3,892,0,0,0
2.4,895,0,0,0
2.5,895,0,0,0
2.6,919,0,0,0
2.7,903,0,0,0
2.8,905,0,0,0
2.9,903,0,0,0
3,914,0,0,0
3.1,905,0,0,0
3.2,915,0,0,0
3.3,921,0,0,0
3.4,910,0,0,0
3.5,889,0,0,0
3.6,881,0,0,0
3.7,885,0,0,0
3.8,880,0,0,0
3.9,884,0,0,0
4,864,0,0,0
4.1,889,0,0,0
4.2,870,0,0,0
4.3,837,0,0,0
4.4,854,0,0,0
4.5,851,0,0,0
4.6,853,0,0,0
4.7,855,0,0,0
4.8,833,0,0,0
4.9,854,0,0,0
5,826,0,0,0
5.1,844,0,0,0
5.2,840,0,0,0
5.3,830,0,0,0
5.4,831,0,0,0
5.5,823,0,0,0
5.6,830,0,0,0
5.7,834,0,0,0
5.8,831,0,0,0
5.9,833,0,0,0
6,839,0,0,0
6.09999999999999,828,0,0,0
6.19999999999999,836,0,0,0
6.29999999999999,836,0,0,0
6.39999999999999,841,0,0,0
6.49999999999999,841,0,0,0
6.59999999999999,826,0,0,0
6.69999999999999,822,0,0,0
6.79999999999999,812,0,0,0
6.89999999999999,803,0,0,0
6.99999999999999,773,0,0,0
7.09999999999999,761,0,0,0
7.19999999999999,751,0,0,0
7.29999999999999,762,0,0,0
7.39999999999999,758,0,0,0
7.49999999999999,758,0,0,0
7.59999999999999,742,0,0,0
7.69999999999999,746,0,0,0
7.79999999999999,733,0,0,0
7.89999999999999,743,0,0,0
7.99999999999999,733,0,0,0
8.09999999999999,730,0,0,0
8.19999999999999,733,0,0,0
8.29999999999999,736,0,0,0
8.39999999999999,753,0,0,0
8.49999999999999,739,0,0,0
8.59999999999999,752,0,0,0
8.69999999999999,751,0,0,0
8.79999999999998,747,0,0,0
8.89999999999998,740,0,0,0
8.99999999999998,746,0,0,0
9.09999999999998,751,0,0,0
9.19999999999998,741,0,0,0
9.29999999999998,757,0,0,0
9.39999999999998,739,0,0,0
9.49999999999998,750,0,0,0
9.59999999999998,746,0,0,0
9.69999999999998,763,0,0,0
9.79999999999998,762,0,0,0
9.89999999999998,774,0,0,0
9.99999999999998,770,0,0,0
10.1,762,0,0,0
