"Time","S","R1","R2","RB"
0,1000,0,0,0
0.1,991,0,0,0
0.2,995,0,0,0
0.3,991,0,0,0
0.4,988,0,0,0
0.5,969,0,0,0
0.6,961,0,0,0
0.7,968,0,0,0
0.8,985,0,0,0
0.9,980,0,0,0
1,966,0,0,0
1.1,964,0,0,0
1.2,941,0,0,0
1.3,916,0,0,0
1.4,903,0,0,0
1.5,908,0,0,0
1.6,914,0,0,0
1.7,884,0,0,0
1.8,898,0,0,0
1.9,888,0,0,0
2,880,0,0,0
2.1,903,0,0,0
2.2,904,0,0,0
2.3,882,0,0,0
2.4,890,0,0,0
2.5,900,0,0,0
2.6,912,0,0,0
2.7,915,0,0,0
2.8,915,0,0,0
2.9,931,0,0,0
3,946,0,0,0
3.1,939,0,0,0
3.2,943,0,0,0
3.3,942,0,0,0
3.4,956,0,0,0
3.5,942,0,0,0
3.6,934,0,0,0
3.7,948,0,0,0
3.8,958,0,0,0
3.9,935,0,0,0
4,913,0,0,0
4.1,888,0,0,0
4.2,875,0,0,0
4.3,893,0,0,0
4.4,894,0,0,0
4.5,882,0,0,0
4.6,873,0,0,0
4.7,883,0,0,0
4.8,857,0,0,0
4.9,861,0,0,0
5,851,0,0,0
5.1,844,0,0,0
5.2,838,0,0,0
5.3,828,0,0,0
5.4,822,0,0,0
5.5,829,0,0,0
5.6,847,0,0,0
5.7,836,0,0,0
5.8,831,0,0,0
5.9,821,0,0,0
6,806,0,0,0
6.09999999999999,795,0,0,0
6.19999999999999,784,0,0,0
6.29999999999999,781,0,0,0
6.39999999999999,781,0,0,0
6.49999999999999,773,0,0,0
6.59999999999999,756,0,0,0
6.69999999999999,738,0,0,0
6.79999999999999,727,0,0,0
6.89999999999999,718,0,0,0
6.99999999999999,728,0,0,0
7.09999999999999,725,0,0,0
7.19999999999999,730,0,0,0
7.29999999999999,731,0,0,0
7.39999999999999,733,0,0,0
7.49999999999999,739,0,0,0
7.59999999999999,741,0,0,0
7.69999999999999,717,0,0,0
7.79999999999999,695,0,0,0
7.89999999999999,691,0,0,0
7.99999999999999,691,0,0,0
8.09999999999999,664,0,0,0
8.19999999999999,643,0,0,0
8.29999999999999,626,0,0,0
8.39999999999999,619,0,0,0
8.49999999999999,611,0,0,0
8.59999999999999,618,0,0,0
8.69999999999999,629,0,0,0
8.79999999999998,633,0,0,0
8.89999999999998,612,0,0,0
8.99999999999998,624,0,0,0
9.09999999999998,624,0,0,0
9.19999999999998,630,0,0,0
9.29999999999998,625,0,0,0
9.39999999999998,611,0,0,0
9.49999999999998,603,0,0,0
9.59999999999998,600,0,0,0
9.69999999999998,619,0,0,0
9.79999999999998,624,0,0,0
9.89999999999998,602,0,0,0
9.99999999999998,603,0,0,0
10.1,604,0,0,0
