"Time","S","R1","R2","RB"
0,1000,0,0,0
0.1,999,0,0,0
0.2,971,0,0,0
0.3,957,0,0,0
0.4,932,0,0,0
0.5,904,0,0,0
0.6,855,0,0,0
0.7,843,0,0,0
0.8,826,0,0,0
0.9,816,0,0,0
1,819,0,0,0
1.1,800,0,0,0
1.2,788,0,0,0
1.3,791,0,0,0
1.4,802,0,0,0
1.5,799,0,0,0
1.6,803,0,0,0
1.7,810,0,0,0
1.8,804,0,0,0
1.9,787,0,0,0
2,770,0,0,0
2.1,772,0,0,0
2.2,795,0,0,0
2.3,783,0,0,0
2.4,794,0,0,0
2.5,795,0,0,0
2.6,785,0,0,0
2.7,787,0,0,0
2.8,782,0,0,0
2.9,774,0,0,0
3,773,0,0,0
3.1,765,0,0,0
3.2,741,0,0,0
3.3,738,0,0,0
3.4,733,0,0,0
3.5,705,0,0,0
3.6,694,0,0,0
3.7,695,0,0,0
3.8,693,0,0,0
3.9,670,0,0,0
4,672,0,0,0
4.1,660,0,0,0
4.2,659,0,0,0
4.3,653,0,0,0
4.4,647,0,0,0
4.5,655,0,0,0
4.6,663,0,0,0
4.7,675,0,0,0
4.8,684,0,0,0
4.9,696,0,0,0
5,703,0,0,0
5.1,689,0,0,0
5.2,697,0,0,0
5.3,684,0,0,0
5.4,688,0,0,0
5.5,664,0,0,0
5.6,650,0,0,0
5.7,642,0,0,0
5.8,635,0,0,0
5.9,639,0,0,0
6,647,0,0,0
6.09999999999999,633,0,0,0
6.19999999999999,614,0,0,0
6.29999999999999,610,0,0,0
6.39999999999999,600,0,0,0
6.49999999999999,598,0,0,0
6.59999999999999,599,0,0,0
6.69999999999999,583,0,0,0
6.79999999999999,562,0,0,0
6.89999999999999,547,0,0,0
6.99999999999999,535,0,0,0
7.09999999999999,532,0,0,0
7.19999999999999,531,0,0,0
7.29999999999999,522,0,0,0
7.39999999999999,533,0,0,0
7.49999999999999,528,0,0,0
7.59999999999999,524,0,0,0
7.69999999999999,540,0,0,0
7.79999999999999,517,0,0,0
7.89999999999999,518,0,0,0
7.99999999999999,514,0,0,0
8.09999999999999,501,0,0,0
8.19999999999999,499,0,0,0
8.29999999999999,495,0,0,0
8.39999999999999,515,0,0,0
8.49999999999999,502,0,0,0
8.59999999999999,513,0,0,0
8.69999999999999,518,0,0,0
8.79999999999998,512,0,0,0
8.89999999999998,512,0,0,0
8.99999999999998,525,0,0,0
9.09999999999998,519,0,0,0
9.19999999999998,508,0,0,0
9.29999999999998,496,0,0,0
9.39999999999998,491,0,0,0
9.49999999999998,469,0,0,0
9.59999999999998,467,0,0,0
9.69999999999998,464,0,0,0
9.79999999999998,456,0,0,0
9.89999999999998,460,0,0,0
9.99999999999998,465,0,0,0
10.1,467,0,0,0
