"Time","S","R1","R2","RB"
0,1000,0,0,0
0.1,1006,0,0,0
0.2,979,0,0,0
0.3,968,0,0,0
0.4,952,0,0,0
0.5,909,0,0,0
0.6,902,0,0,0
0.7,879,0,0,0
0.8,884,0,0,0
0.9,878,0,0,0
1,844,0,0,0
1.1,843,0,0,0
1.2,820,0,0,0
1.3,790,0,0,0
1.4,787,0,0,0
1.5,781,0,0,0
1.6,775,0,0,0
1.7,780,0,0,0
1.8,763,0,0,0
1.9,747,0,0,0
2,729,0,0,0
2.1,732,0,0,0
2.2,709,0,0,0
2.3,699,0,0,0
2.4,701,0,0,0
2.5,697,0,0,0
2.6,676,0,0,0
2.7,673,0,0,0
2.8,659,0,0,0
2.9,633,0,0,0
3,646,0,0,0
3.1,640,0,0,0
3.2,627,0,0,0
3.3,631,0,0,0
3.4,631,0,0,0
3.5,625,0,0,0
3.6,638,0,0,0
3.7,636,0,0,0
3.8,609,0,0,0
3.9,607,0,0,0
4,597,0,0,0
4.1,594,0,0,0
4.2,598,0,0,0
4.3,593,0,0,0
4.4,585,0,0,0
4.5,587,0,0,0
4.6,566,0,0,0
4.7,561,0,0,0
4.8,548,0,0,0
4.9,539,0,0,0
5,514,0,0,0
5.1,501,0,0,0
5.2,501,0,0,0
5.3,499,0,0,0
5.4,502,0,0,0
5.5,489,0,0,0
5.6,477,0,0,0
5.7,465,0,0,0
5.8,465,0,0,0
5.9,459,0,0,0
6,457,0,0,0
6.09999999999999,447,0,0,0
6.19999999999999,445,0,0,0
6.29999999999999,434,0,0,0
6.39999999999999,425,0,0,0
6.49999999999999,435,0,0,0
6.59999999999999,438,0,0,0
6.69999999999999,438,0,0,0
6.79999999999999,428,0,0,0
6.89999999999999,407,0,0,0
6.99999999999999,414,0,0,0
7.09999999999999,411,0,0,0
7.19999999999999,413,0,0,0
7.29999999999999,423,0,0,0
7.39999999999999,421,0,0,0
7.49999999999999,419,0,0,0
7.59999999999999,414,0,0,0
7.69999999999999,429,0,0,0
7.79999999999999,418,0,0,0
7.89999999999999,404,0,0,0
7.99999999999999,393,0,0,0
8.09999999999999,369,0,0,0
8.19999999999999,359,0,0,0
8.29999999999999,350,0,0,0
8.39999999999999,347,0,0,0
8.49999999999999,339,0,0,0
8.59999999999999,345,0,0,0
8.69999999999999,340,0,0,0
8.79999999999998,341,0,0,0
8.89999999999998,347,0,0,0
8.99999999999998,354,0,0,0
9.09999999999998,348,0,0,0
9.19999999999998,334,0,0,0
9.29999999999998,335,0,0,0
9.39999999999998,322,0,0,0
9.49999999999998,312,0,0,0
9.59999999999998,297,0,0,0
9.69999999999998,290,0,0,0
9.79999999999998,288,0,0,0
9.89999999999998,302,0,0,0
9.99999999999998,290,0,0,0
10.1,287,0,0,0
