"Time","S","R1","R2","RB"
0,1000,0,0,0
0.1,1007,0,0,0
0.2,965,0,0,0
0.3,959,0,0,0
0.4,925,0,0,0
0.5,912,0,0,0
0.6,914,0,0,0
0.7,926,0,0,0
0.8,906,0,0,0
0.9,898,0,0,0
1,901,0,0,0
1.1,898,0,0,0
1.2,904,0,0,0
1.3,905,0,0,0
1.4,891,0,0,0
1.5,866,0,0,0
1.6,835,0,0,0
1.7,828,0,0,0
1.8,815,0,0,0
1.9,794,0,0,0
2,791,0,0,0
2.1,786,0,0,0
2.2,782,0,0,0
2.3,775,0,0,0
2.4,767,0,0,0
2.5,740,0,0,0
2.6,729,0,0,0
2.7,712,0,0,0
2.8,692,0,0,0
2.9,698,0,0,0
3,698,0,0,0
3.1,669,0,0,0
3.2,648,0,0,0
3.3,635,0,0,0
3.4,621,0,0,0
3.5,602,0,0,0
3.6,599,0,0,0
3.7,577,0,0,0
3.8,572,0,0,0
3.9,540,0,0,0
4,536,0,0,0
4.1,529,0,0,0
4.2,517,0,0,0
4.3,525,0,0,0
4.4,511,0,0,0
4.5,489,0,0,0
4.6,493,0,0,0
4.7,493,0,0,0
4.8,506,0,0,0
4.9,499,0,0,0
5,496,0,0,0
5.1,498,0,0,0
5.2,474,0,0,0
5.3,462,0,0,0
5.4,461,0,0,0
5.5,469,0,0,0
5.6,480,0,0,0
5.7,467,0,0,0
5.8,463,0,0,0
5.9,454,0,0,0
6,465,0,0,0
6.09999999999999,461,0,0,0
6.19999999999999,444,0,0,0
6.29999999999999,451,0,0,0
6.39999999999999,426,0,0,0
6.49999999999999,427,0,0,0
6.59999999999999,428,0,0,0
6.69999999999999,414,0,0,0
6.79999999999999,412,0,0,0
6.89999999999999,414,0,0,0
6.99999999999999,418,0,0,0
7.09999999999999,400,0,0,0
7.19999999999999,398,0,0,0
7.29999999999999,402,0,0,0
7.39999999999999,386,0,0,0
7.49999999999999,382,0,0,0
7.59999999999999,380,0,0,0
7.69999999999999,364,0,0,0
7.79999999999999,362,0,0,0
7.89999999999999,347,0,0,0
7.99999999999999,352,0,0,0
8.09999999999999,349,0,0,0
8.19999999999999,355,0,0,0
8.29999999999999,333,0,0,0
8.39999999999999,339,0,0,0
8.49999999999999,348,0,0,0
8.59999999999999,330,0,0,0
8.69999999999999,321,0,0,0
8.79999999999998,305,0,0,0
8.89999999999998,286,0,0,0
8.99999999999998,286,0,0,0
9.09999999999998,273,0,0,0
9.19999999999998,273,0,0,0
9.29999999999998,272,0,0,0
9.39999999999998,266,0,0,0
9.49999999999998,268,0,0,0
9.59999999999998,252,0,0,0
9.69999999999998,247,0,0,0
9.79999999999998,242,0,0,0
9.89999999999998,243,0,0,0
9.99999999999998,233,0,0,0
10.1,240,0,0,0
