"Time","S","R1","R2","RB"
0,1000,0,0,0
0.1,1009,0,0,0
0.2,1005,0,0,0
0.3,978,0,0,0
0.4,984,0,0,0
0.5,986,0,0,0
0.6,998,0,0,0
0.7,994,0,0,0
0.8,988,0,0,0
0.9,977,0,0,0
1,983,0,0,0
1.1,978,0,0,0
1.2,944,0,0,0
1.3,908,0,0,0
1.4,867,0,0,0
1.5,862,0,0,0
1.6,866,0,0,0
1.7,832,0,0,0
1.8,835,0,0,0
1.9,825,0,0,0
2,829,0,0,0
2.1,821,0,0,0
2.2,810,0,0,0
2.3,804,0,0,0
2.4,813,0,0,0
2.5,806,0,0,0
2.6,795,0,0,0
2.7,788,0,0,0
2.8,800,0,0,0
2.9,779,0,0,0
3,761,0,0,0
3.1,728,0,0,0
3.2,723,0,0,0
3.3,735,0,0,0
3.4,740,0,0,0
3.5,712,0,0,0
3.6,694,0,0,0
3.7,686,0,0,0
3.8,674,0,0,0
3.9,667,0,0,0
4,644,0,0,0
4.1,631,0,0,0
4.2,619,0,0,0
4.3,613,0,0,0
4.4,610,0,0,0
4.5,589,0,0,0
4.6,590,0,0,0
4.7,584,0,0,0
4.8,562,0,0,0
4.9,581,0,0,0
5,580,0,0,0
5.1,574,0,0,0
5.2,586,0,0,0
5.3,591,0,0,0
5.4,593,0,0,0
5.5,590,0,0,0
5.6,571,0,0,0
5.7,549,0,0,0
5.8,535,0,0,0
5.9,522,0,0,0
6,509,0,0,0
6.09999999999999,495,0,0,0
6.19999999999999,487,0,0,0
6.29999999999999,484,0,0,0
6.39999999999999,472,0,0,0
6.49999999999999,469,0,0,0
6.59999999999999,465,0,0,0
6.69999999999999,448,0,0,0
6.79999999999999,448,0,0,0
6.89999999999999,436,0,0,0
6.99999999999999,425,0,0,0
7.09999999999999,411,0,0,0
7.19999999999999,414,0,0,0
7.29999999999999,419,0,0,0
7.39999999999999,398,0,0,0
7.49999999999999,387,0,0,0
7.59999999999999,374,0,0,0
7.69999999999999,366,0,0,0
7.79999999999999,360,0,0,0
7.89999999999999,352,0,0,0
7.99999999999999,345,0,0,0
8.09999999999999,352,0,0,0
8.19999999999999,345,0,0,0
8.29999999999999,336,0,0,0
8.39999999999999,325,0,0,0
8.49999999999999,317,0,0,0
8.59999999999999,303,0,0,0
8.69999999999999,303,0,0,0
8.79999999999998,295,0,0,0
8.89999999999998,290,0,0,0
8.99999999999998,284,0,0,0
9.09999999999998,298,0,0,0
9.19999999999998,297,0,0,0
9.29999999999998,295,0,0,0
9.39999999999998,300,0,0,0
9.49999999999998,297,0,0,0
9.59999999999998,286,0,0,0
9.69999999999998,277,0,0,0
9.79999999999998,282,0,0,0
9.89999999999998,280,0,0,0
9.99999999999998,274,0,0,0
10.1,267,0,0,0
