"Time","S","R1","R2","RB"
0,1000,0,0,0
0.1,1001,0,0,0
0.2,966,0,0,0
0.3,980,0,0,0
0.4,960,0,0,0
0.5,940,0,0,0
0.6,951,0,0,0
0.7,937,0,0,0
0.8,928,0,0,0
0.9,929,0,0,0
1,935,0,0,0
1.1,951,0,0,0
1.2,952,0,0,0
1.3,944,0,0,0
1.4,945,0,0,0
1.5,915,0,0,0
1.6,886,0,0,0
1.7,884,0,0,0
1.8,880,0,0,0
1.9,894,0,0,0
2,869,0,0,0
2.1,837,0,0,0
2.2,806,0,0,0
2.3,788,0,0,0
2.4,761,0,0,0
2.5,754,0,0,0
2.6,739,0,0,0
2.7,734,0,0,0
2.8,717,0,0,0
2.9,719,0,0,0
3,699,0,0,0
3.1,684,1,0,0
3.2,677,1,0,0
3.3,661,1,0,0
3.4,649,1,0,0
3.5,618,1,0,0
3.6,607,1,0,0
3.7,611,1,0,0
3.8,596,3,0,0
3.9,580,3,0,0
4,562,3,0,0
4.1,529,3,0,0
4.2,525,3,0,0
4.3,516,3,0,0
4.4,513,3,0,0
4.5,506,3,0,0
4.6,494,3,0,0
4.7,472,3,0,0
4.8,474,3,0,0
4.9,464,3,0,0
5,457,3,0,0
5.1,436,5,0,0
5.2,435,2,0,0
5.3,418,2,0,0
5.4,406,2,0,0
5.5,391,2,0,0
5.6,389,2,0,0
5.7,370,3,0,0
5.8,367,3,0,0
5.9,354,4,0,0
6,345,4,0,0
6.09999999999999,346,5,0,0
6.19999999999999,345,6,0,0
6.29999999999999,348,5,0,0
6.39999999999999,327,5,0,0
6.49999999999999,313,5,0,0
6.59999999999999,316,6,0,0
6.69999999999999,314,6,0,0
6.79999999999999,319,5,0,0
6.89999999999999,316,6,0,0
6.99999999999999,321,6,0,0
7.09999999999999,309,7,0,0
7.19999999999999,312,6,0,0
7.29999999999999,307,6,0,0
7.39999999999999,308,7,0,0
7.49999999999999,299,8,0,0
7.59999999999999,285,9,0,0
7.69999999999999,296,8,0,0
7.79999999999999,303,8,0,0
7.89999999999999,289,8,0,0
7.99999999999999,281,8,0,0
8.09999999999999,260,8,0,0
8.19999999999999,271,9,0,0
8.29999999999999,271,10,0,0
8.39999999999999,258,12,0,0
8.49999999999999,257,11,0,0
8.59999999999999,265,12,0,0
8.69999999999999,264,10,0,0
8.79999999999998,268,12,0,0
8.89999999999998,255,13,0,0
8.99999999999998,254,16,0,0
9.09999999999998,257,16,0,0
9.19999999999998,259,17,0,0
9.29999999999998,252,17,0,0
9.39999999999998,241,19,0,0
9.49999999999998,227,16,0,0
9.59999999999998,226,15,0,0
9.69999999999998,226,15,0,0
9.79999999999998,218,15,0,0
9.89999999999998,218,17,0,0
9.99999999999998,209,18,0,0
10.1,205,19,0,0
