"Time","S","R1","R2","RB"
0,1000,0,0,0
0.1,1001,0,0,0
0.2,966,0,0,0
0.3,973,0,0,0
0.4,954,0,0,0
0.5,947,0,0,0
0.6,928,0,0,0
0.7,924,0,0,0
0.8,890,0,0,0
0.9,871,0,0,0
1,848,0,0,0
1.1,836,0,0,0
1.2,860,0,0,0
1.3,850,0,0,0
1.4,846,0,0,0
1.5,838,0,0,0
1.6,830,0,0,0
1.7,830,0,0,0
1.8,826,0,0,0
1.9,814,0,0,0
2,819,0,0,0
2.1,820,0,0,0
2.2,803,0,0,0
2.3,782,0,0,0
2.4,790,0,0,0
2.5,791,0,0,0
2.6,758,0,0,0
2.7,727,0,0,0
2.8,711,0,0,0
2.9,684,0,0,0
3,666,0,0,0
3.1,659,0,0,0
3.2,655,0,0,0
3.3,647,0,0,0
3.4,639,0,0,0
3.5,632,0,0,0
3.6,607,0,0,0
3.7,604,0,0,0
3.8,597,0,0,0
3.9,582,0,0,0
4,577,0,0,0
4.1,575,0,0,0
4.2,580,0,0,0
4.3,578,0,0,0
4.4,550,0,0,0
4.5,549,0,0,0
4.6,544,0,0,0
4.7,531,0,0,0
4.8,518,0,0,0
4.9,516,0,0,0
5,499,0,0,0
5.1,497,0,0,0
5.2,513,0,0,0
5.3,489,0,0,0
5.4,497,0,0,0
5.5,496,0,0,0
5.6,483,0,0,0
5.7,472,0,0,0
5.8,468,0,0,0
5.9,446,0,0,0
6,415,0,0,0
6.09999999999999,404,0,0,0
6.19999999999999,402,0,0,0
6.29999999999999,387,0,0,0
6.39999999999999,368,0,0,0
6.49999999999999,362,0,0,0
6.59999999999999,362,0,0,0
6.69999999999999,348,0,0,0
6.79999999999999,346,0,0,0
6.89999999999999,330,0,0,0
6.99999999999999,330,0,0,0
7.09999999999999,326,0,0,0
7.19999999999999,318,0,0,0
7.29999999999999,314,0,0,0
7.39999999999999,298,0,0,0
7.49999999999999,288,0,0,0
7.59999999999999,284,0,0,0
7.69999999999999,292,0,0,0
7.79999999999999,283,0,0,0
7.89999999999999,284,0,0,0
7.99999999999999,281,0,0,0
8.09999999999999,265,0,0,0
8.19999999999999,258,0,0,0
8.29999999999999,258,0,0,0
8.39999999999999,250,0,0,0
8.49999999999999,245,0,0,0
8.59999999999999,244,0,0,0
8.69999999999999,244,0,0,0
8.79999999999998,238,0,0,0
8.89999999999998,239,0,0,0
8.99999999999998,251,0,0,0
9.09999999999998,252,0,0,0
9.19999999999998,237,0,0,0
9.29999999999998,226,0,0,0
9.39999999999998,235,0,0,0
9.49999999999998,240,0,0,0
9.59999999999998,224,0,0,0
9.69999999999998,225,0,0,0
9.79999999999998,222,0,0,0
9.89999999999998,217,0,0,0
9.99999999999998,212,0,0,0
10.1,216,0,0,0
