"Time","S","R1","R2","RB"
0,1000,0,0,0
0.1,978,0,0,0
0.2,985,0,0,0
0.3,988,0,0,0
0.4,972,0,0,0
0.5,957,0,0,0
0.6,928,0,0,0
0.7,926,0,0,0
0.8,924,0,0,0
0.9,905,0,0,0
1,886,0,0,0
1.1,865,0,0,0
1.2,832,0,0,0
1.3,827,0,0,0
1.4,808,0,0,0
1.5,774,0,0,0
1.6,779,0,0,0
1.7,776,0,0,0
1.8,747,0,0,0
1.9,738,0,0,0
2,740,0,0,0
2.1,748,0,0,0
2.2,735,0,0,0
2.3,718,0,0,0
2.4,703,0,0,0
2.5,669,0,0,0
2.6,635,0,0,0
2.7,625,0,0,0
2.8,608,0,0,0
2.9,611,0,0,0
3,593,0,0,0
3.1,603,0,0,0
3.2,596,0,0,0
3.3,584,0,0,0
3.4,563,0,0,0
3.5,545,0,0,0
3.6,552,0,0,0
3.7,542,0,0,0
3.8,535,0,0,0
3.9,528,0,0,0
4,523,0,0,0
4.1,515,0,0,0
4.2,529,0,0,0
4.3,506,0,0,0
4.4,492,0,0,0
4.5,497,0,0,0
4.6,481,0,0,0
4.7,489,0,0,0
4.8,478,0,0,0
4.9,470,0,0,0
5,456,0,0,0
5.1,454,0,0,0
5.2,462,0,0,0
5.3,462,0,0,0
5.4,457,0,0,0
5.5,468,0,0,0
5.6,471,0,0,0
5.7,466,0,0,0
5.8,479,0,0,0
5.9,473,0,0,0
6,462,0,0,0
6.09999999999999,472,0,0,0
6.19999999999999,472,0,0,0
6.29999999999999,460,0,0,0
6.39999999999999,466,0,0,0
6.49999999999999,464,0,0,0
6.59999999999999,471,0,0,0
6.69999999999999,467,0,0,0
6.79999999999999,466,0,0,0
6.89999999999999,458,0,0,0
6.99999999999999,445,0,0,0
7.09999999999999,430,0,0,0
7.19999999999999,417,0,0,0
7.29999999999999,421,0,0,0
7.39999999999999,432,0,0,0
7.49999999999999,433,0,0,0
7.59999999999999,437,0,0,0
7.69999999999999,442,0,0,0
7.79999999999999,449,0,0,0
7.89999999999999,467,0,0,0
7.99999999999999,458,0,0,0
8.09999999999999,446,0,0,0
8.19999999999999,430,0,0,0
8.29999999999999,443,0,0,0
8.39999999999999,464,0,0,0
8.49999999999999,451,0,0,0
8.59999999999999,432,0,0,0
8.69999999999999,422,0,0,0
8.79999999999998,418,0,0,0
8.89999999999998,411,0,0,0
8.99999999999998,417,0,0,0
9.09999999999998,422,0,0,0
9.19999999999998,394,0,0,0
9.29999999999998,392,0,0,0
9.39999999999998,392,0,0,0
9.49999999999998,392,0,0,0
9.59999999999998,385,0,0,0
9.69999999999998,379,0,0,0
9.79999999999998,361,0,0,0
9.89999999999998,367,0,0,0
9.99999999999998,354,0,0,0
10.1,329,0,0,0
