"Time","S","R1","R2","RB"
0,1000,0,0,0
0.1,992,0,0,0
0.2,962,0,0,0
0.3,947,0,0,0
0.4,934,0,0,0
0.5,909,0,0,0
0.6,879,0,0,0
0.7,846,0,0,0
0.8,825,0,0,0
0.9,799,0,0,0
1,792,0,0,0
1.1,795,0,0,0
1.2,798,0,0,0
1.3,803,0,0,0
1.4,776,0,0,0
1.5,745,0,0,0
1.6,751,0,0,0
1.7,709,0,0,0
1.8,699,0,0,0
1.9,689,0,0,0
2,705,0,0,0
2.1,661,0,0,0
2.2,651,0,0,0
2.3,656,0,0,0
2.4,657,0,0,0
2.5,649,0,0,0
2.6,631,0,0,0
2.7,615,0,0,0
2.8,605,0,0,0
2.9,588,0,0,0
3,591,0,0,0
3.1,570,0,0,0
3.2,571,0,0,0
3.3,569,0,0,0
3.4,558,0,0,0
3.5,561,0,0,0
3.6,563,0,0,0
3.7,558,0,0,0
3.8,540,0,0,0
3.9,521,0,0,0
4,519,0,0,0
4.1,513,0,0,0
4.2,505,0,0,0
4.3,499,0,0,0
4.4,483,0,0,0
4.5,472,0,0,0
4.6,456,0,0,0
4.7,442,0,0,0
4.8,435,0,0,0
4.9,436,0,0,0
5,436,0,0,0
5.1,418,0,0,0
5.2,416,0,0,0
5.3,417,0,0,0
5.4,406,0,0,0
5.5,403,0,0,0
5.6,399,0,0,0
5.7,389,0,0,0
5.8,381,0,0,0
5.9,377,0,0,0
6,365,0,0,0
6.09999999999999,345,0,0,0
6.19999999999999,341,0,0,0
6.29999999999999,335,0,0,0
6.39999999999999,337,0,0,0
6.49999999999999,327,0,0,0
6.59999999999999,317,0,0,0
6.69999999999999,315,0,0,0
6.79999999999999,306,0,0,0
6.89999999999999,304,0,0,0
6.99999999999999,306,0,0,0
7.09999999999999,307,0,0,0
7.19999999999999,290,0,0,0
7.29999999999999,283,0,0,0
7.39999999999999,271,0,0,0
7.49999999999999,283,0,0,0
7.59999999999999,269,0,0,0
7.69999999999999,259,0,0,0
7.79999999999999,248,0,0,0
7.89999999999999,255,0,0,0
7.99999999999999,247,0,0,0
8.09999999999999,247,0,0,0
8.19999999999999,239,0,0,0
8.29999999999999,234,0,0,0
8.39999999999999,234,0,0,0
8.49999999999999,234,0,0,0
8.59999999999999,224,0,0,0
8.69999999999999,236,0,0,0
8.79999999999998,225,0,0,0
8.89999999999998,222,0,0,0
8.99999999999998,215,0,0,0
9.09999999999998,213,0,0,0
9.19999999999998,201,0,0,0
9.29999999999998,210,0,0,0
9.39999999999998,203,0,0,0
9.49999999999998,190,0,0,0
9.59999999999998,197,0,0,0
9.69999999999998,199,0,0,0
9.79999999999998,197,0,0,0
9.89999999999998,193,0,0,0
9.99999999999998,189,0,0,0
10.1,194,0,0,0
