"Time","S","R1","R2","RB"
0,1000,0,0,0
0.1,1002,0,0,0
0.2,975,0,0,0
0.3,932,0,0,0
0.4,902,0,0,0
0.5,885,0,0,0
0.6,870,0,0,0
0.7,854,0,0,0
0.8,829,0,0,0
0.9,821,0,0,0
1,812,0,0,0
1.1,806,0,0,0
1.2,794,0,0,0
1.3,767,0,0,0
1.4,734,0,0,0
1.5,722,0,0,0
1.6,678,0,0,0
1.7,666,0,0,0
1.8,641,0,0,0
1.9,625,0,0,0
2,621,0,0,0
2.1,587,0,0,0
2.2,572,0,0,0
2.3,580,0,0,0
2.4,563,0,0,0
2.5,545,0,0,0
2.6,535,0,0,0
2.7,524,0,0,0
2.8,516,0,0,0
2.9,516,0,0,0
3,520,0,0,0
3.1,519,0,0,0
3.2,496,0,0,0
3.3,476,0,0,0
3.4,485,0,0,0
3.5,481,0,0,0
3.6,485,0,0,0
3.7,483,0,0,0
3.8,477,0,0,0
3.9,476,0,0,0
4,469,0,0,0
4.1,458,0,0,0
4.2,459,0,0,0
4.3,469,0,0,0
4.4,463,0,0,0
4.5,456,0,0,0
4.6,437,0,0,0
4.7,421,0,0,0
4.8,402,0,0,0
4.9,397,0,0,0
5,392,0,0,0
5.1,389,0,0,0
5.2,396,0,0,0
5.3,404,0,0,0
5.4,405,0,0,0
5.5,407,0,0,0
5.6,426,0,0,0
5.7,428,0,0,0
5.8,423,0,0,0
5.9,411,0,0,0
6,386,0,0,0
6.09999999999999,381,0,0,0
6.19999999999999,370,0,0,0
6.29999999999999,366,0,0,0
6.39999999999999,370,0,0,0
6.49999999999999,355,0,0,0
6.59999999999999,330,0,0,0
6.69999999999999,321,0,0,0
6.79999999999999,302,0,0,0
6.89999999999999,310,0,0,0
6.99999999999999,312,0,0,0
7.09999999999999,308,0,0,0
7.19999999999999,299,0,0,0
7.29999999999999,297,0,0,0
7.39999999999999,298,0,0,0
7.49999999999999,302,0,0,0
7.59999999999999,311,0,0,0
7.69999999999999,308,0,0,0
7.79999999999999,301,0,0,0
7.89999999999999,308,0,0,0
7.99999999999999,316,0,0,0
8.09999999999999,305,0,0,0
8.19999999999999,299,0,0,0
8.29999999999999,296,0,0,0
8.39999999999999,294,0,0,0
8.49999999999999,287,0,0,0
8.59999999999999,288,0,0,0
8.69999999999999,277,0,0,0
8.79999999999998,277,0,0,0
8.89999999999998,278,0,0,0
8.99999999999998,268,0,0,0
9.09999999999998,245,0,0,0
9.19999999999998,251,0,0,0
9.29999999999998,258,0,0,0
9.39999999999998,262,0,0,0
9.49999999999998,253,0,0,0
9.59999999999998,239,0,0,0
9.69999999999998,235,0,0,0
9.79999999999998,220,0,0,0
9.89999999999998,217,0,0,0
9.99999999999998,212,0,0,0
10.1,215,0,0,0
