"Time","S","R1","R2","RB"
0,1000,0,0,0
0.1,972,0,0,0
0.2,973,0,0,0
0.3,966,0,0,0
0.4,942,0,0,0
0.5,938,0,0,0
0.6,923,0,0,0
0.7,900,0,0,0
0.8,884,0,0,0
0.9,867,0,0,0
1,860,0,0,0
1.1,850,0,0,0
1.2,828,0,0,0
1.3,780,0,0,0
1.4,781,0,0,0
1.5,763,0,0,0
1.6,754,0,0,0
1.7,747,0,0,0
1.8,732,0,0,0
1.9,704,0,0,0
2,697,0,0,0
2.1,694,0,0,0
2.2,660,0,0,0
2.3,631,0,0,0
2.4,623,0,0,0
2.5,615,0,0,0
2.6,608,0,0,0
2.7,592,0,0,0
2.8,586,0,0,0
2.9,574,0,0,0
3,574,0,0,0
3.1,578,0,0,0
3.2,578,0,0,0
3.3,558,0,0,0
3.4,553,0,0,0
3.5,559,0,0,0
3.6,566,0,0,0
3.7,547,0,0,0
3.8,538,0,0,0
3.9,522,0,0,0
4,510,0,0,0
4.1,486,0,0,0
4.2,477,0,0,0
4.3,461,0,0,0
4.4,439,0,0,0
4.5,424,0,0,0
4.6,408,0,0,0
4.7,399,0,0,0
4.8,398,0,0,0
4.9,382,0,0,0
5,387,0,0,0
5.1,377,0,0,0
5.2,375,0,0,0
5.3,343,0,0,0
5.4,337,0,0,0
5.5,334,0,0,0
5.6,315,0,0,0
5.7,332,0,0,0
5.8,323,0,0,0
5.9,313,0,0,0
6,305,0,0,0
6.09999999999999,298,0,0,0
6.19999999999999,308,0,0,0
6.29999999999999,314,0,0,0
6.39999999999999,308,0,0,0
6.49999999999999,313,0,0,0
6.59999999999999,305,0,0,0
6.69999999999999,311,0,0,0
6.79999999999999,302,0,0,0
6.89999999999999,298,0,0,0
6.99999999999999,297,0,0,0
7.09999999999999,297,0,0,0
7.19999999999999,283,0,0,0
7.29999999999999,276,0,0,0
7.39999999999999,269,0,0,0
7.49999999999999,253,0,0,0
7.59999999999999,242,0,0,0
7.69999999999999,238,0,0,0
7.79999999999999,219,0,0,0
7.89999999999999,203,0,0,0
7.99999999999999,191,0,0,0
8.09999999999999,176,0,0,0
8.19999999999999,173,0,0,0
8.29999999999999,168,0,0,0
8.39999999999999,168,0,0,0
8.49999999999999,162,0,0,0
8.59999999999999,167,0,0,0
8.69999999999999,176,0,0,0
8.79999999999998,170,0,0,0
8.89999999999998,179,0,0,0
8.99999999999998,180,0,0,0
9.09999999999998,177,0,0,0
9.19999999999998,184,0,0,0
9.29999999999998,177,0,0,0
9.39999999999998,178,0,0,0
9.49999999999998,173,0,0,0
9.59999999999998,172,0,0,0
9.69999999999998,169,0,0,0
9.79999999999998,164,0,0,0
9.89999999999998,160,0,0,0
9.99999999999998,159,0,0,0
10.1,154,0,0,0
