"Time","S","R1","R2","RB"
0,1000,0,0,0
0.1,987,0,0,0
0.2,988,0,0,0
0.3,964,0,0,0
0.4,936,0,0,0
0.5,917,0,0,0
0.6,894,0,0,0
0.7,891,0,0,0
0.8,879,0,0,0
0.9,885,0,0,0
1,893,0,0,0
1.1,916,0,0,0
1.2,901,0,0,0
1.3,896,0,0,0
1.4,887,0,0,0
1.5,877,0,0,0
1.6,847,0,0,0
1.7,812,0,0,0
1.8,797,0,0,0
1.9,777,0,0,0
2,780,0,0,0
2.1,764,0,0,0
2.2,773,0,0,0
2.3,748,0,0,0
2.4,724,0,0,0
2.5,739,0,0,0
2.6,730,0,0,0
2.7,705,0,0,0
2.8,720,0,0,0
2.9,718,0,0,0
3,707,0,0,0
3.1,697,0,0,0
3.2,695,0,0,0
3.3,679,0,0,0
3.4,660,0,0,0
3.5,663,0,0,0
3.6,646,0,0,0
3.7,644,0,0,0
3.8,635,0,0,0
3.9,628,0,0,0
4,624,0,0,0
4.1,613,0,0,0
4.2,627,0,0,0
4.3,611,0,0,0
4.4,607,0,0,0
4.5,594,0,0,0
4.6,573,0,0,0
4.7,565,0,0,0
4.8,545,0,0,0
4.9,538,0,0,0
5,539,0,0,0
5.1,528,0,0,0
5.2,522,0,0,0
5.3,531,0,0,0
5.4,528,0,0,0
5.5,510,0,0,0
5.6,517,0,0,0
5.7,517,0,0,0
5.8,503,0,0,0
5.9,498,0,0,0
6,478,0,0,0
6.09999999999999,478,0,0,0
6.19999999999999,467,0,0,0
6.29999999999999,470,0,0,0
6.39999999999999,457,0,0,0
6.49999999999999,441,0,0,0
6.59999999999999,433,0,0,0
6.69999999999999,421,0,0,0
6.79999999999999,428,0,0,0
6.89999999999999,416,0,0,0
6.99999999999999,403,0,0,0
7.09999999999999,396,0,0,0
7.19999999999999,387,0,0,0
7.29999999999999,380,0,0,0
7.39999999999999,368,0,0,0
7.49999999999999,356,0,0,0
7.59999999999999,352,0,0,0
7.69999999999999,331,0,0,0
7.79999999999999,321,0,0,0
7.89999999999999,325,0,0,0
7.99999999999999,317,0,0,0
8.09999999999999,301,0,0,0
8.19999999999999,295,0,0,0
8.29999999999999,267,0,0,0
8.39999999999999,257,0,0,0
8.49999999999999,237,0,0,0
8.59999999999999,240,0,0,0
8.69999999999999,234,0,0,0
8.79999999999998,219,0,0,0
8.89999999999998,213,0,0,0
8.99999999999998,211,0,0,0
9.09999999999998,209,0,0,0
9.19999999999998,206,0,0,0
9.29999999999998,213,0,0,0
9.39999999999998,202,0,0,0
9.49999999999998,215,0,0,0
9.59999999999998,212,0,0,0
9.69999999999998,204,0,0,0
9.79999999999998,188,0,0,0
9.89999999999998,178,0,0,0
9.99999999999998,165,0,0,0
10.1,173,0,0,0
