"Time","S","R1","R2","RB"
0,1000,0,0,0
0.1,973,0,0,0
0.2,944,0,0,0
0.3,925,0,0,0
0.4,902,0,0,0
0.5,896,0,0,0
0.6,873,0,0,0
0.7,845,0,0,0
0.8,836,0,0,0
0.9,824,0,0,0
1,817,0,0,0
1.1,803,0,0,0
1.2,794,0,0,0
1.3,808,0,0,0
1.4,796,0,0,0
1.5,806,0,0,0
1.6,776,0,0,0
1.7,752,0,0,0
1.8,726,0,0,0
1.9,714,0,0,0
2,708,0,0,0
2.1,704,0,0,0
2.2,692,0,0,0
2.3,668,0,0,0
2.4,645,0,0,0
2.5,626,0,0,0
2.6,599,0,0,0
2.7,582,0,0,0
2.8,558,0,0,0
2.9,548,0,0,0
3,535,0,0,0
3.1,536,0,0,0
3.2,521,0,0,0
3.3,511,0,0,0
3.4,496,0,0,0
3.5,483,0,0,0
3.6,467,0,0,0
3.7,473,0,0,0
3.8,455,0,0,0
3.9,451,0,0,0
4,437,0,0,0
4.1,426,0,0,0
4.2,429,0,0,0
4.3,407,0,0,0
4.4,401,0,0,0
4.5,405,0,0,0
4.6,391,0,0,0
4.7,383,0,0,0
4.8,363,0,0,0
4.9,378,0,0,0
5,363,0,0,0
5.1,352,0,0,0
5.2,343,0,0,0
5.3,344,0,0,0
5.4,333,0,0,0
5.5,333,0,0,0
5.6,338,0,0,0
5.7,342,0,0,0
5.8,334,0,0,0
5.9,320,0,0,0
6,311,0,0,0
6.09999999999999,301,0,0,0
6.19999999999999,295,0,0,0
6.29999999999999,294,0,0,0
6.39999999999999,285,0,0,0
6.49999999999999,276,0,0,0
6.59999999999999,273,0,0,0
6.69999999999999,273,0,0,0
6.79999999999999,265,0,0,0
6.89999999999999,255,0,0,0
6.99999999999999,262,0,0,0
7.09999999999999,255,0,0,0
7.19999999999999,256,0,0,0
7.29999999999999,248,0,0,0
7.39999999999999,252,0,0,0
7.49999999999999,248,0,0,0
7.59999999999999,244,0,0,0
7.69999999999999,255,0,0,0
7.79999999999999,252,0,0,0
7.89999999999999,248,0,0,0
7.99999999999999,245,0,0,0
8.09999999999999,247,0,0,0
8.19999999999999,247,0,0,0
8.29999999999999,250,0,0,0
8.39999999999999,238,0,0,0
8.49999999999999,235,0,0,0
8.59999999999999,247,0,0,0
8.69999999999999,242,0,0,0
8.79999999999998,240,0,0,0
8.89999999999998,229,0,0,0
8.99999999999998,226,0,0,0
9.09999999999998,238,0,0,0
9.19999999999998,229,0,0,0
9.29999999999998,226,0,0,0
9.39999999999998,235,0,0,0
9.49999999999998,225,0,0,0
9.59999999999998,210,0,0,0
9.69999999999998,201,0,0,0
9.79999999999998,190,0,0,0
9.89999999999998,179,0,0,0
9.99999999999998,180,0,0,0
10.1,178,0,0,0
