"Time","S","R1","R2","RB"
0,1000,0,0,0
0.1,997,0,0,0
0.2,977,0,0,0
0.3,979,0,0,0
0.4,959,0,0,0
0.5,951,0,0,0
0.6,953,0,0,0
0.7,957,0,0,0
0.8,933,0,0,0
0.9,938,0,0,0
1,930,0,0,0
1.1,927,0,0,0
1.2,944,0,0,0
1.3,937,0,0,0
1.4,947,0,0,0
1.5,926,0,0,0
1.6,931,0,0,0
1.7,922,0,0,0
1.8,918,0,0,0
1.9,920,0,0,0
2,920,0,0,0
2.1,909,0,0,0
2.2,901,0,0,0
2.3,912,0,0,0
2.4,906,0,0,0
2.5,894,0,0,0
2.6,892,0,0,0
2.7,878,0,0,0
2.8,855,0,0,0
2.9,848,0,0,0
3,835,0,0,0
3.1,832,0,0,0
3.2,824,0,0,0
3.3,813,0,0,0
3.4,803,0,0,0
3.5,803,0,0,0
3.6,793,0,0,0
3.7,781,0,0,0
3.8,763,0,0,0
3.9,759,0,0,0
4,746,0,0,0
4.1,750,0,0,0
4.2,742,0,0,0
4.3,731,0,0,0
4.4,728,0,0,0
4.5,719,0,0,0
4.6,697,0,0,0
4.7,688,0,0,0
4.8,694,0,0,0
4.9,704,0,0,0
5,723,0,0,0
5.1,717,0,0,0
5.2,699,0,0,0
5.3,700,0,0,0
5.4,694,0,0,0
5.5,695,0,0,0
5.6,683,0,0,0
5.7,686,0,0,0
5.8,659,0,0,0
5.9,662,0,0,0
6,640,0,0,0
6.09999999999999,618,0,0,0
6.19999999999999,599,0,0,0
6.29999999999999,597,0,0,0
6.39999999999999,607,0,0,0
6.49999999999999,592,0,0,0
6.59999999999999,591,0,0,0
6.69999999999999,597,0,0,0
6.79999999999999,607,0,0,0
6.89999999999999,603,0,0,0
6.99999999999999,590,0,0,0
7.09999999999999,600,0,0,0
7.19999999999999,580,0,0,0
7.29999999999999,575,0,0,0
7.39999999999999,568,0,0,0
7.49999999999999,566,0,0,0
7.59999999999999,554,0,0,0
7.69999999999999,582,0,0,0
7.79999999999999,575,0,0,0
7.89999999999999,562,0,0,0
7.99999999999999,557,0,0,0
8.09999999999999,549,0,0,0
8.19999999999999,543,0,0,0
8.29999999999999,556,0,0,0
8.39999999999999,558,0,0,0
8.49999999999999,553,0,0,0
8.59999999999999,540,0,0,0
8.69999999999999,533,0,0,0
8.79999999999998,549,0,0,0
8.89999999999998,549,0,0,0
8.99999999999998,523,0,0,0
9.09999999999998,507,0,0,0
9.19999999999998,505,0,0,0
9.29999999999998,486,0,0,0
9.39999999999998,474,0,0,0
9.49999999999998,468,0,0,0
9.59999999999998,472,0,0,0
9.69999999999998,470,0,0,0
9.79999999999998,481,0,0,0
9.89999999999998,465,0,0,0
9.99999999999998,462,0,0,0
10.1,472,0,0,0
