"Time","S","R1","R2","RB"
0,1000,0,0,0
0.1,972,0,0,0
0.2,972,0,0,0
0.3,968,0,0,0
0.4,943,0,0,0
0.5,937,0,0,0
0.6,925,0,0,0
0.7,907,0,0,0
0.8,890,0,0,0
0.9,882,0,0,0
1,877,0,0,0
1.1,861,0,0,0
1.2,854,1,0,0
1.3,840,1,0,0
1.4,802,1,0,0
1.5,808,1,0,0
1.6,781,1,0,0
1.7,788,0,0,0
1.8,783,0,0,0
1.9,797,0,0,0
2,781,0,0,0
2.1,748,0,0,0
2.2,743,0,0,0
2.3,736,0,0,0
2.4,727,0,0,0
2.5,744,0,0,0
2.6,735,0,0,0
2.7,757,0,0,0
2.8,746,0,0,0
2.9,732,0,0,0
3,725,0,0,0
3.1,721,0,0,0
3.2,718,0,0,0
3.3,704,0,0,0
3.4,687,0,0,0
3.5,674,0,0,0
3.6,682,0,0,0
3.7,671,0,0,0
3.8,651,1,0,0
3.9,640,1,0,0
4,623,1,0,0
4.1,620,1,0,0
4.2,606,1,0,0
4.3,609,1,0,0
4.4,612,0,0,0
4.5,615,0,0,0
4.6,623,0,0,0
4.7,636,0,0,0
4.8,627,0,0,0
4.9,610,0,0,0
5,588,0,0,0
5.1,585,0,0,0
5.2,581,0,0,0
5.3,574,0,0,0
5.4,560,0,0,0
5.5,545,0,0,0
5.6,540,0,0,0
5.7,544,0,0,0
5.8,535,0,0,0
5.9,542,0,0,0
6,532,0,0,0
6.09999999999999,527,0,0,0
6.19999999999999,514,0,0,0
6.29999999999999,524,0,0,0
6.39999999999999,502,0,0,0
6.49999999999999,495,0,0,0
6.59999999999999,474,0,0,0
6.69999999999999,476,0,0,0
6.79999999999999,472,0,0,0
6.89999999999999,466,0,0,0
6.99999999999999,464,0,0,0
7.09999999999999,439,0,0,0
7.19999999999999,421,0,0,0
7.29999999999999,401,0,0,0
7.39999999999999,382,0,0,0
7.49999999999999,388,0,0,0
7.59999999999999,382,0,0,0
7.69999999999999,387,0,0,0
7.79999999999999,394,0,0,0
7.89999999999999,378,0,0,0
7.99999999999999,370,0,0,0
8.09999999999999,364,0,0,0
8.19999999999999,352,1,0,0
8.29999999999999,339,1,0,0
8.39999999999999,345,1,0,0
8.49999999999999,341,0,0,0
8.59999999999999,327,0,0,0
8.69999999999999,328,0,0,0
8.79999999999998,330,0,0,0
8.89999999999998,332,0,0,0
8.99999999999998,328,0,0,0
9.09999999999998,332,0,0,0
9.19999999999998,332,0,0,0
9.29999999999998,321,0,0,0
9.39999999999998,316,0,0,0
9.49999999999998,312,0,0,0
9.59999999999998,298,0,0,0
9.69999999999998,308,0,0,0
9.79999999999998,298,0,0,0
9.89999999999998,278,0,0,0
9.99999999999998,279,0,0,0
10.1,262,0,0,0
