"Time","S","R1","R2","RB"
0,1000,0,0,0
0.1,1014,0,0,0
0.2,974,0,0,0
0.3,963,0,0,0
0.4,905,0,0,0
0.5,885,0,0,0
0.6,897,0,0,0
0.7,910,0,0,0
0.8,884,0,0,0
0.9,869,0,0,0
1,828,0,0,0
1.1,825,0,0,0
1.2,827,0,0,0
1.3,813,0,0,0
1.4,811,0,0,0
1.5,796,0,0,0
1.6,793,0,0,0
1.7,802,0,0,0
1.8,822,0,0,0
1.9,797,0,0,0
2,793,0,0,0
2.1,785,0,0,0
2.2,770,0,0,0
2.3,740,0,0,0
2.4,717,0,0,0
2.5,688,0,0,0
2.6,673,0,0,0
2.7,684,0,0,0
2.8,654,0,0,0
2.9,647,0,0,0
3,643,0,0,0
3.1,630,0,0,0
3.2,624,0,0,0
3.3,600,0,0,0
3.4,593,0,0,0
3.5,600,0,0,0
3.6,595,0,0,0
3.7,582,0,0,0
3.8,584,0,0,0
3.9,590,0,0,0
4,588,0,0,0
4.1,596,0,0,0
4.2,581,0,0,0
4.3,568,0,0,0
4.4,551,0,0,0
4.5,555,0,0,0
4.6,552,0,0,0
4.7,547,0,0,0
4.8,533,0,0,0
4.9,527,0,0,0
5,531,0,0,0
5.1,519,0,0,0
5.2,523,0,0,0
5.3,508,0,0,0
5.4,521,0,0,0
5.5,529,0,0,0
5.6,512,0,0,0
5.7,506,0,0,0
5.8,501,0,0,0
5.9,494,0,0,0
6,482,0,0,0
6.09999999999999,468,0,0,0
6.19999999999999,461,0,0,0
6.29999999999999,444,0,0,0
6.39999999999999,427,0,0,0
6.49999999999999,427,0,0,0
6.59999999999999,415,0,0,0
6.69999999999999,412,0,0,0
6.79999999999999,400,0,0,0
6.89999999999999,390,0,0,0
6.99999999999999,389,0,0,0
7.09999999999999,383,0,0,0
7.19999999999999,373,0,0,0
7.29999999999999,361,0,0,0
7.39999999999999,358,0,0,0
7.49999999999999,347,0,0,0
7.59999999999999,341,0,0,0
7.69999999999999,339,0,0,0
7.79999999999999,332,0,0,0
7.89999999999999,320,0,0,0
7.99999999999999,314,0,0,0
8.09999999999999,304,0,0,0
8.19999999999999,297,0,0,0
8.29999999999999,293,0,0,0
8.39999999999999,291,0,0,0
8.49999999999999,294,0,0,0
8.59999999999999,279,0,0,0
8.69999999999999,280,0,0,0
8.79999999999998,286,0,0,0
8.89999999999998,289,0,0,0
8.99999999999998,289,0,0,0
9.09999999999998,285,0,0,0
9.19999999999998,286,0,0,0
9.29999999999998,284,0,0,0
9.39999999999998,281,0,0,0
9.49999999999998,274,0,0,0
9.59999999999998,262,0,0,0
9.69999999999998,264,0,0,0
9.79999999999998,245,0,0,0
9.89999999999998,244,0,0,0
9.99999999999998,233,0,0,0
10.1,230,0,0,0
