"Time","S","R1","R2","RB"
0,1000,0,0,0
0.1,999,0,0,0
0.2,982,0,0,0
0.3,966,0,0,0
0.4,943,0,0,0
0.5,961,0,0,0
0.6,930,0,0,0
0.7,937,0,0,0
0.8,921,0,0,0
0.9,921,0,0,0
1,911,0,0,0
1.1,938,0,0,0
1.2,925,0,0,0
1.3,913,0,0,0
1.4,903,0,0,0
1.5,911,0,0,0
1.6,915,0,0,0
1.7,903,0,0,0
1.8,891,0,0,0
1.9,868,0,1,0
2,867,0,1,0
2.1,849,0,0,0
2.2,840,0,0,0
2.3,855,0,0,0
2.4,855,0,0,0
2.5,827,0,0,0
2.6,845,0,0,0
2.7,862,0,0,0
2.8,838,0,0,0
2.9,811,0,0,0
3,807,0,0,0
3.1,784,0,0,0
3.2,772,0,0,0
3.3,784,0,0,0
3.4,780,0,0,0
3.5,748,0,0,0
3.6,745,0,0,0
3.7,732,0,0,0
3.8,732,0,0,0
3.9,727,0,0,0
4,705,0,0,0
4.1,704,0,0,0
4.2,706,0,0,0
4.3,684,0,1,0
4.4,680,0,2,0
4.5,672,0,2,0
4.6,657,0,1,0
4.7,667,0,1,0
4.8,660,0,2,0
4.9,652,0,2,0
5,644,0,3,0
5.1,633,0,3,0
5.2,636,0,3,0
5.3,629,0,4,0
5.4,628,0,5,0
5.5,628,0,5,0
5.6,613,0,5,0
5.7,604,0,4,0
5.8,581,0,4,0
5.9,579,0,3,0
6,569,0,3,0
6.09999999999999,559,0,4,0
6.19999999999999,563,0,3,0
6.29999999999999,563,0,3,0
6.39999999999999,546,0,3,0
6.49999999999999,523,0,3,0
6.59999999999999,531,0,4,0
6.69999999999999,548,0,4,0
6.79999999999999,522,0,4,0
6.89999999999999,511,0,4,0
6.99999999999999,497,0,3,0
7.09999999999999,482,0,3,0
7.19999999999999,476,0,3,0
7.29999999999999,492,0,2,0
7.39999999999999,478,0,3,0
7.49999999999999,466,0,2,0
7.59999999999999,452,0,2,0
7.69999999999999,458,0,2,0
7.79999999999999,446,0,2,0
7.89999999999999,422,0,2,0
7.99999999999999,417,0,2,0
8.09999999999999,407,0,2,0
8.19999999999999,418,0,2,0
8.29999999999999,409,0,2,0
8.39999999999999,401,0,3,0
8.49999999999999,372,0,3,0
8.59999999999999,367,0,3,0
8.69999999999999,343,0,4,0
8.79999999999998,341,0,4,0
8.89999999999998,338,0,5,0
8.99999999999998,326,0,6,0
9.09999999999998,333,0,6,0
9.19999999999998,330,0,7,0
9.29999999999998,326,0,5,0
9.39999999999998,343,0,5,0
9.49999999999998,333,0,5,0
9.59999999999998,326,0,4,0
9.69999999999998,323,0,4,0
9.79999999999998,319,0,2,0
9.89999999999998,321,0,2,0
9.99999999999998,307,0,2,0
10.1,306,0,2,0
