"Time","S","R1","R2","RB"
0,1000,0,0,0
0.1,993,0,0,0
0.2,974,0,0,0
0.3,965,0,0,0
0.4,942,0,0,0
0.5,915,0,0,0
0.6,895,0,0,0
0.7,891,0,0,0
0.8,849,0,0,0
0.9,835,0,0,0
1,822,0,0,0
1.1,808,0,0,0
1.2,795,0,0,0
1.3,789,0,0,0
1.4,774,0,0,0
1.5,748,0,0,0
1.6,754,0,0,0
1.7,766,0,0,0
1.8,743,0,0,0
1.9,743,0,0,0
2,735,0,0,0
2.1,743,0,0,0
2.2,743,0,0,0
2.3,750,0,0,0
2.4,755,0,0,0
2.5,752,0,0,0
2.6,741,0,0,0
2.7,734,0,0,0
2.8,705,0,0,0
2.9,678,0,0,0
3,674,0,0,0
3.1,668,0,0,0
3.2,637,0,0,0
3.3,641,0,0,0
3.4,616,0,0,0
3.5,607,0,0,0
3.6,604,0,0,0
3.7,583,0,0,0
3.8,585,0,0,0
3.9,589,0,0,0
4,581,0,0,0
4.1,575,0,0,0
4.2,556,0,0,0
4.3,558,0,0,0
4.4,551,0,0,0
4.5,549,0,0,0
4.6,549,0,0,0
4.7,533,0,0,0
4.8,539,0,0,0
4.9,519,0,0,0
5,501,0,0,0
5.1,495,0,0,0
5.2,481,0,0,0
5.3,490,0,0,0
5.4,468,0,0,0
5.5,487,0,0,0
5.6,467,0,0,0
5.7,461,0,0,0
5.8,447,0,0,0
5.9,428,0,0,0
6,424,0,0,0
6.09999999999999,412,0,0,0
6.19999999999999,411,0,0,0
6.29999999999999,399,0,0,0
6.39999999999999,383,0,0,0
6.49999999999999,387,0,0,0
6.59999999999999,385,0,0,0
6.69999999999999,371,0,0,0
6.79999999999999,393,0,0,0
6.89999999999999,386,0,0,0
6.99999999999999,377,0,0,0
7.09999999999999,376,0,0,0
7.19999999999999,369,0,0,0
7.29999999999999,378,0,0,0
7.39999999999999,375,0,0,0
7.49999999999999,380,0,0,0
7.59999999999999,362,0,0,0
7.69999999999999,350,0,0,0
7.79999999999999,351,0,0,0
7.89999999999999,349,0,0,0
7.99999999999999,327,0,0,0
8.09999999999999,319,0,0,0
8.19999999999999,311,0,0,0
8.29999999999999,304,0,0,0
8.39999999999999,301,0,0,0
8.49999999999999,299,0,0,0
8.59999999999999,283,0,0,0
8.69999999999999,288,0,0,0
8.79999999999998,283,0,0,0
8.89999999999998,275,0,0,0
8.99999999999998,274,0,0,0
9.09999999999998,279,0,0,0
9.19999999999998,268,0,0,0
9.29999999999998,270,0,0,0
9.39999999999998,263,0,0,0
9.49999999999998,265,0,0,0
9.59999999999998,261,0,0,0
9.69999999999998,263,0,0,0
9.79999999999998,254,0,0,0
9.89999999999998,241,0,0,0
9.99999999999998,247,0,0,0
10.1,244,0,0,0
