"Time","S","R1","R2","RB"
0,1000,0,0,0
0.1,956,0,0,0
0.2,949,0,0,0
0.3,921,0,0,0
0.4,903,0,0,0
0.5,905,0,0,0
0.6,889,0,0,0
0.7,892,0,0,0
0.8,888,0,0,0
0.9,883,0,0,0
1,852,0,0,0
1.1,850,0,0,0
1.2,827,0,0,0
1.3,829,0,0,0
1.4,819,0,0,0
1.5,793,0,0,0
1.6,765,0,0,0
1.7,751,0,0,0
1.8,743,0,0,0
1.9,755,0,0,0
2,745,0,0,0
2.1,720,0,0,0
2.2,689,0,0,0
2.3,658,0,0,0
2.4,675,0,0,0
2.5,669,0,0,0
2.6,652,0,0,0
2.7,644,0,0,0
2.8,631,0,0,0
2.9,619,0,0,0
3,626,0,0,0
3.1,635,0,0,0
3.2,618,0,0,0
3.3,607,0,0,0
3.4,589,0,0,0
3.5,573,0,0,0
3.6,592,0,0,0
3.7,565,0,0,0
3.8,551,0,0,0
3.9,551,0,0,0
4,521,0,0,0
4.1,529,0,0,0
4.2,524,0,0,0
4.3,520,0,0,0
4.4,508,0,0,0
4.5,499,0,0,0
4.6,503,0,0,0
4.7,484,0,0,0
4.8,475,0,0,0
4.9,468,0,0,0
5,441,0,0,0
5.1,442,0,0,0
5.2,441,0,0,0
5.3,433,0,0,0
5.4,435,0,0,0
5.5,436,0,0,0
5.6,427,0,0,0
5.7,435,0,0,0
5.8,419,0,0,0
5.9,429,0,0,0
6,419,0,0,0
6.09999999999999,402,0,0,0
6.19999999999999,388,0,0,0
6.29999999999999,380,0,0,0
6.39999999999999,377,0,0,0
6.49999999999999,358,0,0,0
6.59999999999999,366,0,0,0
6.69999999999999,362,0,0,0
6.79999999999999,351,0,0,0
6.89999999999999,328,0,0,0
6.99999999999999,321,0,0,0
7.09999999999999,317,0,0,0
7.19999999999999,299,0,0,0
7.29999999999999,296,0,0,0
7.39999999999999,294,0,0,0
7.49999999999999,286,0,0,0
7.59999999999999,283,0,0,0
7.69999999999999,278,0,0,0
7.79999999999999,269,0,0,0
7.89999999999999,271,0,0,0
7.99999999999999,264,0,0,0
8.09999999999999,247,0,0,0
8.19999999999999,245,0,0,0
8.29999999999999,255,0,0,0
8.39999999999999,240,0,0,0
8.49999999999999,243,0,0,0
8.59999999999999,256,0,0,0
8.69999999999999,257,0,0,0
8.79999999999998,262,0,0,0
8.89999999999998,255,0,0,0
8.99999999999998,237,0,0,0
9.09999999999998,235,0,0,0
9.19999999999998,226,0,0,0
9.29999999999998,219,0,0,0
9.39999999999998,229,0,0,0
9.49999999999998,232,0,0,0
9.59999999999998,219,0,0,0
9.69999999999998,210,0,0,0
9.79999999999998,213,0,0,0
9.89999999999998,203,0,0,0
9.99999999999998,203,0,0,0
10.1,204,0,0,0
