"Time","S","R1","R2","RB"
0,1000,0,0,0
0.1,1008,0,0,0
0.2,989,0,0,0
0.3,974,0,0,0
0.4,961,0,0,0
0.5,960,0,0,0
0.6,938,0,0,0
0.7,933,0,0,0
0.8,914,0,0,0
0.9,884,0,0,0
1,866,0,0,0
1.1,864,0,0,0
1.2,845,0,0,0
1.3,835,0,0,0
1.4,828,0,0,0
1.5,817,0,0,0
1.6,766,0,0,0
1.7,759,0,0,0
1.8,734,0,0,0
1.9,722,0,0,0
2,721,0,0,0
2.1,710,0,0,0
2.2,683,0,0,0
2.3,665,0,0,0
2.4,664,0,0,0
2.5,669,0,0,0
2.6,652,0,0,0
2.7,635,0,0,0
2.8,633,0,0,0
2.9,628,0,0,0
3,613,0,0,0
3.1,598,0,0,0
3.2,584,0,0,0
3.3,566,0,0,0
3.4,564,0,0,0
3.5,559,0,0,0
3.6,560,0,0,0
3.7,529,0,0,0
3.8,510,0,0,0
3.9,499,0,0,0
4,513,0,0,0
4.1,521,0,0,0
4.2,513,0,0,0
4.3,501,0,0,0
4.4,504,0,0,0
4.5,503,0,0,0
4.6,484,0,0,0
4.7,485,0,0,0
4.8,487,0,0,0
4.9,482,0,0,0
5,478,0,0,0
5.1,451,0,0,0
5.2,447,0,0,0
5.3,439,0,0,0
5.4,425,0,0,0
5.5,416,0,0,0
5.6,420,0,0,0
5.7,422,0,0,0
5.8,400,0,0,0
5.9,382,0,0,0
6,369,0,0,0
6.09999999999999,376,0,0,0
6.19999999999999,368,0,0,0
6.29999999999999,371,0,0,0
6.39999999999999,370,0,0,0
6.49999999999999,377,0,0,0
6.59999999999999,370,0,0,0
6.69999999999999,378,0,0,0
6.79999999999999,381,0,0,0
6.89999999999999,370,0,0,0
6.99999999999999,367,0,0,0
7.09999999999999,353,0,0,0
7.19999999999999,356,0,0,0
7.29999999999999,355,0,0,0
7.39999999999999,365,0,0,0
7.49999999999999,351,0,0,0
7.59999999999999,348,0,0,0
7.69999999999999,337,0,0,0
7.79999999999999,315,0,0,0
7.89999999999999,319,0,0,0
7.99999999999999,315,0,0,0
8.09999999999999,317,0,0,0
8.19999999999999,314,0,0,0
8.29999999999999,327,0,0,0
8.39999999999999,328,0,0,0
8.49999999999999,323,0,0,0
8.59999999999999,314,0,0,0
8.69999999999999,313,0,0,0
8.79999999999998,311,0,0,0
8.89999999999998,301,0,0,0
8.99999999999998,289,0,0,0
9.09999999999998,283,0,0,0
9.19999999999998,291,0,0,0
9.29999999999998,287,0,0,0
9.39999999999998,280,0,0,0
9.49999999999998,285,0,0,0
9.59999999999998,289,0,0,0
9.69999999999998,285,0,0,0
9.79999999999998,276,0,0,0
9.89999999999998,265,0,0,0
9.99999999999998,260,0,0,0
10.1,261,0,0,0
