"Time","S","R1","R2","RB"
0,1000,0,0,0
0.1,1000,0,0,0
0.2,983,0,0,0
0.3,943,0,0,0
0.4,930,0,0,0
0.5,924,0,0,0
0.6,905,0,0,0
0.7,898,0,0,0
0.8,853,0,0,0
0.9,831,0,0,0
1,809,0,0,0
1.1,795,0,0,0
1.2,771,0,0,0
1.3,754,0,0,0
1.4,723,0,0,0
1.5,705,0,0,0
1.6,685,0,0,0
1.7,687,0,0,0
1.8,669,0,0,0
1.9,661,0,0,0
2,636,0,0,0
2.1,629,0,0,0
2.2,613,0,0,0
2.3,594,0,0,0
2.4,570,0,0,0
2.5,579,0,0,0
2.6,561,0,0,0
2.7,553,0,0,0
2.8,551,0,0,0
2.9,543,0,0,0
3,539,0,0,0
3.1,536,0,0,0
3.2,528,0,0,0
3.3,525,0,0,0
3.4,527,0,0,0
3.5,536,0,0,0
3.6,522,0,0,0
3.7,524,0,0,0
3.8,521,0,0,0
3.9,514,0,0,0
4,513,0,0,0
4.1,504,0,0,0
4.2,491,0,0,0
4.3,473,0,0,0
4.4,462,0,0,0
4.5,456,0,0,0
4.6,441,0,0,0
4.7,424,0,0,0
4.8,418,0,0,0
4.9,418,0,0,0
5,417,0,0,0
5.1,414,0,0,0
5.2,409,0,0,0
5.3,409,0,0,0
5.4,410,0,0,0
5.5,405,0,0,0
5.6,398,0,0,0
5.7,388,0,0,0
5.8,377,0,0,0
5.9,365,0,0,0
6,362,0,0,0
6.09999999999999,358,0,0,0
6.19999999999999,342,0,0,0
6.29999999999999,344,0,0,0
6.39999999999999,334,0,0,0
6.49999999999999,344,0,0,0
6.59999999999999,348,0,0,0
6.69999999999999,342,0,0,0
6.79999999999999,331,0,0,0
6.89999999999999,325,0,0,0
6.99999999999999,316,0,0,0
7.09999999999999,321,0,0,0
7.19999999999999,309,0,0,0
7.29999999999999,315,0,0,0
7.39999999999999,301,0,0,0
7.49999999999999,290,0,0,0
7.59999999999999,287,0,0,0
7.69999999999999,273,0,0,0
7.79999999999999,260,0,0,0
7.89999999999999,260,0,0,0
7.99999999999999,261,0,0,0
8.09999999999999,274,0,0,0
8.19999999999999,267,0,0,0
8.29999999999999,274,0,0,0
8.39999999999999,264,0,0,0
8.49999999999999,254,0,0,0
8.59999999999999,254,0,0,0
8.69999999999999,259,0,0,0
8.79999999999998,256,0,0,0
8.89999999999998,265,0,0,0
8.99999999999998,256,0,0,0
9.09999999999998,250,0,0,0
9.19999999999998,243,0,0,0
9.29999999999998,230,0,0,0
9.39999999999998,229,0,0,0
9.49999999999998,217,0,0,0
9.59999999999998,203,0,0,0
9.69999999999998,206,0,0,0
9.79999999999998,197,0,0,0
9.89999999999998,197,0,0,0
9.99999999999998,197,0,0,0
10.1,196,0,0,0
