"Time","S","R1","R2","RB"
0,1000,0,0,0
0.1,993,0,0,0
0.2,977,0,0,0
0.3,982,0,0,0
0.4,928,0,0,0
0.5,928,0,0,0
0.6,920,0,0,0
0.7,913,0,0,0
0.8,877,0,0,0
0.9,862,0,0,0
1,868,0,0,0
1.1,859,0,0,0
1.2,821,0,0,0
1.3,810,0,0,0
1.4,786,0,0,0
1.5,764,0,0,0
1.6,742,0,0,0
1.7,743,0,0,0
1.8,724,0,0,0
1.9,738,0,0,0
2,723,0,0,0
2.1,729,0,0,0
2.2,704,0,0,0
2.3,730,0,0,0
2.4,720,0,0,0
2.5,684,0,0,0
2.6,653,0,0,0
2.7,651,0,1,0
2.8,656,0,1,0
2.9,650,0,1,0
3,641,0,1,0
3.1,635,0,1,0
3.2,617,0,1,0
3.3,621,0,1,0
3.4,625,0,1,0
3.5,611,0,0,0
3.6,581,0,0,0
3.7,578,0,0,0
3.8,574,0,0,0
3.9,565,0,0,0
4,547,0,0,0
4.1,524,0,0,0
4.2,508,0,0,0
4.3,488,0,0,0
4.4,463,0,0,0
4.5,459,0,0,0
4.6,464,0,0,0
4.7,465,0,0,0
4.8,452,0,0,0
4.9,456,0,0,0
5,448,0,0,0
5.1,435,0,0,0
5.2,439,0,0,0
5.3,439,0,0,0
5.4,438,0,0,0
5.5,434,0,0,0
5.6,454,0,0,0
5.7,453,0,0,0
5.8,432,0,0,0
5.9,436,0,0,0
6,441,0,0,0
6.09999999999999,454,0,0,0
6.19999999999999,447,0,0,0
6.29999999999999,440,0,0,0
6.39999999999999,442,0,0,0
6.49999999999999,410,0,0,0
6.59999999999999,409,0,0,0
6.69999999999999,392,0,0,0
6.79999999999999,377,0,0,0
6.89999999999999,381,0,0,0
6.99999999999999,373,0,0,0
7.09999999999999,369,0,0,0
7.19999999999999,360,0,0,0
7.29999999999999,350,0,0,0
7.39999999999999,342,0,0,0
7.49999999999999,340,0,0,0
7.59999999999999,344,0,0,0
7.69999999999999,342,0,0,0
7.79999999999999,329,0,0,0
7.89999999999999,330,0,0,0
7.99999999999999,304,0,0,0
8.09999999999999,299,0,0,0
8.19999999999999,301,0,0,0
8.29999999999999,287,0,0,0
8.39999999999999,282,0,0,0
8.49999999999999,275,0,0,0
8.59999999999999,259,0,0,0
8.69999999999999,252,0,0,0
8.79999999999998,249,0,0,0
8.89999999999998,262,0,0,0
8.99999999999998,261,0,0,0
9.09999999999998,258,0,0,0
9.19999999999998,259,0,0,0
9.29999999999998,267,0,0,0
9.39999999999998,260,0,0,0
9.49999999999998,250,0,0,0
9.59999999999998,250,0,0,0
9.69999999999998,244,0,0,0
9.79999999999998,252,0,0,0
9.89999999999998,237,0,0,0
9.99999999999998,227,0,0,0
10.1,212,0,0,0
