"Time","S","R1","R2","RB"
0,1000,0,0,0
0.1,998,0,0,0
0.2,1016,0,0,0
0.3,1021,0,0,0
0.4,984,0,0,0
0.5,972,0,0,0
0.6,975,0,0,0
0.7,945,0,0,0
0.8,956,0,0,0
0.9,969,0,0,0
1,960,0,0,0
1.1,964,0,0,0
1.2,960,0,0,0
1.3,970,0,0,0
1.4,962,0,0,0
1.5,941,0,0,0
1.6,960,0,0,0
1.7,958,0,0,0
1.8,963,0,0,0
1.9,971,0,0,0
2,951,0,0,0
2.1,958,0,0,0
2.2,959,0,0,0
2.3,959,0,0,0
2.4,953,0,0,0
2.5,938,0,0,0
2.6,944,0,0,0
2.7,928,0,0,0
2.8,930,0,0,0
2.9,917,0,0,0
3,895,0,0,0
3.1,886,0,0,0
3.2,893,0,0,0
3.3,895,0,0,0
3.4,873,0,0,0
3.5,838,0,0,0
3.6,829,0,0,0
3.7,816,0,0,0
3.8,794,0,0,0
3.9,784,0,0,0
4,792,0,0,0
4.1,793,0,0,0
4.2,796,0,0,0
4.3,780,0,0,0
4.4,788,0,0,0
4.5,776,0,0,0
4.6,769,0,0,0
4.7,761,0,0,0
4.8,732,0,0,0
4.9,720,0,0,0
5,719,0,0,0
5.1,701,0,0,0
5.2,719,0,0,0
5.3,701,0,0,0
5.4,703,0,0,0
5.5,680,0,0,0
5.6,670,0,0,0
5.7,667,0,0,0
5.8,672,0,0,0
5.9,667,0,0,0
6,673,0,0,0
6.09999999999999,669,0,0,0
6.19999999999999,664,0,0,0
6.29999999999999,660,0,0,0
6.39999999999999,631,0,0,0
6.49999999999999,621,0,0,0
6.59999999999999,607,0,0,0
6.69999999999999,603,0,0,0
6.79999999999999,601,0,0,0
6.89999999999999,598,0,0,0
6.99999999999999,587,0,0,0
7.09999999999999,601,0,0,0
7.19999999999999,604,0,0,0
7.29999999999999,610,0,0,0
7.39999999999999,612,0,0,0
7.49999999999999,610,0,0,0
7.59999999999999,615,0,0,0
7.69999999999999,599,0,0,0
7.79999999999999,606,0,0,0
7.89999999999999,585,0,0,0
7.99999999999999,572,0,0,0
8.09999999999999,577,0,0,0
8.19999999999999,569,0,0,0
8.29999999999999,555,0,0,0
8.39999999999999,543,0,0,0
8.49999999999999,546,0,0,0
8.59999999999999,531,0,0,0
8.69999999999999,540,0,0,0
8.79999999999998,532,0,0,0
8.89999999999998,523,0,0,0
8.99999999999998,533,0,0,0
9.09999999999998,539,0,0,0
9.19999999999998,534,0,0,0
9.29999999999998,530,0,0,0
9.39999999999998,493,0,0,0
9.49999999999998,485,0,0,0
9.59999999999998,479,0,0,0
9.69999999999998,476,0,0,0
9.79999999999998,472,0,0,0
9.89999999999998,468,0,0,0
9.99999999999998,455,0,0,0
10.1,444,0,0,0
