"Time","S","R1","R2","RB"
0,1000,0,0,0
0.1,1017,0,0,0
0.2,1023,0,0,0
0.3,1007,0,0,0
0.4,972,0,0,0
0.5,942,0,0,0
0.6,934,0,0,0
0.7,919,0,0,0
0.8,911,0,0,0
0.9,880,0,0,0
1,871,0,0,0
1.1,861,0,0,0
1.2,850,0,0,0
1.3,842,0,0,0
1.4,829,0,0,0
1.5,811,0,0,0
1.6,796,0,0,0
1.7,784,0,0,0
1.8,767,0,0,0
1.9,773,0,0,0
2,774,0,0,0
2.1,777,0,0,0
2.2,763,0,0,0
2.3,759,0,0,0
2.4,775,0,0,0
2.5,767,0,0,0
2.6,757,0,0,0
2.7,748,0,0,0
2.8,756,0,0,0
2.9,756,0,0,0
3,751,0,0,0
3.1,752,0,0,0
3.2,737,0,0,0
3.3,719,0,0,0
3.4,723,0,0,0
3.5,735,0,0,0
3.6,723,0,0,0
3.7,719,0,0,0
3.8,708,0,0,0
3.9,722,0,0,0
4,702,0,0,0
4.1,710,0,0,0
4.2,720,0,0,0
4.3,743,0,0,0
4.4,736,0,0,0
4.5,708,0,0,0
4.6,708,0,0,0
4.7,700,0,0,0
4.8,687,0,0,0
4.9,695,0,0,0
5,677,0,0,0
5.1,667,0,0,0
5.2,670,0,0,0
5.3,655,0,0,0
5.4,653,0,0,0
5.5,647,0,0,0
5.6,628,0,0,0
5.7,636,0,0,0
5.8,643,0,0,0
5.9,647,0,0,0
6,615,0,0,0
6.09999999999999,615,0,0,0
6.19999999999999,613,0,0,0
6.29999999999999,599,0,0,0
6.39999999999999,582,0,0,0
6.49999999999999,602,0,0,0
6.59999999999999,590,0,0,0
6.69999999999999,573,0,0,0
6.79999999999999,568,0,0,0
6.89999999999999,537,0,0,0
6.99999999999999,517,0,0,0
7.09999999999999,524,0,0,0
7.19999999999999,521,0,0,0
7.29999999999999,531,0,0,0
7.39999999999999,517,0,0,0
7.49999999999999,502,0,0,0
7.59999999999999,502,0,0,0
7.69999999999999,494,0,0,0
7.79999999999999,500,0,0,0
7.89999999999999,484,0,0,0
7.99999999999999,481,0,0,0
8.09999999999999,475,0,0,0
8.19999999999999,480,0,0,0
8.29999999999999,490,0,0,0
8.39999999999999,476,0,0,0
8.49999999999999,465,0,0,0
8.59999999999999,475,0,0,0
8.69999999999999,477,0,0,0
8.79999999999998,474,0,0,0
8.89999999999998,490,0,0,0
8.99999999999998,481,0,0,0
9.09999999999998,472,0,0,0
9.19999999999998,468,0,0,0
9.29999999999998,470,0,0,0
9.39999999999998,463,0,0,0
9.49999999999998,458,0,0,0
9.59999999999998,455,0,0,0
9.69999999999998,430,0,0,0
9.79999999999998,417,0,0,0
9.89999999999998,418,0,0,0
9.99999999999998,418,0,0,0
10.1,413,0,0,0
