"Time","S","R1","R2","RB"
0,1000,0,0,0
0.1,1010,0,0,0
0.2,954,0,0,0
0.3,934,0,0,0
0.4,918,0,0,0
0.5,906,0,0,0
0.6,922,0,0,0
0.7,909,0,0,0
0.8,890,0,0,0
0.9,851,0,0,0
1,835,0,0,0
1.1,820,0,0,0
1.2,826,0,0,0
1.3,810,0,0,0
1.4,791,0,0,0
1.5,773,0,0,0
1.6,750,0,0,0
1.7,745,0,0,0
1.8,745,0,0,0
1.9,731,0,0,0
2,706,0,0,0
2.1,687,0,0,0
2.2,680,0,0,0
2.3,662,0,0,0
2.4,661,0,0,0
2.5,653,0,0,0
2.6,654,0,0,0
2.7,636,0,0,0
2.8,635,0,0,0
2.9,625,0,0,0
3,612,0,0,0
3.1,619,0,0,0
3.2,629,0,0,0
3.3,624,0,0,0
3.4,600,0,0,0
3.5,615,0,0,0
3.6,602,0,0,0
3.7,580,0,0,0
3.8,592,0,0,0
3.9,582,0,0,0
4,592,0,0,0
4.1,573,0,0,0
4.2,565,0,0,0
4.3,564,0,0,0
4.4,567,0,0,0
4.5,557,0,0,0
4.6,550,0,0,0
4.7,561,0,0,0
4.8,552,0,0,0
4.9,544,0,0,0
5,550,0,0,0
5.1,518,0,0,0
5.2,533,0,0,0
5.3,555,0,0,0
5.4,543,0,0,0
5.5,525,0,0,0
5.6,531,0,0,0
5.7,501,0,0,0
5.8,495,0,0,0
5.9,485,0,0,0
6,474,0,0,0
6.09999999999999,467,0,0,0
6.19999999999999,446,0,0,0
6.29999999999999,447,0,0,0
6.39999999999999,442,0,0,0
6.49999999999999,439,0,0,0
6.59999999999999,442,0,0,0
6.69999999999999,429,0,0,0
6.79999999999999,432,0,0,0
6.89999999999999,418,0,0,0
6.99999999999999,411,0,0,0
7.09999999999999,416,0,0,0
7.19999999999999,422,0,0,0
7.29999999999999,408,0,0,0
7.39999999999999,411,0,0,0
7.49999999999999,417,0,0,0
7.59999999999999,424,0,0,0
7.69999999999999,427,0,0,0
7.79999999999999,424,0,0,0
7.89999999999999,418,0,0,0
7.99999999999999,425,0,0,0
8.09999999999999,422,0,0,0
8.19999999999999,435,0,0,0
8.29999999999999,420,0,0,0
8.39999999999999,407,0,0,0
8.49999999999999,399,0,0,0
8.59999999999999,412,0,0,0
8.69999999999999,412,0,0,0
8.79999999999998,418,0,0,0
8.89999999999998,430,0,0,0
8.99999999999998,423,0,0,0
9.09999999999998,442,0,0,0
9.19999999999998,431,0,0,0
9.29999999999998,407,0,0,0
9.39999999999998,396,0,0,0
9.49999999999998,409,0,0,0
9.59999999999998,397,0,0,0
9.69999999999998,389,0,0,0
9.79999999999998,396,0,0,0
9.89999999999998,391,0,0,0
9.99999999999998,380,0,0,0
10.1,365,0,0,0
