"Time","S","R1","R2","RB"
0,1000,0,0,0
0.1,1000,0,0,0
0.2,979,0,0,0
0.3,971,0,0,0
0.4,963,0,0,0
0.5,959,0,0,0
0.6,961,0,0,0
0.7,964,0,0,0
0.8,951,0,0,0
0.9,941,0,0,0
1,941,0,0,0
1.1,934,0,0,0
1.2,931,0,0,0
1.3,953,0,0,0
1.4,933,0,0,0
1.5,961,0,0,0
1.6,951,0,0,0
1.7,971,0,0,0
1.8,973,0,0,0
1.9,960,0,0,0
2,949,0,0,0
2.1,933,0,0,0
2.2,946,0,0,0
2.3,922,0,0,0
2.4,913,0,0,0
2.5,925,0,0,0
2.6,932,0,0,0
2.7,943,0,0,0
2.8,946,0,0,0
2.9,932,0,0,0
3,916,0,0,0
3.1,894,0,0,0
3.2,897,0,0,0
3.3,896,0,0,0
3.4,859,0,0,0
3.5,846,0,0,0
3.6,838,0,0,0
3.7,831,0,0,0
3.8,812,0,0,0
3.9,802,0,0,0
4,804,0,0,0
4.1,791,0,0,0
4.2,783,0,0,0
4.3,760,0,0,0
4.4,752,0,0,0
4.5,731,0,0,0
4.6,732,0,0,0
4.7,718,0,0,0
4.8,736,0,0,0
4.9,720,0,0,0
5,717,0,0,0
5.1,724,0,0,0
5.2,720,0,0,0
5.3,710,0,0,0
5.4,719,0,0,0
5.5,706,0,0,0
5.6,707,0,0,0
5.7,698,0,0,0
5.8,698,0,0,0
5.9,687,0,0,0
6,679,0,0,0
6.09999999999999,676,0,0,0
6.19999999999999,688,0,0,0
6.29999999999999,665,0,0,0
6.39999999999999,674,0,0,0
6.49999999999999,674,0,0,0
6.59999999999999,684,0,0,0
6.69999999999999,671,0,0,0
6.79999999999999,662,0,0,0
6.89999999999999,669,0,0,0
6.99999999999999,665,0,0,0
7.09999999999999,655,0,0,0
7.19999999999999,659,0,0,0
7.29999999999999,679,0,0,0
7.39999999999999,671,0,0,0
7.49999999999999,652,0,0,0
7.59999999999999,637,0,0,0
7.69999999999999,623,0,0,0
7.79999999999999,622,0,0,0
7.89999999999999,615,0,0,0
7.99999999999999,612,0,0,0
8.09999999999999,598,0,0,0
8.19999999999999,570,0,0,0
8.29999999999999,580,0,0,0
8.39999999999999,582,0,0,0
8.49999999999999,587,0,0,0
8.59999999999999,571,0,0,0
8.69999999999999,558,0,0,0
8.79999999999998,555,0,0,0
8.89999999999998,545,0,0,0
8.99999999999998,563,0,0,0
9.09999999999998,539,0,0,0
9.19999999999998,529,0,0,0
9.29999999999998,523,0,0,0
9.39999999999998,509,0,0,0
9.49999999999998,506,0,0,0
9.59999999999998,495,0,0,0
9.69999999999998,509,0,0,0
9.79999999999998,520,0,0,0
9.89999999999998,512,0,0,0
9.99999999999998,494,0,0,0
10.1,479,0,0,0
