"Time","S","R1","R2","RB"
0,1000,0,0,0
0.1,998,0,0,0
0.2,993,0,0,0
0.3,975,0,0,0
0.4,988,0,0,0
0.5,964,0,0,0
0.6,948,0,0,0
0.7,937,0,0,0
0.8,919,0,0,0
0.9,912,0,0,0
1,911,0,0,0
1.1,883,0,0,0
1.2,874,0,1,0
1.3,868,0,1,0
1.4,868,0,1,0
1.5,853,0,1,0
1.6,850,0,1,0
1.7,831,0,1,0
1.8,822,0,1,0
1.9,798,0,0,0
2,769,0,0,0
2.1,756,0,0,0
2.2,739,0,0,0
2.3,715,0,0,0
2.4,701,0,0,0
2.5,703,0,0,0
2.6,694,0,0,0
2.7,702,0,0,0
2.8,677,0,0,0
2.9,651,0,0,0
3,648,0,0,0
3.1,627,0,0,0
3.2,612,0,0,0
3.3,601,0,0,0
3.4,592,0,0,0
3.5,585,0,0,0
3.6,577,0,0,0
3.7,549,0,0,0
3.8,555,0,0,0
3.9,542,0,0,0
4,568,0,0,0
4.1,575,0,0,0
4.2,569,0,1,0
4.3,572,0,1,0
4.4,563,0,1,0
4.5,541,0,1,0
4.6,554,0,0,0
4.7,534,0,0,0
4.8,529,0,0,0
4.9,534,0,0,0
5,541,0,0,0
5.1,535,0,0,0
5.2,539,0,0,0
5.3,534,0,0,0
5.4,537,0,0,0
5.5,541,0,0,0
5.6,542,0,0,0
5.7,535,0,0,0
5.8,537,0,0,0
5.9,542,0,0,0
6,561,0,0,0
6.09999999999999,560,0,0,0
6.19999999999999,564,0,0,0
6.29999999999999,555,0,0,0
6.39999999999999,544,0,0,0
6.49999999999999,536,0,0,0
6.59999999999999,525,0,0,0
6.69999999999999,527,0,0,0
6.79999999999999,518,0,0,0
6.89999999999999,514,0,0,0
6.99999999999999,524,0,1,0
7.09999999999999,511,0,2,0
7.19999999999999,506,0,2,0
7.29999999999999,492,0,2,0
7.39999999999999,461,0,2,0
7.49999999999999,452,0,1,0
7.59999999999999,444,0,2,0
7.69999999999999,439,0,2,0
7.79999999999999,442,0,2,0
7.89999999999999,445,0,2,0
7.99999999999999,433,0,2,0
8.09999999999999,424,0,2,0
8.19999999999999,430,0,4,0
8.29999999999999,436,0,3,0
8.39999999999999,419,0,2,0
8.49999999999999,408,0,2,0
8.59999999999999,401,0,2,0
8.69999999999999,381,0,2,0
8.79999999999998,375,0,1,0
8.89999999999998,376,0,0,0
8.99999999999998,375,0,0,0
9.09999999999998,363,0,0,0
9.19999999999998,353,0,0,0
9.29999999999998,358,0,0,0
9.39999999999998,365,0,0,0
9.49999999999998,370,0,0,0
9.59999999999998,361,0,0,0
9.69999999999998,364,0,0,0
9.79999999999998,363,0,0,0
9.89999999999998,357,0,0,0
9.99999999999998,347,0,0,0
10.1,360,0,0,0
