"Time","S","R1","R2","RB"
0,1000,0,0,0
0.1,997,0,0,0
0.2,989,0,0,0
0.3,1019,0,0,0
0.4,1026,0,0,0
0.5,1017,0,0,0
0.6,1026,0,0,0
0.7,1027,0,0,0
0.8,1028,0,0,0
0.9,1004,0,0,0
1,987,0,0,0
1.1,978,0,0,0
1.2,972,0,0,0
1.3,959,0,0,0
1.4,933,0,0,0
1.5,924,0,0,0
1.6,900,0,0,0
1.7,908,0,0,0
1.8,925,0,0,0
1.9,925,0,0,0
2,938,0,0,0
2.1,936,0,0,0
2.2,920,0,0,0
2.3,923,0,0,0
2.4,923,0,0,0
2.5,932,0,0,0
2.6,912,0,0,0
2.7,887,0,0,0
2.8,872,0,0,0
2.9,872,0,0,0
3,851,0,0,0
3.1,859,0,0,0
3.2,864,0,0,0
3.3,878,0,0,0
3.4,889,0,0,0
3.5,883,0,0,0
3.6,885,0,0,0
3.7,853,0,0,0
3.8,840,0,0,0
3.9,824,0,0,0
4,795,0,0,0
4.1,781,0,0,0
4.2,765,0,0,0
4.3,758,0,0,0
4.4,731,0,0,0
4.5,725,0,0,0
4.6,674,0,0,0
4.7,674,0,0,0
4.8,662,0,0,0
4.9,659,0,0,0
5,653,0,0,0
5.1,650,0,0,0
5.2,635,0,0,0
5.3,644,0,0,0
5.4,647,0,0,0
5.5,637,0,0,0
5.6,610,0,0,0
5.7,604,0,0,0
5.8,595,0,0,0
5.9,588,0,0,0
6,561,0,0,0
6.09999999999999,551,0,0,0
6.19999999999999,557,0,0,0
6.29999999999999,559,0,0,0
6.39999999999999,557,0,0,0
6.49999999999999,559,0,0,0
6.59999999999999,541,0,0,0
6.69999999999999,542,0,0,0
6.79999999999999,561,0,0,0
6.89999999999999,562,0,0,0
6.99999999999999,558,0,0,0
7.09999999999999,560,0,0,0
7.19999999999999,564,0,0,0
7.29999999999999,546,0,0,0
7.39999999999999,539,0,0,0
7.49999999999999,536,0,0,0
7.59999999999999,538,0,0,0
7.69999999999999,521,0,0,0
7.79999999999999,516,0,0,0
7.89999999999999,514,0,0,0
7.99999999999999,511,0,0,0
8.09999999999999,509,0,0,0
8.19999999999999,507,0,0,0
8.29999999999999,504,0,0,0
8.39999999999999,483,0,0,0
8.49999999999999,478,0,0,0
8.59999999999999,457,0,0,0
8.69999999999999,453,0,0,0
8.79999999999998,463,0,0,0
8.89999999999998,457,0,0,0
8.99999999999998,441,0,0,0
9.09999999999998,437,0,0,0
9.19999999999998,440,0,0,0
9.29999999999998,426,0,0,0
9.39999999999998,418,0,0,0
9.49999999999998,419,0,0,0
9.59999999999998,419,0,0,0
9.69999999999998,428,0,0,0
9.79999999999998,421,0,0,0
9.89999999999998,412,0,0,0
9.99999999999998,420,0,0,0
10.1,402,0,0,0
