"Time","S","R1","R2","RB"
0,1000,0,0,0
0.1,991,0,0,0
0.2,996,0,0,0
0.3,972,0,0,0
0.4,969,0,0,0
0.5,973,0,0,0
0.6,958,0,0,0
0.7,932,0,0,0
0.8,914,0,0,0
0.9,913,0,0,0
1,890,0,0,0
1.1,879,0,0,0
1.2,854,0,0,0
1.3,853,0,0,0
1.4,843,0,0,0
1.5,854,0,0,0
1.6,844,0,0,0
1.7,826,0,0,0
1.8,811,0,0,0
1.9,791,0,0,0
2,771,0,0,0
2.1,791,0,0,0
2.2,807,0,0,0
2.3,777,0,0,0
2.4,778,0,0,0
2.5,782,0,0,0
2.6,754,0,0,0
2.7,755,0,0,0
2.8,755,0,0,0
2.9,737,0,0,0
3,716,0,0,0
3.1,710,0,0,0
3.2,702,0,0,0
3.3,720,0,0,0
3.4,715,0,0,0
3.5,713,0,0,0
3.6,682,0,0,0
3.7,669,0,0,0
3.8,648,0,0,0
3.9,623,0,0,0
4,616,0,0,0
4.1,598,0,0,0
4.2,590,0,0,0
4.3,566,0,0,0
4.4,557,0,0,0
4.5,539,0,0,0
4.6,538,0,0,0
4.7,516,0,0,0
4.8,505,0,0,0
4.9,510,0,0,0
5,503,0,0,0
5.1,498,0,0,0
5.2,494,0,0,0
5.3,487,0,0,0
5.4,479,0,0,0
5.5,490,0,0,0
5.6,490,0,0,0
5.7,458,0,0,0
5.8,441,0,0,0
5.9,432,0,0,0
6,417,0,0,0
6.09999999999999,400,0,0,0
6.19999999999999,400,0,0,0
6.29999999999999,393,0,0,0
6.39999999999999,396,0,0,0
6.49999999999999,388,0,0,0
6.59999999999999,385,0,0,0
6.69999999999999,390,0,0,0
6.79999999999999,384,0,0,0
6.89999999999999,367,0,0,0
6.99999999999999,369,0,0,0
7.09999999999999,373,0,0,0
7.19999999999999,362,0,0,0
7.29999999999999,363,0,0,0
7.39999999999999,356,0,0,0
7.49999999999999,352,0,0,0
7.59999999999999,359,0,0,0
7.69999999999999,359,0,0,0
7.79999999999999,366,0,0,0
7.89999999999999,363,0,0,0
7.99999999999999,370,0,0,0
8.09999999999999,371,0,0,0
8.19999999999999,367,0,0,0
8.29999999999999,363,0,0,0
8.39999999999999,364,0,0,0
8.49999999999999,351,0,0,0
8.59999999999999,342,0,0,0
8.69999999999999,340,0,0,0
8.79999999999998,353,0,0,0
8.89999999999998,340,0,0,0
8.99999999999998,348,0,0,0
9.09999999999998,338,0,0,0
9.19999999999998,348,0,0,0
9.29999999999998,353,0,0,0
9.39999999999998,349,0,0,0
9.49999999999998,371,0,0,0
9.59999999999998,380,0,0,0
9.69999999999998,368,0,0,0
9.79999999999998,360,0,0,0
9.89999999999998,352,0,0,0
9.99999999999998,342,0,0,0
10.1,329,0,0,0
