"Time","S","R1","R2","RB"
0,1000,0,0,0
0.1,991,0,0,0
0.2,986,0,0,0
0.3,990,0,0,0
0.4,999,0,0,0
0.5,986,0,0,0
0.6,952,0,0,0
0.7,940,0,0,0
0.8,958,0,0,0
0.9,942,0,0,0
1,941,0,0,0
1.1,923,0,0,0
1.2,928,0,0,0
1.3,904,0,0,0
1.4,904,0,0,0
1.5,885,0,0,0
1.6,878,0,0,0
1.7,870,0,0,0
1.8,883,0,0,0
1.9,857,0,0,0
2,856,0,0,0
2.1,843,0,0,0
2.2,822,0,0,0
2.3,816,0,0,0
2.4,786,0,0,0
2.5,782,0,0,0
2.6,801,0,0,0
2.7,779,0,0,0
2.8,753,0,0,0
2.9,768,0,0,0
3,780,0,0,0
3.1,798,0,0,0
3.2,783,0,0,0
3.3,803,0,0,0
3.4,780,0,0,0
3.5,761,0,0,0
3.6,754,0,0,0
3.7,729,0,0,0
3.8,694,0,0,0
3.9,695,0,0,0
4,676,0,0,0
4.1,668,0,0,0
4.2,663,0,0,0
4.3,657,0,0,0
4.4,651,0,0,0
4.5,639,0,0,0
4.6,650,0,0,0
4.7,644,0,0,0
4.8,628,0,0,0
4.9,601,0,0,0
5,605,0,0,0
5.1,612,0,0,0
5.2,587,0,0,0
5.3,572,0,0,0
5.4,547,0,0,0
5.5,528,0,0,0
5.6,552,0,0,0
5.7,536,0,0,0
5.8,552,0,0,0
5.9,550,0,0,0
6,560,0,0,0
6.09999999999999,556,0,0,0
6.19999999999999,541,0,0,0
6.29999999999999,514,0,0,0
6.39999999999999,498,0,0,0
6.49999999999999,482,0,0,0
6.59999999999999,458,0,0,0
6.69999999999999,448,0,0,0
6.79999999999999,447,0,0,0
6.89999999999999,465,0,0,0
6.99999999999999,468,0,0,0
7.09999999999999,459,0,0,0
7.19999999999999,463,0,0,0
7.29999999999999,458,0,0,0
7.39999999999999,449,0,0,0
7.49999999999999,431,0,0,0
7.59999999999999,412,0,0,0
7.69999999999999,415,0,0,0
7.79999999999999,402,0,0,0
7.89999999999999,412,0,0,0
7.99999999999999,394,0,0,0
8.09999999999999,405,0,0,0
8.19999999999999,393,0,0,0
8.29999999999999,397,0,0,0
8.39999999999999,393,0,0,0
8.49999999999999,381,0,0,0
8.59999999999999,379,0,0,0
8.69999999999999,366,0,0,0
8.79999999999998,347,0,0,0
8.89999999999998,350,0,0,0
8.99999999999998,343,0,0,0
9.09999999999998,327,0,0,0
9.19999999999998,330,0,0,0
9.29999999999998,327,0,0,0
9.39999999999998,324,0,0,0
9.49999999999998,326,0,0,0
9.59999999999998,313,0,0,0
9.69999999999998,316,0,0,0
9.79999999999998,322,0,0,0
9.89999999999998,326,0,0,0
9.99999999999998,328,0,0,0
10.1,333,0,0,0
