"Time","S","R1","R2","RB"
0,1000,0,0,0
0.1,1081,0,0,0
0.2,1145,0,0,0
0.3,1191,0,0,0
0.4,1241,0,0,0
0.5,1290,0,0,0
0.6,1351,0,0,0
0.7,1437,0,0,0
0.8,1480,0,0,0
0.9,1548,0,0,0
1,1597,0,0,0
1.1,1684,0,0,0
1.2,1778,0,0,0
1.3,1876,0,0,0
1.4,1948,0,0,0
1.5,2009,0,0,0
1.6,2084,0,0,0
1.7,2143,0,0,0
1.8,2234,0,0,0
1.9,2300,0,0,0
2,2391,0,0,0
2.1,2494,0,0,0
2.2,2596,1,0,0
2.3,2709,1,0,0
2.4,2877,1,0,0
2.5,2978,1,0,0
2.6,3122,2,0,0
2.7,3265,2,0,0
2.8,3451,2,0,0
2.9,3646,0,0,0
3,3818,0,0,0
3.1,3936,0,0,0
3.2,4068,0,0,0
3.3,4209,0,0,0
3.4,4408,0,0,0
3.5,4605,0,0,0
3.6,4805,0,0,0
3.7,5015,0,0,0
3.8,5283,0,0,0
3.9,5520,0,0,0
4,5723,0,0,0
4.1,6032,0,0,0
4.2,6268,0,0,0
4.3,6473,0,0,0
4.4,6665,0,0,0
4.5,6905,0,0,0
4.6,7169,0,0,0
4.7,7478,0,0,0
4.8,7787,0,0,0
4.9,8158,0,0,0
5,8547,0,0,0
5.1,8921,0,0,0
5.2,9309,0,0,0
5.3,9706,0,0,0
5.4,10031,0,0,0
5.5,10446,0,0,0
5.6,10921,0,0,0
5.7,11334,1,0,0
5.8,11730,1,0,0
5.9,12311,1,0,0
6,12849,2,0,0
6.09999999999999,13367,2,0,0
6.19999999999999,13928,1,0,0
6.29999999999999,14502,1,0,0
6.39999999999999,15096,1,1,0
6.49999999999999,15820,1,1,0
6.59999999999999,16509,1,1,0
6.69999999999999,17307,2,2,0
6.79999999999999,18112,4,2,0
6.89999999999999,18817,1,2,0
6.99999999999999,19647,1,3,0
7.09999999999999,20426,2,4,0
7.19999999999999,21362,2,3,0
7.29999999999999,22199,3,3,0
7.39999999999999,23158,3,4,0
7.49999999999999,24253,3,4,0
7.59999999999999,25123,3,4,0
7.69999999999999,26203,3,4,0
7.79999999999999,27344,2,4,0
7.89999999999999,28511,3,3,0
7.99999999999999,29936,2,3,0
8.09999999999999,31288,1,3,0
8.19999999999999,32580,1,4,0
8.29999999999999,33973,1,5,0
8.39999999999999,35458,1,5,0
8.49999999999999,37033,1,6,0
8.59999999999999,38685,1,7,0
8.69999999999999,40361,2,10,0
8.79999999999998,42319,2,8,0
8.89999999999998,44145,2,10,0
8.99999999999998,45873,1,9,0
9.09999999999998,47891,1,10,0
9.19999999999998,50063,1,8,0
9.29999999999998,52376,1,10,0
9.39999999999998,54836,1,9,0
9.49999999999998,57350,0,8,0
9.59999999999998,59857,0,9,0
9.69999999999998,62408,0,10,0
9.79999999999998,65321,0,13,0
9.89999999999998,68056,1,16,0
9.99999999999998,71035,2,15,0
10.1,74002,2,15,0
