"Time","S","R1","R2","RB"
0,1000,0,0,0
0.1,996,0,0,0
0.2,983,0,0,0
0.3,1001,0,0,0
0.4,989,0,0,0
0.5,989,0,0,0
0.6,944,0,0,0
0.7,968,0,0,0
0.8,970,0,0,0
0.9,940,0,0,0
1,944,0,0,0
1.1,905,0,0,0
1.2,887,0,0,0
1.3,880,0,0,0
1.4,891,0,0,0
1.5,850,0,0,0
1.6,842,0,0,0
1.7,836,0,0,0
1.8,830,0,0,0
1.9,800,0,0,0
2,810,0,0,0
2.1,818,0,0,0
2.2,821,0,0,0
2.3,813,0,0,0
2.4,811,0,0,0
2.5,800,0,0,0
2.6,814,0,0,0
2.7,805,0,0,0
2.8,793,0,0,0
2.9,819,0,0,0
3,795,0,0,0
3.1,792,0,0,0
3.2,795,0,0,0
3.3,815,0,0,0
3.4,811,0,0,0
3.5,811,0,0,0
3.6,805,0,0,0
3.7,820,0,0,0
3.8,846,0,0,0
3.9,831,0,0,0
4,835,0,0,0
4.1,849,0,0,0
4.2,835,0,0,0
4.3,804,0,0,0
4.4,802,0,0,0
4.5,796,0,0,0
4.6,798,0,0,0
4.7,798,0,0,0
4.8,778,0,0,0
4.9,772,0,0,0
5,764,0,0,0
5.1,755,0,0,0
5.2,746,0,0,0
5.3,733,0,0,0
5.4,720,0,0,0
5.5,710,0,0,0
5.6,707,0,0,0
5.7,702,0,0,0
5.8,693,0,0,0
5.9,693,0,0,0
6,710,0,0,0
6.09999999999999,700,0,0,0
6.19999999999999,711,0,0,0
6.29999999999999,703,0,0,0
6.39999999999999,703,0,0,0
6.49999999999999,690,0,0,0
6.59999999999999,670,0,0,0
6.69999999999999,659,0,0,0
6.79999999999999,657,0,0,0
6.89999999999999,642,0,0,0
6.99999999999999,646,0,0,0
7.09999999999999,635,0,0,0
7.19999999999999,655,0,1,0
7.29999999999999,640,0,1,0
7.39999999999999,614,0,1,0
7.49999999999999,589,0,1,0
7.59999999999999,586,0,2,0
7.69999999999999,607,0,4,0
7.79999999999999,592,0,4,0
7.89999999999999,586,0,4,0
7.99999999999999,590,0,4,0
8.09999999999999,577,0,4,0
8.19999999999999,555,0,4,0
8.29999999999999,558,0,4,0
8.39999999999999,561,0,4,0
8.49999999999999,566,0,5,0
8.59999999999999,546,0,5,0
8.69999999999999,542,0,4,0
8.79999999999998,526,0,4,0
8.89999999999998,516,0,3,0
8.99999999999998,496,0,3,0
9.09999999999998,483,0,3,0
9.19999999999998,462,0,3,0
9.29999999999998,456,0,3,0
9.39999999999998,457,0,2,0
9.49999999999998,474,0,2,0
9.59999999999998,470,0,3,0
9.69999999999998,477,0,4,0
9.79999999999998,486,0,4,0
9.89999999999998,491,0,4,0
9.99999999999998,478,0,5,0
10.1,480,0,4,0
