"Time","S","R1","R2","RB"
0,1000,0,0,0
0.1,966,0,0,0
0.2,946,0,0,0
0.3,921,0,0,0
0.4,916,0,0,0
0.5,896,0,0,0
0.6,886,0,0,0
0.7,868,0,0,0
0.8,853,0,0,0
0.9,841,0,0,0
1,850,0,0,0
1.1,829,0,0,0
1.2,813,0,0,0
1.3,795,0,0,0
1.4,797,0,0,0
1.5,780,0,0,0
1.6,761,0,0,0
1.7,751,0,0,0
1.8,754,0,0,0
1.9,752,0,0,0
2,746,0,0,0
2.1,741,0,0,0
2.2,730,0,0,0
2.3,723,0,0,0
2.4,724,0,0,0
2.5,709,0,0,0
2.6,708,0,0,0
2.7,701,0,0,0
2.8,702,0,0,0
2.9,698,0,0,0
3,698,0,0,0
3.1,688,0,0,0
3.2,684,0,0,0
3.3,671,0,0,0
3.4,661,0,0,0
3.5,658,0,0,0
3.6,652,0,0,0
3.7,651,0,0,0
3.8,651,0,0,0
3.9,655,0,0,0
4,642,0,0,0
4.1,647,0,0,0
4.2,636,0,0,0
4.3,626,0,0,0
4.4,623,0,0,0
4.5,620,0,0,0
4.6,597,0,0,0
4.7,607,0,0,0
4.8,603,0,0,0
4.9,583,0,0,0
5,576,0,0,0
5.1,580,0,0,0
5.2,575,0,0,0
5.3,570,0,0,0
5.4,571,0,0,0
5.5,566,0,0,0
5.6,552,0,0,0
5.7,557,0,0,0
5.8,551,0,0,0
5.9,550,0,0,0
6,555,0,0,0
6.09999999999999,546,0,0,0
6.19999999999999,547,0,0,0
6.29999999999999,536,0,0,0
6.39999999999999,534,0,0,0
6.49999999999999,526,0,0,0
6.59999999999999,513,0,0,0
6.69999999999999,504,0,0,0
6.79999999999999,484,0,0,0
6.89999999999999,481,0,0,0
6.99999999999999,471,0,0,0
7.09999999999999,472,0,0,0
7.19999999999999,471,0,0,0
7.29999999999999,469,0,0,0
7.39999999999999,471,0,0,0
7.49999999999999,468,0,0,0
7.59999999999999,459,0,0,0
7.69999999999999,448,0,0,0
7.79999999999999,449,0,0,0
7.89999999999999,441,0,0,0
7.99999999999999,441,0,0,0
8.09999999999999,438,0,0,0
8.19999999999999,434,0,0,0
8.29999999999999,437,0,0,0
8.39999999999999,435,0,0,0
8.49999999999999,426,0,0,0
8.59999999999999,423,0,0,0
8.69999999999999,420,0,0,0
8.79999999999998,416,0,0,0
8.89999999999998,413,0,0,0
8.99999999999998,412,0,0,0
9.09999999999998,414,0,0,0
9.19999999999998,426,0,0,0
9.29999999999998,423,0,0,0
9.39999999999998,409,0,0,0
9.49999999999998,400,0,0,0
9.59999999999998,395,0,0,0
9.69999999999998,396,0,0,0
9.79999999999998,401,0,0,0
9.89999999999998,401,0,0,0
9.99999999999998,400,0,0,0
10.1,395,0,0,0
10.2,382,0,0,0
10.3,374,0,0,0
10.4,366,0,0,0
10.5,359,0,0,0
10.6,358,0,0,0
10.7,340,0,0,0
10.8,339,0,0,0
10.9,341,0,0,0
11,333,0,0,0
11.1,332,0,0,0
11.2,318,0,0,0
11.3,321,0,0,0
11.4,323,0,0,0
11.5,325,0,0,0
11.6,327,0,0,0
11.7,319,0,0,0
11.8,323,0,0,0
11.9,325,0,0,0
12,324,0,0,0
12.1,310,0,0,0
12.2,307,0,0,0
12.3,312,0,0,0
12.4,308,0,0,0
12.5,305,0,0,0
12.6,300,0,0,0
12.7,302,0,0,0
12.8,305,0,0,0
