"Time","S","R1","R2","RB"
0,1000,0,0,0
0.1,977,0,0,0
0.2,950,0,0,0
0.3,925,0,0,0
0.4,910,0,0,0
0.5,880,0,0,0
0.6,870,0,0,0
0.7,861,0,0,0
0.8,849,0,0,0
0.9,844,0,0,0
1,818,0,0,0
1.1,815,0,0,0
1.2,830,0,0,0
1.3,817,0,0,0
1.4,804,0,0,0
1.5,795,0,0,0
1.6,796,0,0,0
1.7,803,0,0,0
1.8,814,0,0,0
1.9,823,0,0,0
2,812,0,0,0
2.1,811,0,0,0
2.2,814,0,0,0
2.3,819,0,0,0
2.4,791,0,0,0
2.5,779,0,0,0
2.6,810,0,0,0
2.7,805,0,0,0
2.8,784,0,0,0
2.9,759,0,0,0
3,758,0,0,0
3.1,763,0,0,0
3.2,760,0,0,0
3.3,751,0,0,0
3.4,755,0,0,0
3.5,767,0,0,0
3.6,762,0,0,0
3.7,782,0,0,0
3.8,778,0,0,0
3.9,777,0,0,0
4,769,0,0,0
4.1,764,0,0,0
4.2,783,0,0,0
4.3,774,0,0,0
4.4,774,0,0,0
4.5,777,0,0,0
4.6,757,0,0,0
4.7,745,0,0,0
4.8,763,0,0,0
4.9,741,0,0,0
5,735,0,0,0
5.1,739,0,0,0
5.2,734,0,0,0
5.3,728,0,0,0
5.4,701,0,0,0
5.5,660,0,0,0
5.6,660,0,0,0
5.7,643,0,0,0
5.8,645,0,0,0
5.9,632,0,0,0
6,618,0,0,0
6.09999999999999,587,0,0,0
6.19999999999999,593,0,0,0
6.29999999999999,575,0,0,0
6.39999999999999,579,0,0,0
6.49999999999999,576,0,0,0
6.59999999999999,583,0,0,0
6.69999999999999,573,0,0,0
6.79999999999999,569,0,0,0
6.89999999999999,572,0,0,0
6.99999999999999,568,0,0,0
7.09999999999999,572,0,0,0
7.19999999999999,575,0,0,0
7.29999999999999,572,0,0,0
7.39999999999999,569,0,0,0
7.49999999999999,556,0,0,0
7.59999999999999,551,0,0,0
7.69999999999999,542,0,0,0
7.79999999999999,533,0,0,0
7.89999999999999,537,0,0,0
