"Time","S","R1","R2","RB"
0,1000,0,0,0
0.1,978,0,0,0
0.2,944,0,0,0
0.3,916,0,0,0
0.4,921,0,0,0
0.5,914,0,0,0
0.6,931,0,0,0
0.7,912,0,0,0
0.8,914,0,0,0
0.9,902,0,0,0
1,893,0,0,0
1.1,899,0,0,0
1.2,907,0,0,0
1.3,882,0,0,0
1.4,863,0,0,0
1.5,848,0,0,0
1.6,813,0,0,0
1.7,799,0,0,0
1.8,790,0,0,0
1.9,782,0,0,0
2,797,0,0,0
2.1,786,0,0,0
2.2,785,0,0,0
2.3,752,0,0,0
2.4,744,0,0,0
2.5,726,0,0,0
2.6,730,0,0,0
2.7,712,0,0,0
2.8,703,0,0,0
2.9,687,0,0,0
3,683,0,0,0
3.1,676,0,0,0
3.2,676,0,0,0
3.3,661,0,0,0
3.4,648,0,0,0
3.5,650,0,0,0
3.6,649,0,0,0
3.7,654,0,0,0
3.8,641,0,0,0
3.9,639,0,0,0
4,630,0,0,0
4.1,615,0,0,0
4.2,618,0,0,0
4.3,634,0,0,0
4.4,619,0,0,0
4.5,618,0,0,0
4.6,605,0,0,0
4.7,603,0,0,0
4.8,601,0,0,0
4.9,595,0,0,0
5,588,0,0,0
5.1,575,0,0,0
5.2,579,0,0,0
5.3,559,0,0,0
5.4,556,0,0,0
5.5,552,0,0,0
5.6,561,0,0,0
5.7,547,0,0,0
5.8,536,0,0,0
5.9,530,0,0,0
6,514,0,0,0
6.09999999999999,510,0,0,0
6.19999999999999,497,0,0,0
6.29999999999999,503,0,0,0
6.39999999999999,501,0,0,0
6.49999999999999,484,0,0,0
6.59999999999999,471,0,0,0
6.69999999999999,473,0,0,0
6.79999999999999,471,0,0,0
6.89999999999999,463,0,0,0
6.99999999999999,466,0,0,0
7.09999999999999,467,0,0,0
7.19999999999999,451,0,0,0
7.29999999999999,456,0,0,0
7.39999999999999,461,0,0,0
7.49999999999999,466,0,0,0
7.59999999999999,472,0,0,0
7.69999999999999,449,0,0,0
7.79999999999999,446,0,0,0
7.89999999999999,446,0,0,0
7.99999999999999,426,0,0,0
8.09999999999999,405,0,0,0
8.19999999999999,404,0,0,0
8.29999999999999,407,0,0,0
8.39999999999999,403,0,0,0
8.49999999999999,413,0,0,0
8.59999999999999,398,0,0,0
8.69999999999999,414,0,0,0
8.79999999999998,412,0,0,0
8.89999999999998,399,0,0,0
8.99999999999998,382,0,0,0
9.09999999999998,375,0,0,0
9.19999999999998,373,0,0,0
9.29999999999998,366,0,0,0
9.39999999999998,379,0,0,0
9.49999999999998,369,0,0,0
9.59999999999998,362,0,0,0
9.69999999999998,363,0,0,0
9.79999999999998,359,0,0,0
9.89999999999998,358,0,0,0
9.99999999999998,339,0,0,0
10.1,325,0,0,0
10.2,321,0,0,0
10.3,316,0,0,0
10.4,312,0,0,0
10.5,298,0,0,0
10.6,299,0,0,0
10.7,298,0,0,0
10.8,299,0,0,0
10.9,294,0,0,0
11,283,0,0,0
11.1,290,0,0,0
11.2,268,0,0,0
11.3,260,0,0,0
11.4,259,0,0,0
11.5,267,0,0,0
11.6,261,0,0,0
11.7,248,0,0,0
11.8,243,0,0,0
11.9,246,0,0,0
12,238,0,0,0
12.1,247,0,0,0
12.2,249,0,0,0
12.3,235,0,0,0
12.4,236,0,0,0
12.5,230,0,0,0
12.6,218,0,0,0
12.7,208,0,0,0
12.8,206,0,0,0
12.9,204,0,0,0
13,207,0,0,0
13.1,197,0,0,0
13.2,190,0,0,0
13.3,188,0,0,0
13.4,177,0,0,0
13.5,183,0,0,0
13.6,185,0,0,0
13.7,177,0,0,0
13.8,175,0,0,0
13.9,176,0,0,0
14,170,0,0,0
14.1,163,0,0,0
14.2,173,0,0,0
14.3,170,0,0,0
14.4,169,0,0,0
14.5,153,0,0,0
14.6,145,0,0,0
14.7,140,0,0,0
14.8,130,0,0,0
14.9,131,0,0,0
15,122,0,0,0
15.1,117,0,0,0
15.2,103,0,0,0
15.3,92,0,0,0
15.4,90,0,0,0
15.5,82,0,0,0
15.6,93,0,0,0
15.7,82,0,0,0
15.8,77,0,0,0
15.9,76,0,0,0
16,81,0,0,0
16.1,76,0,0,0
16.2,74,0,0,0
16.3,72,0,0,0
16.4,63,0,0,0
16.5,58,0,0,0
16.6,55,0,0,0
16.7,46,0,0,0
16.8,44,0,0,0
16.9,45,0,0,0
17,47,0,0,0
17.1,48,0,0,0
17.2,47,0,0,0
17.3,49,0,0,0
17.4,43,0,0,0
17.5,42,0,0,0
17.6,42,0,0,0
17.7,40,0,0,0
17.8,40,0,0,0
17.9,41,0,0,0
18,43,0,0,0
18.1,45,0,0,0
18.2,50,0,0,0
18.3,53,0,0,0
18.4,50,0,0,0
18.5,46,0,0,0
18.6,42,0,0,0
18.7,42,0,0,0
18.8,43,0,0,0
18.9,41,0,0,0
19,39,0,0,0
19.1,40,0,0,0
19.2,42,0,0,0
19.3,49,0,0,0
19.4,43,0,0,0
19.5,44,0,0,0
19.6,38,0,0,0
19.7,35,0,0,0
19.8,31,0,0,0
19.9,29,0,0,0
20,31,0,0,0
20.1,28,0,0,0
20.2,25,0,0,0
20.3,27,0,0,0
20.4,24,0,0,0
20.5,29,0,0,0
20.6,27,0,0,0
20.7,28,0,0,0
20.8,23,0,0,0
20.9,21,0,0,0
21,21,0,0,0
21.1,27,0,0,0
21.2,25,0,0,0
21.3,23,0,0,0
21.4,20,0,0,0
21.5,20,0,0,0
21.6,22,0,0,0
21.7,26,0,0,0
21.8,26,0,0,0
21.9,29,0,0,0
22,24,0,0,0
22.1,23,0,0,0
22.2,23,0,0,0
22.3,20,0,0,0
22.4,19,0,0,0
22.5,24,0,0,0
22.6,21,0,0,0
22.7000000000001,19,0,0,0
22.8000000000001,18,0,0,0
22.9000000000001,19,0,0,0
23.0000000000001,21,0,0,0
23.1000000000001,17,0,0,0
23.2000000000001,19,0,0,0
23.3000000000001,19,0,0,0
23.4000000000001,20,0,0,0
23.5000000000001,18,0,0,0
23.6000000000001,20,0,0,0
23.7000000000001,22,0,0,0
23.8000000000001,20,0,0,0
23.9000000000001,21,0,0,0
24.0000000000001,19,0,0,0
24.1000000000001,17,0,0,0
24.2000000000001,16,0,0,0
24.3000000000001,15,0,0,0
