"Time","S","R1","R2","RB"
0,1000,0,0,0
0.1,991,0,0,0
0.2,1009,0,0,0
0.3,1006,0,0,0
0.4,993,0,0,0
0.5,988,0,0,0
0.6,977,0,0,0
0.7,974,0,0,0
0.8,958,0,0,0
0.9,971,0,0,0
1,950,0,0,0
1.1,910,0,0,0
1.2,872,2,0,0
1.3,876,2,0,0
1.4,876,2,0,0
1.5,879,3,0,0
1.6,877,2,0,0
1.7,840,3,0,0
1.8,834,4,0,0
1.9,838,4,0,0
2,833,4,0,0
2.1,824,4,0,0
2.2,829,4,0,0
2.3,817,6,0,0
2.4,797,6,0,0
2.5,803,5,0,0
2.6,811,5,0,0
2.7,775,5,0,0
2.8,755,2,0,0
2.9,758,2,0,0
3,754,2,0,0
3.1,731,2,0,0
3.2,735,0,0,0
3.3,716,0,0,0
3.4,711,0,0,0
3.5,721,0,0,0
3.6,713,0,0,0
3.7,710,0,0,0
3.8,715,0,0,0
3.9,714,0,0,0
4,699,0,0,0
4.1,696,0,0,0
4.2,683,0,0,0
4.3,679,0,0,0
4.4,676,0,0,0
4.5,652,0,0,0
4.6,637,1,0,0
4.7,621,1,0,0
4.8,631,1,0,0
4.9,619,1,0,0
5,604,1,0,0
5.1,621,1,0,0
5.2,626,1,0,0
5.3,625,2,0,0
5.4,624,2,0,0
5.5,614,2,0,0
5.6,621,2,0,0
5.7,618,2,0,0
5.8,633,2,0,0
5.9,630,3,0,0
6,642,2,0,0
6.09999999999999,645,3,0,0
6.19999999999999,633,3,0,0
6.29999999999999,620,2,0,0
6.39999999999999,618,2,0,0
6.49999999999999,617,2,0,0
6.59999999999999,611,2,0,0
6.69999999999999,629,1,0,0
6.79999999999999,595,1,0,0
6.89999999999999,575,1,0,0
6.99999999999999,594,1,0,0
7.09999999999999,581,0,0,0
7.19999999999999,595,0,0,0
7.29999999999999,591,0,0,0
7.39999999999999,577,0,0,0
7.49999999999999,573,0,0,0
7.59999999999999,594,0,0,0
7.69999999999999,579,0,0,0
7.79999999999999,567,0,0,0
7.89999999999999,570,0,0,0
7.99999999999999,555,0,0,0
8.09999999999999,531,0,0,0
8.19999999999999,522,0,0,0
