"Time","S","R1","R2","RB"
0,1000,0,0,0
0.1,964,0,0,0
0.2,954,0,0,0
0.3,949,0,0,0
0.4,934,0,0,0
0.5,926,0,0,0
0.6,923,0,0,0
0.7,917,0,0,0
0.8,941,0,0,0
0.9,920,0,0,0
1,903,0,0,0
1.1,903,0,1,0
1.2,898,0,1,0
1.3,881,0,1,0
1.4,877,0,2,0
1.5,869,0,2,0
1.6,881,0,2,0
1.7,885,0,2,0
1.8,866,0,3,0
1.9,843,0,3,0
2,838,0,4,0
2.1,826,0,4,0
2.2,811,0,6,0
2.3,797,0,4,0
2.4,787,0,4,0
2.5,784,0,4,0
2.6,773,0,4,0
2.7,769,0,4,0
2.8,767,0,3,0
2.9,762,0,3,0
3,760,0,4,0
3.1,754,0,4,0
3.2,735,0,5,0
3.3,730,0,5,0
3.4,724,0,7,0
3.5,718,0,7,0
3.6,706,0,6,0
3.7,721,0,5,0
3.8,723,0,5,0
3.9,737,0,5,0
4,730,0,5,0
4.1,719,0,5,0
4.2,718,0,5,0
4.3,709,0,4,0
4.4,682,0,2,0
4.5,661,0,2,0
4.6,655,0,2,0
4.7,671,0,2,0
4.8,633,0,3,0
4.9,647,0,3,0
5,631,0,3,0
5.1,619,0,3,0
5.2,612,0,3,0
5.3,605,0,3,0
5.4,608,0,4,0
5.5,605,0,4,0
5.6,582,0,4,0
5.7,577,0,6,0
5.8,586,0,7,0
5.9,576,0,7,0
6,580,0,5,0
6.09999999999999,578,0,4,0
6.19999999999999,568,0,3,0
6.29999999999999,548,0,5,0
6.39999999999999,524,0,5,0
6.49999999999999,529,0,6,0
6.59999999999999,541,0,6,0
6.69999999999999,545,0,3,0
6.79999999999999,530,0,4,0
6.89999999999999,528,0,3,0
6.99999999999999,529,0,3,0
7.09999999999999,529,0,4,0
7.19999999999999,515,0,3,0
7.29999999999999,507,0,4,0
7.39999999999999,505,0,4,0
7.49999999999999,501,0,4,0
7.59999999999999,478,0,5,0
7.69999999999999,470,0,6,0
7.79999999999999,475,0,6,0
7.89999999999999,475,0,5,0
7.99999999999999,475,0,4,0
8.09999999999999,460,0,4,0
8.19999999999999,457,0,4,0
8.29999999999999,461,0,5,0
8.39999999999999,473,0,5,0
8.49999999999999,472,0,5,0
8.59999999999999,471,0,4,0
8.69999999999999,458,0,3,0
8.79999999999998,461,0,3,0
8.89999999999998,438,0,3,0
8.99999999999998,429,0,3,0
9.09999999999998,428,0,2,0
9.19999999999998,437,0,2,0
9.29999999999998,444,0,2,0
9.39999999999998,432,0,2,0
9.49999999999998,436,0,3,0
9.59999999999998,433,0,3,0
9.69999999999998,451,0,2,0
9.79999999999998,444,0,2,0
9.89999999999998,433,0,2,0
9.99999999999998,435,0,3,0
10.1,430,0,5,0
10.2,423,0,5,0
10.3,393,0,5,0
10.4,396,0,6,0
10.5,389,0,6,0
10.6,381,0,6,0
10.7,385,0,4,0
10.8,368,0,3,0
10.9,358,0,4,0
11,352,0,2,0
11.1,340,0,2,0
11.2,344,0,1,0
11.3,318,0,1,0
11.4,316,0,0,0
11.5,326,0,0,0
11.6,327,0,0,0
11.7,315,0,1,0
11.8,297,0,1,0
11.9,298,0,1,0
12,293,0,1,0
12.1,303,0,2,0
12.2,305,0,2,0
12.3,313,0,2,0
12.4,297,0,4,0
12.5,301,0,4,0
12.6,304,0,5,0
12.7,298,0,6,0
12.8,298,0,6,0
12.9,302,0,5,0
13,294,0,5,0
13.1,286,0,5,0
13.2,280,0,3,0
13.3,267,0,2,0
13.4,272,0,2,0
13.5,270,0,2,0
13.6,259,0,2,0
13.7,260,0,4,0
13.8,260,0,5,0
13.9,244,0,3,0
14,237,0,3,0
14.1,232,0,2,0
14.2,233,0,2,0
14.3,220,0,2,0
14.4,221,0,2,0
14.5,219,0,2,0
14.6,221,0,2,0
14.7,218,0,2,0
14.8,217,0,3,0
14.9,209,0,3,0
15,213,0,3,0
15.1,202,0,3,0
15.2,199,0,3,0
15.3,200,0,3,0
15.4,204,0,3,0
15.5,198,0,4,0
15.6,199,0,4,0
15.7,201,0,4,0
15.8,209,0,5,0
15.9,208,0,5,0
16,203,0,4,0
16.1,202,0,4,0
16.2,207,0,2,0
16.3,213,0,2,0
16.4,219,0,2,0
16.5,214,0,2,0
16.6,209,0,2,0
16.7,200,0,3,0
16.8,186,0,5,0
16.9,175,0,5,0
17,182,0,6,0
17.1,173,0,5,0
17.2,174,0,5,0
17.3,175,0,7,0
17.4,169,0,8,0
17.5,163,0,9,0
17.6,151,0,7,0
17.7,151,0,7,0
17.8,149,0,8,0
17.9,151,0,7,0
18,148,0,5,0
18.1,145,0,6,0
18.2,140,0,6,0
18.3,147,0,5,0
18.4,150,0,6,0
18.5,148,0,3,0
18.6,143,0,2,0
18.7,142,0,2,0
18.8,142,0,3,0
18.9,147,0,3,0
19,137,0,3,0
19.1,135,0,2,0
19.2,135,0,2,0
19.3,134,0,2,0
19.4,139,0,3,0
19.5,136,0,4,0
19.6,139,0,4,0
19.7,146,0,4,0
19.8,151,0,4,0
19.9,153,0,5,0
20,151,0,5,0
20.1,154,0,3,0
20.2,144,0,3,0
20.3,136,0,3,0
20.4,145,0,3,0
20.5,143,0,2,0
20.6,147,0,1,0
20.7,151,0,1,0
20.8,145,0,1,0
20.9,137,0,1,0
21,134,0,1,0
21.1,138,0,1,0
21.2,125,0,0,0
21.3,129,0,0,0
21.4,128,0,0,0
21.5,123,0,0,0
21.6,116,0,0,0
21.7,112,0,0,0
21.8,109,0,0,0
21.9,103,0,0,0
22,104,0,0,0
22.1,97,0,0,0
22.2,101,0,0,0
22.3,97,0,0,0
22.4,92,0,0,0
22.5,87,0,0,0
22.6,89,0,0,0
22.7000000000001,90,0,0,0
22.8000000000001,84,0,0,0
22.9000000000001,82,0,0,0
23.0000000000001,80,0,0,0
23.1000000000001,77,0,0,0
23.2000000000001,81,0,0,0
23.3000000000001,84,0,0,0
23.4000000000001,82,0,0,0
23.5000000000001,83,0,0,0
23.6000000000001,83,0,0,0
23.7000000000001,89,0,0,0
23.8000000000001,90,0,0,0
23.9000000000001,93,0,0,0
24.0000000000001,91,0,0,0
24.1000000000001,84,0,0,0
24.2000000000001,82,0,0,0
24.3000000000001,80,0,0,0
24.4000000000001,74,0,0,0
24.5000000000001,76,0,0,0
24.6000000000001,74,0,0,0
24.7000000000001,72,0,0,0
24.8000000000001,77,0,0,0
24.9000000000001,77,0,0,0
25.0000000000001,84,0,0,0
25.1000000000001,87,0,0,0
25.2000000000001,88,0,0,0
25.3000000000001,86,0,0,0
25.4000000000001,87,0,0,0
25.5000000000001,86,0,0,0
25.6000000000001,82,0,0,0
25.7000000000001,75,0,0,0
25.8000000000001,76,0,0,0
25.9000000000001,73,0,0,0
26.0000000000001,68,0,0,0
26.1000000000001,68,0,0,0
26.2000000000001,64,0,0,0
26.3000000000001,65,0,0,0
26.4000000000001,61,0,0,0
26.5000000000001,61,0,0,0
26.6000000000001,60,0,0,0
26.7000000000001,58,0,0,0
26.8000000000001,56,0,0,0
26.9000000000001,51,0,0,0
27.0000000000001,50,0,0,0
27.1000000000001,48,0,0,0
27.2000000000001,49,0,0,0
27.3000000000001,53,0,0,0
27.4000000000001,56,0,0,0
27.5000000000001,54,0,0,0
27.6000000000001,56,0,1,0
27.7000000000001,55,0,1,0
27.8000000000001,50,0,1,0
27.9000000000001,49,0,2,0
28.0000000000001,48,0,2,0
28.1000000000001,49,0,1,0
28.2000000000001,53,0,1,0
