"Time","S","R1","R2","RB"
0,1000,0,0,0
0.1,1005,0,0,0
0.2,1010,0,0,0
0.3,1012,0,0,0
0.4,990,0,0,0
0.5,989,0,0,0
0.6,974,0,0,0
0.7,960,0,0,0
0.8,969,0,0,0
0.9,960,0,0,0
1,938,0,0,0
1.1,921,0,0,0
1.2,892,0,0,0
1.3,870,0,0,0
1.4,873,0,0,0
1.5,867,0,0,0
1.6,836,0,0,0
1.7,837,0,0,0
1.8,847,0,0,0
1.9,852,0,0,0
2,865,0,0,0
2.1,872,0,0,0
2.2,875,0,0,0
2.3,866,0,0,0
2.4,866,0,0,0
2.5,828,0,0,0
2.6,849,0,0,0
2.7,846,0,0,0
2.8,841,0,0,0
2.9,830,0,0,0
3,819,0,0,0
3.1,819,0,0,0
3.2,812,0,0,0
3.3,797,0,0,0
3.4,813,0,0,0
3.5,818,0,0,0
3.6,818,0,0,0
3.7,823,0,0,0
3.8,830,0,0,0
3.9,805,0,0,0
4,807,0,0,0
4.1,796,0,0,0
4.2,786,0,0,0
4.3,777,0,0,0
4.4,772,0,0,0
4.5,739,0,0,0
4.6,770,0,0,0
4.7,786,0,0,0
4.8,786,0,0,0
4.9,781,0,0,0
5,766,0,0,0
5.1,769,0,0,0
5.2,765,0,0,0
5.3,759,0,0,0
5.4,739,0,0,0
5.5,754,0,0,0
5.6,762,0,0,0
5.7,764,0,0,0
5.8,786,0,0,0
5.9,773,0,0,0
6,789,0,0,0
6.09999999999999,795,0,0,0
6.19999999999999,804,0,0,0
6.29999999999999,774,0,0,0
6.39999999999999,786,0,0,0
6.49999999999999,771,0,0,0
6.59999999999999,794,0,0,0
6.69999999999999,760,0,0,0
6.79999999999999,756,0,0,0
6.89999999999999,732,0,0,0
6.99999999999999,721,0,0,0
7.09999999999999,703,0,0,0
7.19999999999999,698,0,0,0
7.29999999999999,712,0,0,0
7.39999999999999,721,0,0,0
7.49999999999999,719,0,0,0
7.59999999999999,705,0,0,0
7.69999999999999,687,0,0,0
7.79999999999999,705,0,0,0
7.89999999999999,717,0,0,0
7.99999999999999,699,0,0,0
8.09999999999999,682,0,0,0
8.19999999999999,676,0,0,0
8.29999999999999,672,0,0,0
8.39999999999999,665,0,0,0
8.49999999999999,669,0,0,0
8.59999999999999,659,0,0,0
8.69999999999999,661,0,0,0
8.79999999999998,640,0,0,0
8.89999999999998,616,0,0,0
8.99999999999998,624,0,0,0
9.09999999999998,626,0,0,0
9.19999999999998,629,0,0,0
9.29999999999998,616,0,0,0
9.39999999999998,612,1,0,0
9.49999999999998,610,1,0,0
9.59999999999998,620,1,0,0
9.69999999999998,591,1,0,0
9.79999999999998,589,1,0,0
9.89999999999998,579,1,0,0
9.99999999999998,553,1,0,0
10.1,554,1,0,0
10.2,549,1,0,0
10.3,557,1,0,0
10.4,545,1,0,0
10.5,536,1,0,0
10.6,530,1,0,0
10.7,504,1,0,0
10.8,506,1,0,0
10.9,500,1,0,0
11,510,1,0,0
11.1,529,1,0,0
11.2,544,0,0,0
11.3,534,0,0,0
11.4,518,0,0,0
11.5,525,0,0,0
11.6,520,0,0,0
11.7,533,0,0,0
11.8,539,0,0,0
11.9,536,0,0,0
12,539,0,0,0
12.1,560,0,0,0
12.2,566,0,0,0
12.3,559,0,0,0
12.4,577,0,0,0
12.5,571,0,0,0
12.6,577,0,0,0
12.7,598,0,0,0
12.8,588,0,0,0
12.9,586,0,0,0
13,591,0,0,0
13.1,570,0,0,0
13.2,553,0,0,0
13.3,549,0,0,0
13.4,545,0,0,0
13.5,524,0,0,0
13.6,506,0,0,0
13.7,493,0,0,0
13.8,504,0,0,0
13.9,491,0,0,0
14,469,0,0,0
14.1,464,0,0,0
14.2,463,0,0,0
14.3,456,0,0,0
14.4,446,0,0,0
14.5,447,0,0,0
14.6,449,0,0,0
14.7,431,0,0,0
14.8,444,0,0,0
14.9,454,0,0,0
15,455,0,0,0
15.1,448,0,0,0
15.2,451,0,0,0
15.3,452,0,0,0
15.4,441,0,0,0
15.5,427,0,0,0
15.6,431,0,0,0
15.7,425,0,0,0
15.8,434,0,0,0
15.9,443,0,0,0
16,435,0,0,0
16.1,430,0,0,0
16.2,432,0,0,0
16.3,429,0,0,0
16.4,411,0,0,0
16.5,392,0,0,0
16.6,390,0,0,0
16.7,395,0,0,0
16.8,392,0,0,0
16.9,380,0,0,0
17,366,0,0,0
17.1,363,0,0,0
17.2,366,0,0,0
17.3,354,0,0,0
17.4,344,0,0,0
17.5,334,0,0,0
17.6,319,0,0,0
17.7,315,0,0,0
17.8,329,0,0,0
17.9,322,0,0,0
18,321,0,0,0
18.1,330,0,0,0
18.2,341,0,0,0
18.3,330,0,0,0
18.4,328,0,0,0
18.5,327,0,0,0
18.6,322,0,0,0
18.7,310,0,0,0
18.8,294,0,0,0
18.9,284,0,0,0
19,294,0,0,0
19.1,288,0,0,0
19.2,290,0,0,0
19.3,287,0,0,0
19.4,274,0,0,0
19.5,275,0,0,0
19.6,266,0,0,0
19.7,271,0,0,0
19.8,275,0,0,0
19.9,279,0,0,0
20,266,0,0,0
20.1,258,0,0,0
20.2,254,0,0,0
20.3,245,0,0,0
20.4,236,0,0,0
20.5,235,0,0,0
20.6,229,0,0,0
20.7,234,0,0,0
20.8,232,0,0,0
20.9,237,0,0,0
21,223,0,0,0
21.1,224,0,0,0
21.2,219,0,0,0
21.3,216,0,0,0
21.4,211,0,0,0
21.5,211,0,0,0
21.6,216,0,0,0
21.7,226,0,0,0
21.8,224,0,0,0
21.9,216,0,0,0
22,212,0,0,0
22.1,219,0,0,0
22.2,221,0,0,0
22.3,225,0,0,0
22.4,227,0,0,0
22.5,239,0,0,0
22.6,243,0,0,0
22.7000000000001,256,0,0,0
22.8000000000001,259,0,0,0
22.9000000000001,252,0,0,0
23.0000000000001,250,0,0,0
23.1000000000001,238,0,0,0
23.2000000000001,236,0,0,0
23.3000000000001,228,0,0,0
23.4000000000001,223,0,0,0
23.5000000000001,217,0,0,0
23.6000000000001,217,0,0,0
23.7000000000001,212,0,0,0
23.8000000000001,218,0,0,0
23.9000000000001,212,0,0,0
24.0000000000001,217,0,0,0
24.1000000000001,226,0,0,0
24.2000000000001,218,0,0,0
24.3000000000001,220,0,0,0
24.4000000000001,210,0,0,0
24.5000000000001,211,0,0,0
24.6000000000001,203,0,0,0
24.7000000000001,193,0,0,0
24.8000000000001,177,0,0,0
24.9000000000001,166,0,0,0
25.0000000000001,167,0,0,0
25.1000000000001,176,0,0,0
25.2000000000001,178,0,0,0
25.3000000000001,183,0,0,0
25.4000000000001,185,0,0,0
25.5000000000001,191,0,0,0
25.6000000000001,186,0,0,0
25.7000000000001,198,0,0,0
25.8000000000001,189,0,0,0
25.9000000000001,180,0,0,0
26.0000000000001,186,0,0,0
26.1000000000001,186,0,0,0
26.2000000000001,185,0,0,0
26.3000000000001,185,0,0,0
26.4000000000001,188,0,0,0
26.5000000000001,188,0,0,0
26.6000000000001,184,0,0,0
26.7000000000001,182,0,0,0
26.8000000000001,179,0,0,0
26.9000000000001,181,0,0,0
27.0000000000001,178,0,0,0
27.1000000000001,178,0,0,0
27.2000000000001,178,0,0,0
27.3000000000001,175,0,0,0
27.4000000000001,168,0,0,0
27.5000000000001,170,0,0,0
27.6000000000001,167,0,0,0
27.7000000000001,162,0,0,0
27.8000000000001,154,0,0,0
27.9000000000001,163,0,0,0
28.0000000000001,164,0,0,0
28.1000000000001,165,0,0,0
28.2000000000001,162,0,0,0
28.3000000000001,168,0,0,0
28.4000000000001,164,0,0,0
28.5000000000001,159,0,0,0
28.6000000000001,165,0,0,0
28.7000000000001,164,0,0,0
28.8000000000001,150,0,0,0
28.9000000000001,143,0,0,0
29.0000000000001,140,0,0,0
29.1000000000001,138,0,0,0
29.2000000000001,136,0,0,0
29.3000000000001,138,0,0,0
29.4000000000001,126,0,0,0
29.5000000000001,129,0,0,0
29.6000000000002,132,0,0,0
29.7000000000002,137,0,0,0
29.8000000000002,127,0,0,0
29.9000000000002,120,0,0,0
30.0000000000002,121,0,0,0
30.1000000000002,128,0,0,0
30.2000000000002,132,0,0,0
30.3000000000002,132,0,0,0
30.4000000000002,137,0,0,0
