"Time","S","R1","R2","RB"
0,1000,0,0,0
0.1,964,0,0,0
0.2,954,0,0,0
0.3,949,0,0,0
0.4,934,0,0,0
0.5,926,0,0,0
0.6,923,0,0,0
0.7,917,0,0,0
0.8,941,0,0,0
0.9,920,0,0,0
1,903,0,0,0
1.1,904,0,0,0
1.2,883,0,0,0
1.3,852,0,0,0
1.4,839,0,0,0
1.5,834,0,0,0
1.6,841,0,0,0
1.7,826,0,0,0
1.8,805,0,0,0
1.9,800,0,0,0
2,779,0,0,0
2.1,788,0,0,0
2.2,801,0,0,0
2.3,790,0,0,0
2.4,785,0,0,0
2.5,788,0,0,0
2.6,773,0,0,0
2.7,782,0,0,0
2.8,803,0,0,0
2.9,798,0,0,0
3,783,0,0,0
3.1,778,0,0,0
3.2,768,0,0,0
3.3,763,0,0,0
3.4,754,0,0,0
3.5,747,0,0,0
3.6,749,0,0,0
3.7,750,0,0,0
3.8,743,0,0,0
3.9,755,0,0,0
4,741,0,0,0
4.1,711,0,0,0
4.2,687,0,0,0
4.3,670,0,0,0
4.4,674,0,0,0
4.5,658,0,0,0
4.6,647,0,0,0
4.7,633,0,0,0
4.8,633,0,0,0
4.9,632,0,0,0
5,627,0,0,0
5.1,619,0,0,0
5.2,609,0,0,0
5.3,588,0,0,0
5.4,587,0,0,0
5.5,576,0,0,0
5.6,572,0,0,0
5.7,563,0,0,0
5.8,572,0,0,0
5.9,562,0,0,0
6,572,0,0,0
6.09999999999999,582,0,0,0
6.19999999999999,576,0,0,0
6.29999999999999,547,0,0,0
6.39999999999999,532,0,0,0
6.49999999999999,536,0,0,0
6.59999999999999,539,0,0,0
6.69999999999999,541,0,0,0
6.79999999999999,541,0,0,0
6.89999999999999,537,0,0,0
6.99999999999999,526,0,0,0
7.09999999999999,527,0,0,0
7.19999999999999,522,1,0,0
7.29999999999999,519,1,0,0
7.39999999999999,499,1,0,0
7.49999999999999,495,2,0,0
7.59999999999999,505,2,0,0
7.69999999999999,495,2,0,0
7.79999999999999,505,1,0,0
7.89999999999999,492,1,0,0
7.99999999999999,483,1,0,0
8.09999999999999,465,2,0,0
8.19999999999999,443,2,0,0
8.29999999999999,449,2,0,0
8.39999999999999,460,2,0,0
8.49999999999999,464,0,0,0
8.59999999999999,452,0,0,0
8.69999999999999,434,0,0,0
8.79999999999998,422,0,0,0
8.89999999999998,425,0,0,0
8.99999999999998,420,0,0,0
9.09999999999998,432,0,0,0
9.19999999999998,434,0,0,0
9.29999999999998,445,0,0,0
9.39999999999998,431,0,0,0
9.49999999999998,409,0,0,0
9.59999999999998,399,0,0,0
9.69999999999998,402,0,0,0
9.79999999999998,396,0,0,0
9.89999999999998,400,0,0,0
9.99999999999998,406,0,0,0
10.1,398,0,0,0
10.2,405,0,0,0
10.3,396,0,0,0
10.4,393,0,0,0
10.5,387,0,0,0
10.6,369,0,0,0
10.7,361,0,0,0
10.8,354,0,0,0
10.9,352,0,0,0
11,346,0,0,0
11.1,345,0,0,0
11.2,348,0,0,0
11.3,346,0,0,0
11.4,338,0,0,0
11.5,312,0,0,0
11.6,310,0,0,0
11.7,306,0,0,0
11.8,304,0,0,0
11.9,313,0,0,0
12,309,0,0,0
12.1,300,0,0,0
12.2,300,0,0,0
12.3,289,0,0,0
12.4,284,0,0,0
12.5,284,0,0,0
12.6,277,0,0,0
12.7,278,0,0,0
12.8,285,0,0,0
12.9,270,0,0,0
13,258,0,0,0
13.1,255,0,0,0
13.2,243,0,0,0
13.3,233,0,0,0
13.4,229,0,0,0
13.5,230,0,0,0
13.6,234,0,0,0
13.7,232,0,0,0
13.8,219,0,0,0
13.9,231,0,0,0
14,231,0,0,0
14.1,233,0,0,0
14.2,234,0,0,0
14.3,236,0,0,0
14.4,228,0,0,0
14.5,231,0,0,0
14.6,224,0,0,0
14.7,226,0,0,0
14.8,232,0,0,0
14.9,235,0,0,0
15,242,0,0,0
15.1,245,0,0,0
15.2,231,0,0,0
15.3,223,0,0,0
15.4,224,0,0,0
15.5,215,0,0,0
15.6,213,0,0,0
15.7,215,0,0,0
15.8,209,0,0,0
15.9,213,0,0,0
16,213,0,0,0
16.1,210,0,0,0
16.2,203,0,0,0
16.3,199,0,0,0
16.4,187,0,0,0
16.5,174,0,0,0
16.6,176,0,0,0
16.7,173,0,0,0
16.8,172,0,0,0
16.9,179,0,0,0
17,176,0,0,0
17.1,178,0,0,0
17.2,179,0,0,0
17.3,176,0,0,0
17.4,161,0,0,0
17.5,160,0,0,0
17.6,160,0,0,0
17.7,166,0,0,0
17.8,168,0,0,0
17.9,161,0,0,0
18,154,0,0,0
18.1,148,0,0,0
18.2,147,0,0,0
18.3,153,0,0,0
18.4,144,0,0,0
18.5,153,0,0,0
18.6,155,0,0,0
18.7,159,0,0,0
18.8,176,0,0,0
18.9,171,0,0,0
19,175,0,0,0
19.1,183,0,0,0
19.2,186,0,0,0
19.3,180,0,0,0
19.4,177,0,0,0
19.5,186,0,0,0
19.6,188,0,0,0
19.7,190,0,0,0
19.8,192,0,0,0
19.9,191,0,0,0
20,191,0,0,0
20.1,191,0,0,0
20.2,209,0,0,0
20.3,199,0,0,0
20.4,201,0,0,0
20.5,192,0,0,0
20.6,189,0,0,0
20.7,187,0,0,0
20.8,173,0,0,0
20.9,173,0,0,0
21,178,0,0,0
21.1,170,0,0,0
21.2,172,0,0,0
21.3,175,0,0,0
21.4,169,0,0,0
21.5,166,0,0,0
21.6,175,0,0,0
21.7,172,0,0,0
21.8,177,0,0,0
21.9,170,0,0,0
22,174,0,0,0
22.1,169,0,0,0
22.2,162,0,0,0
22.3,156,0,0,0
22.4,163,0,0,0
22.5,152,0,0,0
22.6,150,0,0,0
22.7000000000001,139,0,0,0
22.8000000000001,151,0,0,0
22.9000000000001,147,0,0,0
23.0000000000001,146,0,0,0
23.1000000000001,147,0,0,0
23.2000000000001,140,0,0,0
23.3000000000001,143,0,0,0
23.4000000000001,143,0,0,0
23.5000000000001,141,0,0,0
23.6000000000001,142,0,0,0
23.7000000000001,142,0,0,0
23.8000000000001,138,0,0,0
23.9000000000001,136,0,0,0
24.0000000000001,134,0,0,0
24.1000000000001,129,0,0,0
24.2000000000001,126,0,0,0
24.3000000000001,127,0,0,0
24.4000000000001,129,0,0,0
24.5000000000001,132,0,0,0
24.6000000000001,138,0,0,0
24.7000000000001,130,0,0,0
24.8000000000001,124,0,0,0
24.9000000000001,119,0,0,0
25.0000000000001,122,0,0,0
25.1000000000001,128,0,0,0
25.2000000000001,121,0,0,0
25.3000000000001,123,0,0,0
25.4000000000001,130,0,0,0
25.5000000000001,132,0,0,0
25.6000000000001,131,0,0,0
25.7000000000001,128,0,0,0
25.8000000000001,125,0,0,0
25.9000000000001,124,0,0,0
26.0000000000001,120,0,0,0
26.1000000000001,118,0,0,0
26.2000000000001,118,0,0,0
26.3000000000001,115,0,0,0
26.4000000000001,117,0,0,0
26.5000000000001,125,0,0,0
26.6000000000001,118,0,0,0
26.7000000000001,114,0,0,0
26.8000000000001,117,0,0,0
26.9000000000001,115,0,0,0
27.0000000000001,110,0,0,0
27.1000000000001,111,0,0,0
27.2000000000001,103,0,0,0
27.3000000000001,103,0,0,0
27.4000000000001,104,0,0,0
27.5000000000001,107,0,0,0
27.6000000000001,113,0,0,0
27.7000000000001,108,0,0,0
27.8000000000001,103,0,0,0
27.9000000000001,96,0,0,0
28.0000000000001,96,0,0,0
28.1000000000001,96,0,0,0
28.2000000000001,96,0,0,0
