"Time","S","R1","R2","RB"
0,1000,0,0,0
0.1,992,0,0,0
0.2,985,0,0,0
0.3,967,0,0,0
0.4,960,0,0,0
0.5,951,0,0,0
0.6,958,0,0,0
0.7,952,0,0,0
0.8,933,0,0,0
0.9,926,0,0,0
1,918,0,0,0
1.1,910,0,0,0
1.2,902,0,0,0
1.3,899,0,0,0
1.4,903,0,0,0
1.5,926,0,0,0
1.6,921,0,0,0
1.7,906,0,0,0
1.8,888,0,0,0
1.9,877,0,0,0
2,868,0,0,0
2.1,878,0,0,0
2.2,891,0,0,0
2.3,866,0,0,0
2.4,857,0,0,0
2.5,850,0,0,0
2.6,843,0,0,0
2.7,837,0,0,0
2.8,830,0,0,0
2.9,827,0,0,0
3,790,0,0,0
3.1,787,0,0,0
3.2,791,0,0,0
3.3,775,0,0,0
3.4,773,0,0,0
3.5,745,0,0,0
3.6,751,0,0,0
3.7,753,0,0,0
3.8,779,0,0,0
3.9,782,0,0,0
4,778,0,0,0
4.1,771,0,0,0
4.2,769,0,0,0
4.3,753,0,0,0
4.4,765,0,0,0
4.5,762,0,0,0
4.6,768,0,0,0
4.7,768,0,0,0
4.8,772,0,0,0
4.9,774,0,0,0
5,750,0,0,0
5.1,741,0,0,0
5.2,724,0,0,0
5.3,700,0,0,0
5.4,701,0,0,0
5.5,703,0,0,0
5.6,687,0,0,0
5.7,667,0,0,0
5.8,668,0,0,0
5.9,660,0,0,0
6,653,0,0,0
6.09999999999999,664,0,0,0
6.19999999999999,649,0,0,0
6.29999999999999,634,0,0,0
6.39999999999999,608,0,0,0
6.49999999999999,587,0,0,0
6.59999999999999,566,0,0,0
6.69999999999999,565,0,0,0
6.79999999999999,569,0,0,0
6.89999999999999,550,0,0,0
6.99999999999999,539,0,0,0
7.09999999999999,537,0,0,0
7.19999999999999,543,0,0,0
7.29999999999999,537,0,0,0
7.39999999999999,536,0,0,0
7.49999999999999,525,0,0,0
7.59999999999999,513,0,0,0
7.69999999999999,508,0,0,0
7.79999999999999,511,0,0,0
7.89999999999999,483,0,0,0
7.99999999999999,464,0,0,0
8.09999999999999,447,0,0,0
8.19999999999999,440,0,0,0
8.29999999999999,435,0,0,0
8.39999999999999,433,0,0,0
8.49999999999999,413,0,0,0
8.59999999999999,416,0,0,0
8.69999999999999,405,0,0,0
8.79999999999998,391,0,0,0
8.89999999999998,392,0,0,0
8.99999999999998,388,0,0,0
9.09999999999998,382,0,0,0
9.19999999999998,388,0,0,0
9.29999999999998,394,0,0,0
9.39999999999998,384,0,0,0
9.49999999999998,392,0,0,0
9.59999999999998,390,0,0,0
9.69999999999998,395,0,0,0
9.79999999999998,384,0,0,0
9.89999999999998,375,0,0,0
9.99999999999998,370,0,0,0
10.1,354,0,0,0
10.2,348,0,0,0
10.3,354,0,0,0
10.4,358,0,0,0
10.5,348,0,0,0
10.6,338,0,0,0
10.7,341,0,0,0
10.8,330,0,0,0
10.9,312,0,0,0
11,316,0,0,0
11.1,307,0,0,0
11.2,303,0,0,0
11.3,310,0,0,0
11.4,312,0,0,0
11.5,326,0,0,0
11.6,321,0,0,0
11.7,318,0,0,0
11.8,317,0,0,0
11.9,315,0,0,0
12,308,0,0,0
12.1,300,0,0,0
12.2,299,0,0,0
12.3,300,0,0,0
12.4,306,0,0,0
12.5,310,0,0,0
12.6,309,0,0,0
12.7,297,0,0,0
12.8,295,0,0,0
12.9,298,0,0,0
13,300,0,0,0
13.1,286,0,0,0
13.2,291,0,0,0
13.3,298,0,0,0
13.4,290,0,0,0
13.5,283,0,0,0
13.6,284,0,0,0
13.7,287,0,0,0
13.8,285,0,0,0
13.9,282,0,0,0
14,267,0,0,0
14.1,250,0,0,0
14.2,245,0,0,0
14.3,238,0,0,0
14.4,238,0,0,0
14.5,228,0,0,0
14.6,223,0,0,0
14.7,217,0,0,0
14.8,211,0,0,0
14.9,211,0,0,0
15,203,0,0,0
15.1,197,0,0,0
15.2,199,0,0,0
15.3,197,0,0,0
15.4,194,0,0,0
15.5,185,0,0,0
15.6,180,0,0,0
15.7,174,0,0,0
15.8,165,0,0,0
15.9,150,0,0,0
16,142,0,0,0
16.1,139,0,0,0
16.2,144,0,0,0
16.3,145,0,0,0
16.4,159,0,0,0
16.5,156,0,0,0
16.6,153,0,0,0
16.7,148,0,0,0
16.8,148,0,0,0
16.9,145,0,0,0
17,154,0,0,0
17.1,155,0,0,0
17.2,153,0,0,0
17.3,156,0,0,0
17.4,165,0,0,0
17.5,166,0,0,0
17.6,161,0,0,0
17.7,154,0,0,0
17.8,146,0,0,0
17.9,143,0,0,0
18,127,0,0,0
18.1,128,0,0,0
18.2,128,0,0,0
18.3,124,0,0,0
18.4,132,0,0,0
18.5,127,0,0,0
18.6,126,0,0,0
18.7,133,0,0,0
18.8,135,0,0,0
18.9,139,0,0,0
19,135,0,0,0
19.1,136,0,0,0
19.2,126,0,0,0
19.3,125,0,0,0
19.4,123,0,0,0
19.5,126,0,0,0
19.6,127,0,0,0
19.7,127,0,0,0
19.8,125,0,0,0
19.9,128,0,0,0
20,125,0,0,0
20.1,122,0,0,0
20.2,121,0,0,0
20.3,118,0,0,0
20.4,107,0,0,0
20.5,105,0,0,0
20.6,117,0,0,0
20.7,114,0,0,0
20.8,106,0,0,0
20.9,108,0,0,0
21,101,0,0,0
21.1,101,0,0,0
21.2,102,0,0,0
21.3,109,0,0,0
21.4,106,0,0,0
21.5,104,0,0,0
21.6,95,0,0,0
21.7,100,0,0,0
21.8,96,0,0,0
21.9,95,0,0,0
22,95,0,0,0
22.1,95,0,0,0
22.2,98,0,0,0
22.3,101,0,0,0
22.4,92,0,0,0
22.5,93,0,0,0
22.6,93,0,0,0
22.7000000000001,90,0,0,0
22.8000000000001,85,0,0,0
22.9000000000001,86,0,0,0
23.0000000000001,85,0,0,0
23.1000000000001,82,0,0,0
23.2000000000001,80,0,0,0
23.3000000000001,79,0,0,0
23.4000000000001,79,0,0,0
23.5000000000001,81,0,0,0
23.6000000000001,79,0,0,0
23.7000000000001,86,0,0,0
23.8000000000001,82,0,0,0
23.9000000000001,81,0,0,0
24.0000000000001,82,0,0,0
24.1000000000001,86,0,0,0
24.2000000000001,87,0,0,0
24.3000000000001,89,0,0,0
24.4000000000001,89,0,0,0
24.5000000000001,93,0,0,0
24.6000000000001,90,0,0,0
24.7000000000001,94,0,0,0
24.8000000000001,100,0,0,0
24.9000000000001,98,0,0,0
25.0000000000001,102,0,0,0
25.1000000000001,106,0,0,0
25.2000000000001,107,0,0,0
25.3000000000001,109,0,0,0
25.4000000000001,112,0,0,0
25.5000000000001,117,0,0,0
25.6000000000001,112,0,0,0
25.7000000000001,116,0,0,0
25.8000000000001,108,0,0,0
25.9000000000001,111,0,0,0
26.0000000000001,97,0,0,0
26.1000000000001,104,0,0,0
