"Time","S","R1","R2","RB"
0,1000,0,0,0
0.01,990,0,0,0
0.02,986,0,0,0
0.03,988,0,0,0
0.04,996,0,0,0
0.05,988,0,0,0
0.06,973,0,0,0
0.07,965,0,0,0
0.08,962,0,0,0
0.09,959,0,0,0
0.1,956,0,0,0
0.11,951,0,0,0
0.12,954,0,0,0
0.13,952,0,0,0
0.14,949,0,0,0
0.15,948,0,0,0
0.16,943,0,0,0
0.17,936,0,0,0
0.18,934,0,0,0
0.19,934,0,0,0
0.2,942,0,0,0
0.21,944,0,0,0
0.22,946,0,0,0
0.23,940,0,0,0
0.24,941,0,0,0
0.25,940,0,0,0
0.26,942,0,0,0
0.27,939,0,0,0
0.28,943,0,0,0
0.29,943,0,0,0
0.3,943,0,0,0
0.31,949,0,0,0
0.32,953,0,0,0
0.33,954,0,0,0
0.34,951,0,0,0
0.35,949,0,0,0
0.36,952,0,0,0
0.37,948,0,0,0
0.38,944,0,0,0
0.39,947,0,0,0
0.4,950,0,0,0
0.41,948,0,0,0
0.42,943,0,0,0
0.43,951,0,0,0
0.44,952,0,0,0
0.45,957,0,0,0
0.46,949,0,0,0
0.47,949,0,0,0
0.48,954,0,0,0
0.49,958,0,0,0
0.5,957,0,0,0
0.51,958,0,0,0
0.52,960,0,0,0
0.53,960,0,0,0
0.54,950,0,0,0
0.55,949,0,0,0
0.56,940,0,0,0
0.57,937,0,0,0
0.58,932,0,0,0
0.59,932,0,0,0
0.6,932,0,0,0
0.61,926,0,0,0
0.62,912,0,0,0
0.63,906,0,0,0
0.64,904,0,0,0
0.65,903,0,0,0
0.66,905,0,0,0
0.67,902,0,0,0
0.68,894,0,0,0
0.69,889,0,0,0
0.7,896,0,0,0
0.71,895,0,0,0
0.72,894,0,0,0
0.73,884,0,0,0
0.74,883,0,0,0
0.75,876,0,0,0
0.76,877,0,0,0
0.77,868,0,0,0
0.78,869,0,0,0
0.79,876,0,0,0
0.8,873,0,0,0
0.81,871,0,0,0
0.82,877,0,0,0
0.83,874,0,0,0
0.84,872,0,0,0
0.85,872,0,0,0
0.86,873,0,0,0
0.87,878,0,0,0
0.88,879,0,0,0
0.890000000000001,878,0,0,0
0.900000000000001,871,0,0,0
0.910000000000001,875,0,0,0
0.920000000000001,875,0,0,0
0.930000000000001,872,0,0,0
0.940000000000001,872,0,0,0
0.950000000000001,866,0,0,0
0.960000000000001,870,0,0,0
0.970000000000001,870,0,0,0
0.980000000000001,870,0,0,0
0.990000000000001,870,0,0,0
1,870,0,0,0
1.01,867,0,0,0
1.02,863,0,0,0
1.03,859,0,0,0
1.04,862,0,0,0
1.05,861,0,0,0
1.06,857,0,0,0
1.07,862,0,0,0
1.08,863,0,0,0
1.09,871,0,0,0
1.1,873,0,0,0
1.11,870,0,0,0
1.12,869,0,0,0
1.13,869,0,0,0
1.14,873,0,0,0
1.15,870,0,0,0
1.16,868,0,0,0
1.17,872,0,0,0
1.18,877,0,0,0
1.19,882,0,0,0
1.2,881,0,0,0
1.21,884,0,0,0
1.22,885,0,0,0
1.23,890,0,0,0
1.24,887,0,0,0
1.25,886,0,0,0
1.26,887,0,0,0
1.27,888,0,0,0
1.28,886,0,0,0
1.29,888,0,0,0
1.3,887,0,0,0
1.31,886,0,0,0
1.32,892,0,0,0
1.33,887,0,0,0
1.34,881,0,0,0
1.35,884,0,0,0
1.36,883,0,0,0
1.37,880,0,0,0
1.38,885,0,0,0
1.39,885,0,0,0
1.4,882,0,0,0
1.41,886,0,0,0
1.42,883,0,0,0
1.43,873,0,0,0
1.44,873,0,0,0
1.45,867,0,0,0
1.46,858,0,0,0
1.47,862,0,0,0
1.48,861,0,0,0
1.49,865,0,0,0
1.5,866,0,0,0
1.51,862,0,0,0
1.52,858,0,0,0
1.53,853,0,0,0
1.54,852,0,0,0
1.55,851,0,0,0
1.56,853,0,0,0
1.57,849,0,0,0
1.58,842,0,0,0
1.59,840,0,0,0
1.6,840,0,0,0
1.61,831,0,0,0
1.62,830,0,0,0
1.63,830,0,0,0
1.64,832,0,0,0
1.65,831,0,0,0
1.66,835,0,0,0
1.67,833,0,0,0
1.68,834,0,0,0
1.69,837,0,0,0
1.7,841,0,0,0
1.71,839,0,0,0
1.72,845,0,0,0
1.73,849,0,0,0
1.74,844,0,0,0
1.75,851,0,0,0
1.76,844,0,0,0
1.77,841,0,0,0
1.78,849,0,0,0
1.79,849,0,0,0
1.8,843,0,0,0
1.81,838,0,0,0
1.82,836,0,0,0
1.83,838,0,0,0
1.84,839,0,0,0
1.85,836,0,0,0
1.86,839,0,0,0
1.87,833,0,0,0
1.88,834,0,0,0
1.89,829,0,0,0
1.9,827,0,0,0
1.91,834,0,0,0
1.92,838,0,0,0
1.93,832,0,0,0
1.94,835,0,0,0
1.95,836,0,0,0
1.96,830,0,0,0
1.97,827,0,0,0
1.98,825,0,0,0
1.99,827,0,0,0
2,824,0,0,0
2.01,819,0,0,0
2.02,820,0,0,0
2.03,825,0,0,0
2.04,827,0,0,0
2.05,825,0,0,0
2.06,824,0,0,0
2.07,825,0,0,0
2.08,824,0,0,0
2.09,826,0,0,0
2.1,822,0,0,0
2.11,828,0,0,0
2.12,822,0,0,0
2.13,824,0,0,0
2.14,824,0,0,0
2.15,824,0,0,0
2.16,820,0,0,0
2.17,816,0,0,0
2.18,809,0,0,0
2.19,799,0,0,0
2.2,801,0,0,0
2.21,794,0,0,0
2.22,797,0,0,0
2.23,795,0,0,0
2.24,795,0,0,0
2.25,792,0,0,0
2.26,796,0,0,0
2.27,795,0,0,0
2.28,798,0,0,0
2.29,792,0,0,0
2.3,793,0,0,0
2.30999999999999,794,0,0,0
2.31999999999999,791,0,0,0
2.32999999999999,793,0,0,0
2.33999999999999,791,0,0,0
2.34999999999999,792,0,0,0
2.35999999999999,793,0,0,0
2.36999999999999,786,0,0,0
2.37999999999999,783,0,0,0
2.38999999999999,782,0,0,0
2.39999999999999,786,0,0,0
2.40999999999999,786,0,0,0
2.41999999999999,779,0,0,0
2.42999999999999,779,0,0,0
