"Time","S","R1","R2","RB"
0,1000,0,0,0
0.1,1010,0,0,0
0.2,1005,0,0,0
0.3,1010,0,0,0
0.4,967,0,0,0
0.5,958,0,0,0
0.6,951,0,0,0
0.7,933,0,0,0
0.8,903,0,0,0
0.9,897,0,0,0
1,884,0,0,0
1.1,857,0,0,0
1.2,852,0,0,0
1.3,853,0,0,0
1.4,840,0,0,0
1.5,858,0,0,0
1.6,856,0,0,0
1.7,845,0,0,0
1.8,817,0,0,0
1.9,797,0,0,0
2,786,0,0,0
2.1,762,0,0,0
2.2,754,0,0,0
2.3,772,0,0,0
2.4,737,0,0,0
2.5,730,0,0,0
2.6,714,0,0,0
2.7,710,0,0,0
2.8,697,0,0,0
2.9,695,0,0,0
3,675,0,0,0
3.1,679,0,0,0
3.2,695,0,0,0
3.3,687,0,0,0
3.4,678,0,0,0
3.5,686,0,0,0
3.6,680,0,0,0
3.7,651,0,0,0
3.8,646,0,0,0
3.9,628,0,0,0
4,640,0,0,0
4.1,639,0,0,0
4.2,623,0,0,0
4.3,646,0,0,0
4.4,637,0,0,0
4.5,620,0,0,0
4.6,613,0,0,0
4.7,613,0,0,0
4.8,604,0,0,0
4.9,599,0,0,0
5,593,0,0,0
5.1,599,0,0,0
5.2,594,0,0,0
5.3,595,0,0,0
5.4,575,0,0,0
5.5,560,0,0,0
5.6,541,0,0,0
5.7,550,0,0,0
5.8,548,0,0,0
5.9,562,0,0,0
6,563,0,0,0
6.09999999999999,560,0,0,0
6.19999999999999,539,0,0,0
6.29999999999999,547,0,0,0
6.39999999999999,536,0,0,0
6.49999999999999,530,0,0,0
6.59999999999999,527,0,0,0
6.69999999999999,508,0,0,0
6.79999999999999,509,0,0,0
6.89999999999999,503,0,0,0
6.99999999999999,497,0,0,0
7.09999999999999,495,0,0,0
7.19999999999999,479,0,0,0
7.29999999999999,480,0,0,0
7.39999999999999,478,0,0,0
7.49999999999999,487,0,0,0
7.59999999999999,471,0,0,0
7.69999999999999,488,0,0,0
7.79999999999999,487,0,0,0
7.89999999999999,489,0,0,0
7.99999999999999,486,0,0,0
8.09999999999999,503,0,0,0
8.19999999999999,500,0,0,0
8.29999999999999,505,0,0,0
8.39999999999999,500,0,0,0
8.49999999999999,491,0,0,0
8.59999999999999,476,0,0,0
8.69999999999999,465,0,0,0
8.79999999999998,462,0,0,0
8.89999999999998,464,0,0,0
8.99999999999998,454,0,0,0
9.09999999999998,450,0,0,0
9.19999999999998,441,0,0,0
9.29999999999998,421,0,0,0
9.39999999999998,424,0,0,0
9.49999999999998,402,0,0,0
9.59999999999998,401,0,0,0
9.69999999999998,397,0,0,0
9.79999999999998,403,0,0,0
9.89999999999998,410,0,0,0
9.99999999999998,399,0,0,0
10.1,418,0,0,0
10.2,434,0,0,0
10.3,421,0,0,0
10.4,439,0,0,0
10.5,430,0,0,0
10.6,428,0,0,0
10.7,423,0,0,0
10.8,403,0,0,0
10.9,395,0,0,0
11,385,0,0,0
11.1,377,0,0,0
11.2,369,0,0,0
11.3,364,0,0,0
11.4,355,0,0,0
11.5,349,0,0,0
11.6,344,0,0,0
11.7,330,0,0,0
11.8,311,0,0,0
11.9,312,0,0,0
12,320,0,0,0
12.1,313,0,0,0
12.2,316,0,0,0
12.3,326,0,0,0
12.4,327,0,0,0
12.5,320,0,0,0
12.6,316,0,0,0
12.7,317,0,0,0
12.8,312,0,0,0
12.9,318,0,0,0
13,320,0,0,0
13.1,317,0,0,0
13.2,305,0,0,0
13.3,297,0,0,0
13.4,298,0,0,0
13.5,300,0,0,0
13.6,311,0,0,0
13.7,321,0,0,0
13.8,318,0,0,0
13.9,327,0,0,0
14,329,0,0,0
14.1,323,0,0,0
14.2,312,0,0,0
14.3,309,0,0,0
14.4,302,0,0,0
14.5,304,0,0,0
14.6,304,0,0,0
14.7,303,0,0,0
14.8,302,0,0,0
14.9,297,0,0,0
15,301,0,0,0
15.1,297,0,0,0
15.2,297,0,0,0
15.3,284,0,0,0
15.4,271,0,0,0
15.5,271,0,0,0
15.6,269,0,0,0
15.7,260,0,0,0
15.8,254,0,0,0
15.9,251,0,0,0
16,252,0,0,0
16.1,252,0,0,0
16.2,248,0,0,0
16.3,251,0,0,0
16.4,239,0,0,0
16.5,245,0,0,0
16.6,247,0,0,0
16.7,251,0,0,0
16.8,243,0,0,0
16.9,239,0,0,0
17,239,0,0,0
17.1,235,0,0,0
17.2,233,0,0,0
17.3,228,0,0,0
17.4,216,0,0,0
17.5,210,0,0,0
17.6,218,0,0,0
17.7,222,0,0,0
17.8,229,0,0,0
17.9,238,0,0,0
18,242,0,0,0
18.1,238,0,0,0
18.2,241,0,0,0
18.3,247,0,0,0
18.4,239,0,0,0
18.5,233,0,0,0
18.6,234,0,0,0
18.7,237,0,0,0
18.8,228,0,0,0
18.9,212,0,0,0
19,208,0,0,0
19.1,201,0,0,0
19.2,198,0,0,0
19.3,195,0,0,0
19.4,190,0,0,0
19.5,194,0,0,0
19.6,193,0,0,0
19.7,194,0,0,0
19.8,185,0,0,0
19.9,177,0,0,0
20,163,0,0,0
20.1,153,0,0,0
20.2,153,0,0,0
20.3,152,0,0,0
20.4,150,0,0,0
20.5,150,0,0,0
20.6,134,0,0,0
20.7,120,0,0,0
20.8,114,0,0,0
20.9,114,0,0,0
21,113,0,0,0
21.1,112,0,0,0
21.2,119,0,0,0
21.3,120,0,0,0
21.4,123,0,0,0
21.5,120,0,0,0
21.6,130,0,0,0
21.7,122,0,0,0
21.8,126,0,0,0
21.9,119,0,0,0
22,116,0,0,0
22.1,120,0,0,0
22.2,122,0,0,0
22.3,115,0,0,0
22.4,119,0,0,0
22.5,118,0,0,0
22.6,110,0,0,0
22.7000000000001,109,0,0,0
22.8000000000001,113,0,0,0
22.9000000000001,114,0,0,0
23.0000000000001,112,0,0,0
23.1000000000001,101,0,0,0
23.2000000000001,105,0,0,0
23.3000000000001,114,0,0,0
23.4000000000001,110,0,0,0
23.5000000000001,115,0,0,0
23.6000000000001,107,0,0,0
23.7000000000001,104,0,0,0
23.8000000000001,100,0,0,0
23.9000000000001,94,0,0,0
24.0000000000001,89,0,0,0
24.1000000000001,96,0,0,0
24.2000000000001,85,0,0,0
24.3000000000001,83,0,0,0
24.4000000000001,85,0,0,0
24.5000000000001,78,0,0,0
24.6000000000001,76,0,0,0
24.7000000000001,77,0,0,0
24.8000000000001,79,0,0,0
24.9000000000001,80,0,0,0
25.0000000000001,79,0,0,0
25.1000000000001,75,0,0,0
25.2000000000001,80,0,0,0
25.3000000000001,81,0,0,0
25.4000000000001,67,0,0,0
25.5000000000001,69,0,0,0
25.6000000000001,75,0,0,0
25.7000000000001,80,0,0,0
25.8000000000001,80,0,0,0
25.9000000000001,80,0,0,0
26.0000000000001,83,0,0,0
26.1000000000001,81,0,0,0
26.2000000000001,78,0,0,0
26.3000000000001,76,0,0,0
26.4000000000001,69,0,0,0
26.5000000000001,70,0,0,0
26.6000000000001,75,0,0,0
26.7000000000001,71,0,0,0
26.8000000000001,70,0,0,0
26.9000000000001,65,0,0,0
27.0000000000001,60,0,0,0
27.1000000000001,58,0,0,0
27.2000000000001,56,0,0,0
27.3000000000001,54,0,0,0
27.4000000000001,52,0,0,0
27.5000000000001,54,0,0,0
27.6000000000001,49,0,0,0
27.7000000000001,42,0,0,0
27.8000000000001,41,0,0,0
27.9000000000001,44,0,0,0
28.0000000000001,43,0,0,0
28.1000000000001,44,0,0,0
28.2000000000001,40,0,0,0
28.3000000000001,40,0,0,0
28.4000000000001,39,0,0,0
28.5000000000001,39,0,0,0
28.6000000000001,42,0,0,0
28.7000000000001,41,0,0,0
28.8000000000001,42,0,0,0
28.9000000000001,43,0,0,0
29.0000000000001,42,0,0,0
29.1000000000001,42,0,0,0
29.2000000000001,42,0,0,0
29.3000000000001,36,0,0,0
29.4000000000001,34,0,0,0
29.5000000000001,32,0,0,0
29.6000000000002,36,0,0,0
29.7000000000002,39,0,0,0
29.8000000000002,39,0,0,0
29.9000000000002,43,0,0,0
30.0000000000002,46,0,0,0
30.1000000000002,41,0,0,0
30.2000000000002,39,0,0,0
30.3000000000002,40,0,0,0
30.4000000000002,43,0,0,0
30.5000000000002,41,0,0,0
30.6000000000002,41,0,0,0
30.7000000000002,37,0,0,0
30.8000000000002,47,0,0,0
30.9000000000002,48,0,0,0
31.0000000000002,48,0,0,0
31.1000000000002,44,0,0,0
31.2000000000002,48,0,0,0
31.3000000000002,52,0,0,0
31.4000000000002,53,0,0,0
31.5000000000002,52,0,0,0
31.6000000000002,55,0,0,0
31.7000000000002,54,0,0,0
31.8000000000002,53,0,0,0
31.9000000000002,49,0,0,0
32.0000000000002,46,0,0,0
32.1000000000002,45,0,0,0
32.2000000000002,44,0,0,0
32.3000000000002,45,0,0,0
32.4000000000002,45,0,0,0
32.5000000000002,47,0,0,0
32.6000000000002,45,0,0,0
32.7000000000002,46,0,0,0
32.8000000000002,45,0,0,0
32.9000000000002,50,0,0,0
33.0000000000002,49,0,0,0
33.1000000000002,44,0,0,0
33.2000000000002,47,0,0,0
33.3000000000002,46,0,0,0
33.4000000000002,47,0,0,0
33.5000000000002,48,0,0,0
33.6000000000002,46,0,0,0
33.7000000000002,47,0,0,0
33.8000000000002,41,0,0,0
33.9000000000002,42,0,0,0
34.0000000000002,44,0,0,0
34.1000000000002,41,0,0,0
34.2000000000002,40,0,0,0
34.3000000000002,39,0,0,0
34.4000000000002,41,0,0,0
34.5000000000002,42,0,0,0
34.6000000000002,39,0,0,0
34.7000000000002,38,0,0,0
34.8000000000002,35,0,0,0
34.9000000000002,39,0,0,0
35.0000000000002,37,0,0,0
35.1000000000002,34,0,0,0
35.2000000000002,35,0,0,0
35.3000000000002,34,0,0,0
35.4000000000002,32,0,0,0
35.5000000000002,32,0,0,0
35.6000000000002,32,0,0,0
35.7000000000002,31,0,0,0
35.8000000000002,27,0,0,0
35.9000000000002,28,0,0,0
36.0000000000002,26,0,0,0
36.1000000000002,27,0,0,0
36.2000000000002,27,0,0,0
36.3000000000002,24,0,0,0
36.4000000000002,21,0,0,0
36.5000000000002,23,0,0,0
36.6000000000003,21,0,0,0
36.7000000000003,23,0,0,0
36.8000000000003,22,0,0,0
36.9000000000003,21,0,0,0
37.0000000000003,22,0,0,0
37.1000000000003,16,0,0,0
37.2000000000003,17,0,0,0
37.3000000000003,17,0,0,0
37.4000000000003,18,0,0,0
37.5000000000003,18,0,0,0
37.6000000000003,16,0,0,0
37.7000000000003,17,0,0,0
37.8000000000003,14,0,0,0
37.9000000000003,16,0,0,0
38.0000000000003,17,0,0,0
38.1000000000003,15,0,0,0
38.2000000000003,15,0,0,0
38.3000000000003,15,0,0,0
38.4000000000003,14,0,0,0
38.5000000000003,15,0,0,0
38.6000000000003,15,0,0,0
38.7000000000003,17,0,0,0
38.8000000000003,15,0,0,0
38.9000000000003,13,0,0,0
39.0000000000003,11,0,0,0
39.1000000000003,9,0,0,0
39.2000000000003,8,0,0,0
39.3000000000003,11,0,0,0
39.4000000000003,9,0,0,0
39.5000000000003,8,0,0,0
39.6000000000003,9,0,0,0
39.7000000000003,8,0,0,0
39.8000000000003,5,0,0,0
39.9000000000003,4,0,0,0
40.0000000000003,4,0,0,0
40.1000000000003,4,0,0,0
40.2000000000003,4,0,0,0
40.3000000000003,4,0,0,0
40.4000000000003,4,0,0,0
40.5000000000003,4,0,0,0
40.6000000000003,5,0,0,0
40.7000000000003,5,0,0,0
40.8000000000003,5,0,0,0
40.9000000000003,1,0,0,0
41.0000000000003,1,0,0,0
41.1000000000003,1,0,0,0
41.2000000000003,1,0,0,0
41.3000000000003,1,0,0,0
41.4000000000003,1,0,0,0
41.5000000000003,1,0,0,0
41.6000000000003,1,0,0,0
41.7000000000003,1,0,0,0
41.8000000000003,1,0,0,0
41.9000000000003,1,0,0,0
42.0000000000003,1,0,0,0
42.1000000000003,2,0,0,0
42.2000000000003,1,0,0,0
42.3000000000003,1,0,0,0
42.4000000000003,1,0,0,0
42.5000000000003,1,0,0,0
42.6000000000003,1,0,0,0
42.7000000000003,1,0,0,0
42.8000000000003,0,0,0,0
