"Time","S","R"
0,10,0
0.055490609280158,9,0
0.152643742891762,8,0
0.155240565186854,7,0
0.1649088009887,8,0
0.190749861203774,9,0
0.390036152455945,8,0
0.506438110367332,7,0
0.542679352126091,8,0
0.573692331654638,9,0
0.63581120078754,10,0
0.667308596599156,9,0
0.962704189535742,10,0
0.99671202342033,11,0
1.05447944035211,12,0
1.13828944803732,13,0
1.20651032282188,14,0
1.28197330886784,15,0
1.35086157846851,14,0
1.50307896830828,15,0
1.52930044599629,16,0
1.53431261571327,17,0
1.58874557094031,16,0
1.59941817856079,17,0
1.64698109387629,18,0
1.66998109671836,19,0
1.69145369734501,18,0
1.7129699488882,19,0
1.73059288231198,20,0
1.74442067187458,21,0
1.77091572090959,22,0
1.80382058985493,23,0
1.85175494480127,24,0
1.88772432645153,23,0
1.93883175103113,24,0
1.94722549692146,25,0
1.95547592470919,26,0
2.00324473329354,25,0
2.07105950511145,26,0
2.0716417652279,27,0
2.09660378622759,28,0
2.10446850509703,27,0
2.10976748084367,28,0
2.14649332409168,27,0
2.16837594544785,28,0
2.17069340056541,29,0
2.1770542254588,30,0
2.19837943705817,31,0
2.23323522073224,32,0
2.28537637081094,33,0
2.29295241154107,34,0
2.30197887097533,35,0
2.30798783524884,34,0
2.31906684266758,33,0
2.33719289296866,34,0
2.37312730769746,33,0
2.40182452911183,34,0
2.41080808969734,33,0
2.42616202469501,34,0
2.45591036019295,35,0
2.4767518163576,36,0
2.49853549704117,37,0
2.49973350363631,36,0
2.52843332708334,37,0
2.56145114869447,36,0
2.5704631371497,35,0
2.57489989930238,36,0
2.57599038489648,35,0
2.57906369691829,34,0
2.59730943686053,33,0
2.61232575274783,34,0
2.62929273941828,33,0
2.63308137220729,32,0
2.63801530765914,31,0
2.65871017280214,32,0
2.66170635118279,33,0
2.66882340467854,34,0
2.67268935368665,35,0
2.70584101406569,36,0
2.71872491199357,37,0
2.72492606377453,38,0
2.73188081057071,39,0
2.75429854289654,38,0
2.75768901580931,37,0
2.76431686367577,38,0
2.78637413028104,39,0
2.78840696643772,38,0
2.79354822614831,39,0
2.84336942920565,40,0
2.85428809903561,41,0
2.86402553619947,42,0
2.8691106753602,43,0
2.87318213679912,44,0
2.87989727873717,45,0
2.88250384397982,46,0
2.88516533287226,47,0
2.88603516486737,46,0
2.91078889549414,47,0
2.92891421696917,46,0
2.93389667813954,45,0
2.93437752300072,46,0
2.94922981139021,47,0
3.00168349473547,48,0
3.00174335453028,49,0
3.00900259390391,48,0
3.00970927449161,47,0
3.030469954911,48,0
3.05002132790909,49,0
3.06914270779725,50,0
3.10455042962034,51,0
3.11129455320383,50,0
3.14730818295531,51,0
3.15501797684523,50,0
3.21246417337017,49,0
3.21862396531214,50,0
3.22781925143014,51,0
3.24024428224161,52,0
3.25431664523022,51,0
3.26297786393571,52,0
3.27700989317468,51,0
3.27832472975348,50,0
3.3143819475582,51,0
3.31469378156393,50,0
3.32348468443699,51,0
3.3381618645539,50,0
3.35595250295389,51,0
3.35662406281285,52,0
3.36864026377861,53,0
3.37170127535487,54,0
3.37307836769089,53,0
3.37726832591986,54,0
3.38928741891753,53,0
3.40836426487288,54,0
3.41096626536438,53,0
3.43496482296716,54,0
3.45104156085347,55,0
3.46755504149073,56,0
3.47126106665955,55,0
3.47783024230744,56,0
3.48873595790272,55,0
3.49076706061797,54,0
3.50519182619169,53,0
3.50612720809458,52,0
3.52976923613446,53,0
3.56202892025461,54,0
3.56453112563302,55,0
3.58195149371141,56,0
3.58306765831839,57,0
3.59778306248379,58,0
3.60246776986015,59,0
3.61418049846502,58,0
3.62508050042605,57,0
3.64328961184566,58,0
3.64581913940258,59,0
3.64687755751169,60,0
3.64898860015717,61,0
3.65125302733595,62,0
3.6689747495443,61,0
3.67143834812555,60,1
