"Time","S","R"
11.2463023290266,1824,1
11.2463207364742,1825,1
11.2466677017571,1826,1
11.2467790854085,1825,1
11.2473546950131,1826,1
11.2474546895759,1827,1
11.2475185590994,1826,1
11.2477444513744,1827,1
11.2477905515737,1828,1
11.2479964685492,1829,1
11.2483597318547,1828,1
11.2484027185311,1829,1
11.2486138577851,1828,1
11.2486650447539,1827,1
11.2491094093977,1828,1
11.2492729175679,1829,1
11.2493022220672,1830,1
11.2497241585796,1829,1
11.2497746941341,1830,1
11.2499191730527,1831,1
11.2500752273463,1832,1
11.2506054522785,1833,1
11.2506069972271,1832,1
11.25085283926,1833,1
11.2515217053854,1834,1
11.2515655166207,1835,1
11.2517090327666,1836,1
11.2521110232527,1837,1
11.2526921956343,1838,1
11.2535529458298,1837,1
11.2540712524646,1836,1
11.254236626581,1835,1
11.2543273588323,1834,1
11.2544280542876,1835,1
11.2548731387319,1836,1
11.2553420019999,1835,1
11.2554680191032,1834,1
11.2557818503986,1833,1
11.2560761678291,1832,1
11.2562625302627,1831,1
11.2566345816258,1832,1
11.2566926112559,1833,1
11.2567885502251,1834,1
11.257292885656,1835,1
11.2573533741907,1836,1
11.2576145861715,1835,1
11.2576330645974,1836,1
11.2577716412989,1837,1
11.2581904206732,1838,1
11.2585683748348,1839,1
11.2586146147935,1838,1
11.2588683856781,1837,1
11.258982604152,1836,1
11.2593489744478,1835,1
11.2597097433638,1836,1
11.2603948121597,1837,1
11.2604752839691,1838,1
11.2606742875066,1837,1
11.2606825994117,1836,1
11.2608144726219,1837,1
11.2618672947652,1836,1
11.2622023444117,1835,1
11.2622202425229,1834,1
11.2622640303141,1835,1
11.2625217957659,1834,1
11.2628619119484,1835,1
11.2630588604342,1836,1
11.2631969724152,1835,1
11.2632081569258,1836,1
11.263706535251,1837,1
11.2641261902091,1836,1
11.2641645563278,1835,1
11.2648354965078,1834,1
11.264962321976,1835,1
11.2654054469487,1836,1
11.2655405170812,1835,1
11.2657592250623,1836,1
11.2659485705243,1835,1
11.2669475155486,1834,1
11.2670980990269,1835,1
11.2672620758687,1836,1
11.2673657539295,1835,1
11.2676444463797,1836,1
11.2679419063025,1835,1
11.2681652309577,1834,1
11.2684015663114,1835,1
11.2686749535127,1834,1
11.2686855648479,1835,1
11.2687157202843,1834,1
11.2689675214688,1835,1
11.2693410636648,1834,1
11.2699485484846,1835,1
11.2699859329631,1834,1
11.2703282297701,1833,1
11.2707404315744,1834,1
11.2707836803359,1833,1
11.2708895999842,1834,1
11.2710863051062,1835,1
11.2713595411799,1834,1
11.271882657488,1835,1
11.2719096919427,1836,1
11.2719684928434,1837,1
11.2720572784539,1838,1
11.2720675196743,1837,1
11.2720900177394,1838,1
11.2724716214331,1839,1
11.2731015958666,1838,1
11.273374767722,1839,1
11.2734857848656,1840,1
11.2735392441303,1841,1
11.2737360974912,1840,1
11.2741249232009,1839,1
11.2741873808939,1840,1
11.2743807387261,1841,1
11.2747733127215,1840,1
11.2749289701745,1841,1
11.2758267444481,1840,1
11.2759125694514,1839,1
11.2763153602094,1838,1
11.2763878845622,1837,1
11.2767956609109,1838,1
11.2772929869112,1839,1
11.2776616895219,1840,1
11.2782168814168,1839,1
11.2782219510758,1840,1
11.2784246591268,1839,1
11.2785595361488,1840,1
11.2787857992794,1839,1
11.2788582811341,1840,1
11.2790397776845,1841,1
11.2791435234524,1840,1
11.2792787889724,1839,1
11.2794640705853,1840,1
11.2799018514038,1841,1
11.2807134664928,1842,1
11.2809804601305,1843,1
11.28128073457,1842,1
11.2814065833216,1841,1
11.2816177441119,1842,1
11.2816292900472,1841,1
11.2821135415059,1842,1
11.2821322165667,1843,1
11.2822184394111,1844,1
11.2824124516612,1843,1
11.2831109348945,1842,1
11.2833566634548,1841,1
11.2833679336229,1840,1
11.2834523024296,1839,1
11.2835989019813,1838,1
11.2836823606354,1839,1
11.2838223718326,1838,1
11.2846083558295,1839,1
11.2846820078534,1838,1
11.2853511347571,1839,1
11.2857095972259,1838,1
11.2857321172369,1839,1
11.2858731777277,1840,1
11.2866023502452,1841,1
11.2867311894571,1842,1
11.2872527429801,1843,1
11.2872812477536,1842,1
11.2875142949109,1843,1
11.2880395048799,1844,1
11.2881267003783,1843,1
11.2882198061921,1844,1
11.2883288768246,1843,1
11.2884339253181,1844,1
11.2891391740585,1845,1
11.2892946256622,1844,1
11.2894867465039,1843,1
11.2898193351815,1844,1
11.2909687506202,1843,1
11.2910853225147,1842,1
11.2913415687497,1843,1
11.291703479934,1842,1
11.2926619759975,1843,1
11.2927057722684,1842,1
11.2934387227287,1843,1
11.2934477849454,1842,1
11.293472862137,1843,1
11.2935373336466,1842,1
11.2935703159516,1843,1
11.2936669824897,1842,1
11.294295332158,1843,1
11.2944592673116,1842,1
11.2946560309821,1843,1
11.2947946544448,1842,1
11.2949196233682,1843,1
11.2950722675346,1842,1
11.2951249153021,1843,1
11.2957440656341,1844,1
11.2959171180373,1845,1
11.2960726325978,1846,1
11.2962044562207,1847,1
11.2962568787954,1846,1
11.2966583496843,1847,1
11.2972891556478,1848,1
11.2976483187626,1849,1
11.2978454310097,1848,1
11.2981109911882,1847,1
11.2982137963965,1846,1
11.298294805284,1845,1
11.298696942421,1844,1
11.2987133079307,1845,1
11.2988558915838,1844,1
11.2991863194741,1843,1
11.2994256500254,1844,1
11.3008777435326,1843,1
11.3012303133266,1844,1
11.3023966658097,1845,1
11.3025424332772,1846,1
11.3030334856368,1845,1
11.303087184364,1846,1
11.3033858123158,1845,1
11.3034092385291,1846,1
11.3034602939623,1845,1
11.3035430405458,1844,1
11.3036280156631,1845,1
11.3036563485054,1846,1
11.3039537333235,1845,1
11.3040221551436,1844,1
11.3043882479728,1843,1
11.3048583613864,1842,1
11.3049018851936,1843,1
11.3051863462669,1844,1
11.3053600148336,1845,1
11.3062526765906,1844,1
11.3063133137615,1845,1
11.3064520208824,1844,1
11.307004787774,1845,1
11.3071141502204,1844,1
11.3077339428765,1843,1
11.3082247436047,1844,1
11.3083345324341,1843,1
11.3086782571577,1844,1
11.3087626450828,1843,1
11.3094469696008,1842,1
11.3098405049549,1843,1
11.3102114553044,1844,1
11.3106029769819,1843,1
11.310713854909,1844,1
11.3108909882219,1845,1
11.3109744676633,1846,1
11.3111582376085,1847,1
11.3117435623941,1846,1
11.3117796447128,1847,1
11.3118192862096,1848,1
11.3119748779378,1849,1
11.3120644345447,1850,1
11.3121243683021,1849,1
11.3122205711992,1850,1
11.3124275424607,1851,1
11.3126179102302,1850,1
11.3128909725269,1851,1
11.3138400237029,1850,1
11.3139566482414,1849,1
11.3139940229171,1848,1
11.3145718467393,1849,1
11.3147825354405,1850,1
11.3148274233848,1849,1
11.3149479649638,1850,1
11.3151862198094,1851,1
11.3152262459028,1850,1
11.3153269628136,1851,1
11.3155315845761,1850,1
11.3160170073296,1851,1
11.316094949318,1852,1
11.3166324114953,1851,1
11.3166352639177,1852,1
11.3171050727413,1853,1
11.3173023552086,1854,1
11.317574046848,1855,1
11.3176638453943,1856,1
11.3180589300183,1857,1
11.3180832662138,1856,1
