Time S R 
11.2463 1824 1 
11.24632 1825 1 
11.24667 1826 1 
11.24678 1825 1 
11.24735 1826 1 
11.24745 1827 1 
11.24752 1826 1 
11.24774 1827 1 
11.24779 1828 1 
11.248 1829 1 
11.24836 1828 1 
11.2484 1829 1 
11.24861 1828 1 
11.24867 1827 1 
11.24911 1828 1 
11.24927 1829 1 
11.2493 1830 1 
11.24972 1829 1 
11.24977 1830 1 
11.24992 1831 1 
11.25008 1832 1 
11.25061 1833 1 
11.25061 1832 1 
11.25085 1833 1 
11.25152 1834 1 
11.25157 1835 1 
11.25171 1836 1 
11.25211 1837 1 
11.25269 1838 1 
11.25355 1837 1 
11.25407 1836 1 
11.25424 1835 1 
11.25433 1834 1 
11.25443 1835 1 
11.25487 1836 1 
11.25534 1835 1 
11.25547 1834 1 
11.25578 1833 1 
11.25608 1832 1 
11.25626 1831 1 
11.25663 1832 1 
11.25669 1833 1 
11.25679 1834 1 
11.25729 1835 1 
11.25735 1836 1 
11.25761 1835 1 
11.25763 1836 1 
11.25777 1837 1 
11.25819 1838 1 
11.25857 1839 1 
11.25861 1838 1 
11.25887 1837 1 
11.25898 1836 1 
11.25935 1835 1 
11.25971 1836 1 
11.26039 1837 1 
11.26048 1838 1 
11.26067 1837 1 
11.26068 1836 1 
11.26081 1837 1 
11.26187 1836 1 
11.2622 1835 1 
11.26222 1834 1 
11.26226 1835 1 
11.26252 1834 1 
11.26286 1835 1 
11.26306 1836 1 
11.2632 1835 1 
11.26321 1836 1 
11.26371 1837 1 
11.26413 1836 1 
11.26416 1835 1 
11.26484 1834 1 
11.26496 1835 1 
11.26541 1836 1 
11.26554 1835 1 
11.26576 1836 1 
11.26595 1835 1 
11.26695 1834 1 
11.2671 1835 1 
11.26726 1836 1 
11.26737 1835 1 
11.26764 1836 1 
11.26794 1835 1 
11.26817 1834 1 
11.2684 1835 1 
11.26867 1834 1 
11.26869 1835 1 
11.26872 1834 1 
11.26897 1835 1 
11.26934 1834 1 
11.26995 1835 1 
11.26999 1834 1 
11.27033 1833 1 
11.27074 1834 1 
11.27078 1833 1 
11.27089 1834 1 
11.27109 1835 1 
11.27136 1834 1 
11.27188 1835 1 
11.27191 1836 1 
11.27197 1837 1 
11.27206 1838 1 
11.27207 1837 1 
11.27209 1838 1 
11.27247 1839 1 
11.2731 1838 1 
11.27337 1839 1 
11.27349 1840 1 
11.27354 1841 1 
11.27374 1840 1 
11.27412 1839 1 
11.27419 1840 1 
11.27438 1841 1 
11.27477 1840 1 
11.27493 1841 1 
11.27583 1840 1 
11.27591 1839 1 
11.27632 1838 1 
11.27639 1837 1 
11.2768 1838 1 
11.27729 1839 1 
11.27766 1840 1 
11.27822 1839 1 
11.27822 1840 1 
11.27842 1839 1 
11.27856 1840 1 
11.27879 1839 1 
11.27886 1840 1 
11.27904 1841 1 
11.27914 1840 1 
11.27928 1839 1 
11.27946 1840 1 
11.2799 1841 1 
11.28071 1842 1 
11.28098 1843 1 
11.28128 1842 1 
11.28141 1841 1 
11.28162 1842 1 
11.28163 1841 1 
11.28211 1842 1 
11.28213 1843 1 
11.28222 1844 1 
11.28241 1843 1 
